ダウンロードした時刻：2017/07/24 15:37:14

,秋田,秋田,秋田
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2016/1/1,2.3,4.3,-1.6
2016/1/2,3.9,8.3,0.7
2016/1/3,3.7,5.5,2.5
2016/1/4,2.3,3.9,1.1
2016/1/5,2.1,3.9,0.4
2016/1/6,1.9,3.9,0.7
2016/1/7,1.7,2.8,0.3
2016/1/8,1.8,3.2,0.0
2016/1/9,1.0,2.8,-0.7
2016/1/10,0.5,2.8,-1.7
2016/1/11,-1.0,0.6,-2.9
2016/1/12,-1.3,0.8,-3.2
2016/1/13,-0.6,3.7,-2.3
2016/1/14,0.2,3.2,-2.5
2016/1/15,-1.4,1.9,-3.3
2016/1/16,-1.1,1.6,-3.1
2016/1/17,-0.4,2.2,-2.4
2016/1/18,0.5,2.2,-3.1
2016/1/19,2.4,5.6,0.3
2016/1/20,0.9,4.7,-2.3
2016/1/21,1.1,3.2,-1.0
2016/1/22,-0.8,1.3,-2.2
2016/1/23,-0.5,1.4,-2.8
2016/1/24,-0.8,2.1,-4.3
2016/1/25,-0.5,1.9,-2.6
2016/1/26,2.6,5.2,1.0
2016/1/27,2.1,6.0,-0.7
2016/1/28,1.2,4.3,-2.5
2016/1/29,-0.7,1.8,-3.6
2016/1/30,0.2,3.2,-1.6
2016/1/31,-0.3,1.2,-2.5
2016/2/1,-2.0,-0.4,-3.0
2016/2/2,-1.7,-0.2,-2.8
2016/2/3,-1.1,0.5,-2.4
2016/2/4,0.4,4.4,-2.4
2016/2/5,2.7,4.9,0.9
2016/2/6,-0.3,2.7,-3.3
2016/2/7,-1.7,1.0,-4.6
2016/2/8,0.0,2.0,-1.1
2016/2/9,1.1,2.8,-1.0
2016/2/10,0.1,2.0,-1.6
2016/2/11,1.1,4.3,-2.1
2016/2/12,1.7,8.3,-5.0
2016/2/13,4.3,5.7,2.6
2016/2/14,7.4,12.3,3.9
2016/2/15,-0.6,4.1,-3.6
2016/2/16,-1.7,-0.3,-3.5
2016/2/17,-0.1,2.6,-2.4
2016/2/18,3.2,6.8,1.2
2016/2/19,4.3,7.8,1.6
2016/2/20,4.4,7.1,1.6
2016/2/21,3.9,6.8,0.2
2016/2/22,1.1,3.8,-0.9
2016/2/23,0.5,2.1,-1.1
2016/2/24,-1.9,2.1,-3.6
2016/2/25,-2.1,1.6,-3.8
2016/2/26,-0.8,2.6,-3.3
2016/2/27,-0.4,3.2,-3.5
2016/2/28,0.9,5.6,-6.7
2016/2/29,4.5,8.0,0.9
2016/3/1,-0.5,1.5,-2.2
2016/3/2,0.8,4.2,-1.9
2016/3/3,2.8,6.6,-1.3
2016/3/4,2.8,6.7,-0.7
2016/3/5,5.1,11.7,-1.5
2016/3/6,9.1,12.8,5.9
2016/3/7,7.6,11.8,4.5
2016/3/8,6.8,11.3,3.7
2016/3/9,3.1,5.0,0.8
2016/3/10,0.8,4.7,-1.3
2016/3/11,1.5,4.9,-1.3
2016/3/12,1.6,5.3,-0.9
2016/3/13,2.9,8.1,-3.1
2016/3/14,5.5,10.1,2.6
2016/3/15,4.6,6.7,1.6
2016/3/16,8.6,10.6,5.2
2016/3/17,9.9,13.6,4.9
2016/3/18,11.4,18.9,3.2
2016/3/19,8.9,11.5,6.3
2016/3/20,5.9,8.2,3.3
2016/3/21,4.6,8.1,1.5
2016/3/22,6.5,9.6,2.3
2016/3/23,4.5,7.6,0.9
2016/3/24,2.1,6.5,0.0
2016/3/25,2.4,5.6,-0.5
2016/3/26,4.0,8.8,0.8
2016/3/27,5.1,11.1,-0.2
2016/3/28,6.4,12.0,0.0
2016/3/29,7.6,12.9,1.2
2016/3/30,7.8,14.5,3.5
2016/3/31,8.0,11.7,2.7
2016/4/1,9.8,18.0,1.5
2016/4/2,10.3,15.5,6.5
2016/4/3,9.3,11.3,6.7
2016/4/4,5.7,9.6,1.8
2016/4/5,7.4,12.2,-0.1
2016/4/6,9.0,13.1,4.5
2016/4/7,8.7,13.3,3.8
2016/4/8,10.0,12.9,6.2
2016/4/9,10.7,15.2,6.1
2016/4/10,7.8,14.4,4.5
2016/4/11,3.2,7.2,0.8
2016/4/12,6.3,10.2,1.2
2016/4/13,10.9,17.2,5.2
2016/4/14,13.6,18.5,10.7
2016/4/15,7.9,10.7,6.7
2016/4/16,10.1,16.2,2.5
2016/4/17,13.1,18.6,9.5
2016/4/18,11.8,12.9,10.3
2016/4/19,9.3,12.5,7.8
2016/4/20,11.1,13.9,8.8
2016/4/21,14.5,18.8,8.8
2016/4/22,15.4,20.1,12.5
2016/4/23,13.5,20.6,10.1
2016/4/24,11.6,15.9,7.6
2016/4/25,11.6,17.7,5.0
2016/4/26,12.0,18.6,5.7
2016/4/27,12.0,18.1,4.7
2016/4/28,11.5,13.7,9.3
2016/4/29,8.3,11.3,5.2
2016/4/30,9.1,11.8,6.8
2016/5/1,9.3,12.8,7.0
