ダウンロードした時刻：2017/07/24 15:40:53

,岐阜,岐阜,岐阜
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2012/1/1,4.3,9.6,-0.2
2012/1/2,4.9,10.1,1.6
2012/1/3,4.8,8.8,1.1
2012/1/4,3.9,8.7,0.2
2012/1/5,2.5,6.7,-0.6
2012/1/6,3.3,6.6,-0.3
2012/1/7,3.9,7.7,0.4
2012/1/8,3.4,8.7,-1.5
2012/1/9,4.1,9.1,0.1
2012/1/10,5.1,11.5,-0.2
2012/1/11,4.5,7.6,1.1
2012/1/12,2.9,7.4,-0.8
2012/1/13,4.1,9.4,0.6
2012/1/14,4.5,8.1,1.4
2012/1/15,4.3,7.7,0.6
2012/1/16,4.3,6.2,2.6
2012/1/17,4.6,10.2,0.4
2012/1/18,4.5,10.7,-1.7
2012/1/19,4.7,8.5,1.1
2012/1/20,6.7,9.4,4.6
2012/1/21,7.2,8.7,5.9
2012/1/22,7.2,12.1,3.0
2012/1/23,6.5,11.5,3.7
2012/1/24,3.4,7.6,0.2
2012/1/25,2.3,5.8,-0.3
2012/1/26,1.1,5.5,-0.9
2012/1/27,2.3,7.1,-0.6
2012/1/28,2.7,6.7,0.3
2012/1/29,2.3,7.1,-1.5
2012/1/30,1.6,7.7,-3.0
2012/1/31,1.3,5.6,-1.3
2012/2/1,0.8,6.0,-2.6
2012/2/2,-0.9,1.5,-3.7
2012/2/3,-1.2,2.9,-5.7
2012/2/4,1.5,6.6,-3.2
2012/2/5,4.3,8.2,0.1
2012/2/6,4.5,5.5,2.8
2012/2/7,7.5,10.8,5.4
2012/2/8,2.3,5.9,-1.5
2012/2/9,0.7,4.6,-2.2
2012/2/10,2.6,7.7,-0.4
2012/2/11,3.2,7.5,-0.6
2012/2/12,3.5,8.8,-0.2
2012/2/13,2.7,6.5,0.7
2012/2/14,4.4,6.0,1.9
2012/2/15,4.5,10.2,0.5
2012/2/16,4.2,9.6,0.5
2012/2/17,3.3,7.9,0.6
2012/2/18,1.3,4.9,-1.5
2012/2/19,1.5,7.5,-3.8
2012/2/20,3.9,10.3,-1.3
2012/2/21,5.6,12.3,-1.4
2012/2/22,8.4,14.0,2.4
2012/2/23,9.4,13.8,7.1
2012/2/24,9.9,14.9,7.0
2012/2/25,8.4,11.2,5.2
2012/2/26,4.6,8.1,1.7
2012/2/27,3.0,7.4,-0.5
2012/2/28,4.6,9.9,-1.6
2012/2/29,7.4,14.7,3.1
2012/3/1,9.5,17.1,2.7
2012/3/2,8.6,9.5,6.6
2012/3/3,9.2,15.3,5.2
2012/3/4,6.0,8.1,2.5
2012/3/5,10.0,11.8,7.6
2012/3/6,13.4,17.7,10.0
2012/3/7,11.1,13.2,7.1
2012/3/8,9.6,16.6,4.3
2012/3/9,8.0,8.9,6.6
2012/3/10,8.6,13.9,5.4
2012/3/11,6.3,12.2,1.2
2012/3/12,2.6,7.0,-0.4
2012/3/13,3.6,8.4,-0.6
2012/3/14,5.1,11.5,-1.7
2012/3/15,5.7,11.4,1.5
2012/3/16,7.3,12.8,-0.1
2012/3/17,9.6,11.3,7.5
2012/3/18,11.5,14.5,9.1
2012/3/19,7.3,10.5,2.7
2012/3/20,6.9,13.8,0.5
2012/3/21,6.7,11.8,3.2
2012/3/22,8.5,14.8,1.3
2012/3/23,8.4,10.0,7.5
2012/3/24,9.6,14.3,6.2
2012/3/25,4.6,7.0,1.9
2012/3/26,5.1,10.5,1.0
2012/3/27,8.3,14.9,1.5
2012/3/28,8.7,14.3,3.4
2012/3/29,10.6,17.9,2.6
2012/3/30,12.9,19.2,5.7
2012/3/31,10.2,14.6,4.1
2012/4/1,6.4,10.6,2.2
2012/4/2,9.9,17.2,2.4
2012/4/3,11.1,16.0,5.9
2012/4/4,6.3,10.7,3.1
2012/4/5,8.2,13.8,2.5
2012/4/6,7.6,11.6,4.0
2012/4/7,6.1,10.1,2.0
2012/4/8,8.7,15.6,1.4
2012/4/9,12.5,19.3,4.9
2012/4/10,15.7,22.9,8.7
2012/4/11,13.0,15.0,11.5
2012/4/12,16.9,22.4,11.8
2012/4/13,15.5,21.8,11.1
2012/4/14,13.5,19.2,10.1
2012/4/15,13.8,19.4,7.4
2012/4/16,14.7,17.1,11.5
2012/4/17,14.5,22.0,8.5
2012/4/18,15.9,23.5,8.1
2012/4/19,17.2,22.9,12.2
2012/4/20,15.2,16.7,14.2
2012/4/21,16.2,19.3,13.5
2012/4/22,12.9,15.8,11.9
2012/4/23,16.1,21.5,12.6
2012/4/24,18.8,26.2,10.3
2012/4/25,19.6,25.0,13.2
2012/4/26,16.1,20.4,12.9
2012/4/27,17.8,24.6,12.5
2012/4/28,19.7,28.5,10.9
2012/4/29,20.9,26.8,15.5
2012/4/30,20.5,23.6,18.5
2012/5/1,21.5,26.2,16.9
