ダウンロードした時刻：2017/07/24 15:37:01

,八戸,八戸,八戸
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1997/1/1,4.3,8.5,-0.2
1997/1/2,4.7,9.2,0.0
1997/1/3,0.1,2.0,-2.0
1997/1/4,1.3,4.7,-0.5
1997/1/5,0.7,4.4,-1.7
1997/1/6,3.3,5.0,-0.9
1997/1/7,2.1,4.4,0.1
1997/1/8,-1.5,0.7,-4.0
1997/1/9,-1.0,1.0,-3.8
1997/1/10,0.0,3.3,-2.3
1997/1/11,0.0,3.9,-4.1
1997/1/12,1.2,3.5,-0.2
1997/1/13,1.9,5.9,-0.5
1997/1/14,2.0,8.6,-2.5
1997/1/15,-0.7,1.4,-1.7
1997/1/16,1.0,3.9,-1.3
1997/1/17,1.3,5.4,-2.5
1997/1/18,1.1,4.4,-3.1
1997/1/19,-1.0,3.0,-4.1
1997/1/20,-0.9,3.4,-3.6
1997/1/21,-3.4,-2.1,-5.7
1997/1/22,-2.0,1.6,-5.8
1997/1/23,2.0,4.0,0.6
1997/1/24,0.0,2.8,-3.1
1997/1/25,-3.8,-1.3,-5.4
1997/1/26,-1.2,1.8,-3.0
1997/1/27,-1.9,2.7,-4.7
1997/1/28,-0.3,5.2,-4.8
1997/1/29,0.0,4.2,-2.4
1997/1/30,-1.0,3.1,-4.1
1997/1/31,0.7,5.2,-2.1
1997/2/1,1.0,5.0,-1.2
1997/2/2,0.4,4.3,-3.6
1997/2/3,-1.1,2.1,-5.1
1997/2/4,0.0,1.0,-1.3
1997/2/5,0.3,2.8,-1.7
1997/2/6,-0.1,4.5,-4.1
1997/2/7,-0.5,1.7,-3.4
1997/2/8,0.4,5.8,-5.4
1997/2/9,0.8,3.7,-1.7
1997/2/10,0.3,3.7,-2.3
1997/2/11,-0.6,3.8,-6.4
1997/2/12,0.1,2.3,-2.5
1997/2/13,-2.1,0.7,-4.2
1997/2/14,-2.3,1.2,-5.6
1997/2/15,-0.6,4.9,-7.2
1997/2/16,3.2,8.0,-0.8
1997/2/17,0.8,3.4,-1.8
1997/2/18,-1.7,1.3,-4.1
1997/2/19,-1.9,1.0,-4.5
1997/2/20,2.4,7.3,-1.3
1997/2/21,0.2,3.9,-3.4
1997/2/22,-1.3,1.0,-3.4
1997/2/23,0.6,4.4,-3.4
1997/2/24,4.9,9.7,0.2
1997/2/25,8.0,12.5,3.9
1997/2/26,3.1,6.1,-1.0
1997/2/27,1.0,5.5,-2.3
1997/2/28,3.0,8.3,-4.4
1997/3/1,4.6,9.6,-3.5
1997/3/2,-2.1,1.9,-5.0
1997/3/3,-3.0,0.6,-6.3
1997/3/4,0.0,5.6,-5.2
1997/3/5,1.3,4.2,-1.8
1997/3/6,5.7,13.6,-4.1
1997/3/7,7.4,12.0,1.3
1997/3/8,0.7,6.6,-3.2
1997/3/9,-0.3,3.2,-2.8
1997/3/10,2.6,7.1,-1.0
1997/3/11,1.0,3.7,-0.5
1997/3/12,0.8,3.8,-1.7
1997/3/13,2.3,7.5,-1.9
1997/3/14,3.7,7.0,1.0
1997/3/15,2.3,3.3,0.9
1997/3/16,-0.1,1.1,-1.8
1997/3/17,0.4,4.6,-2.6
1997/3/18,1.9,7.7,-4.0
1997/3/19,3.1,8.5,-1.1
1997/3/20,4.6,10.9,-0.9
1997/3/21,5.7,14.3,-0.7
1997/3/22,2.7,4.9,-0.5
1997/3/23,1.3,3.8,-1.3
1997/3/24,0.7,3.2,-2.1
1997/3/25,6.0,11.6,2.1
1997/3/26,3.9,7.5,-0.2
1997/3/27,3.6,8.3,-1.6
1997/3/28,8.7,14.9,0.3
1997/3/29,11.6,17.5,2.2
1997/3/30,7.4,16.9,0.4
1997/3/31,2.6,6.8,-0.5
1997/4/1,6.4,10.9,0.9
1997/4/2,6.2,9.5,0.5
1997/4/3,7.1,10.2,5.2
1997/4/4,6.4,10.8,3.6
1997/4/5,6.6,9.5,2.8
1997/4/6,7.0,8.1,6.4
1997/4/7,5.2,6.5,4.5
1997/4/8,9.5,16.2,5.1
1997/4/9,11.1,18.4,6.1
1997/4/10,9.3,13.9,4.1
1997/4/11,5.2,9.5,1.3
1997/4/12,3.6,8.2,-0.2
1997/4/13,6.2,10.9,1.0
1997/4/14,5.2,10.5,-1.2
1997/4/15,2.9,8.4,-1.8
1997/4/16,3.2,6.8,-0.8
1997/4/17,6.4,11.3,0.5
1997/4/18,7.2,14.3,2.9
1997/4/19,8.2,11.8,3.9
1997/4/20,6.6,11.1,1.0
1997/4/21,11.1,18.1,3.5
1997/4/22,12.5,17.0,7.1
1997/4/23,7.7,11.6,4.8
1997/4/24,6.7,11.3,3.6
1997/4/25,11.8,18.6,4.9
1997/4/26,14.2,21.5,6.8
1997/4/27,15.9,20.2,10.8
1997/4/28,16.8,26.7,11.2
1997/4/29,17.2,24.3,8.5
1997/4/30,13.8,20.2,7.8
1997/5/1,10.0,15.0,2.7
