ダウンロードした時刻：2017/07/24 15:42:39

,大島,大島,大島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1997/1/1,12.3,16.5,5.3
1997/1/2,11.1,16.5,5.9
1997/1/3,7.3,9.5,5.4
1997/1/4,6.3,9.9,1.3
1997/1/5,6.6,9.0,5.0
1997/1/6,8.3,10.4,5.2
1997/1/7,8.1,12.9,3.7
1997/1/8,7.3,8.6,5.9
1997/1/9,6.4,10.1,1.7
1997/1/10,5.5,9.8,1.8
1997/1/11,5.9,10.5,1.2
1997/1/12,6.2,9.0,3.5
1997/1/13,5.8,9.8,1.7
1997/1/14,8.4,13.1,1.0
1997/1/15,8.0,10.4,5.1
1997/1/16,6.0,10.2,1.8
1997/1/17,7.6,11.8,3.1
1997/1/18,11.0,14.1,6.6
1997/1/19,8.5,10.1,5.1
1997/1/20,9.0,12.6,3.9
1997/1/21,9.0,12.1,4.1
1997/1/22,1.7,5.4,-2.3
1997/1/23,5.2,10.1,-2.7
1997/1/24,8.0,11.6,5.3
1997/1/25,6.3,9.9,2.7
1997/1/26,6.4,10.5,0.2
1997/1/27,7.3,11.9,0.9
1997/1/28,9.6,12.2,7.9
1997/1/29,6.7,8.9,4.6
1997/1/30,5.1,9.1,-0.1
1997/1/31,5.5,8.5,3.6
1997/2/1,5.9,10.6,0.7
1997/2/2,6.6,9.1,4.2
1997/2/3,7.0,9.0,5.2
1997/2/4,5.6,10.2,0.5
1997/2/5,6.5,9.3,3.6
1997/2/6,8.2,12.3,4.3
1997/2/7,6.6,12.3,2.6
1997/2/8,8.3,12.1,4.2
1997/2/9,8.9,13.3,5.4
1997/2/10,8.5,13.5,5.1
1997/2/11,7.7,12.2,4.8
1997/2/12,6.8,11.8,2.8
1997/2/13,4.2,5.5,1.9
1997/2/14,5.1,10.9,0.3
1997/2/15,8.2,12.8,1.6
1997/2/16,9.9,13.2,6.2
1997/2/17,7.7,11.0,3.9
1997/2/18,6.8,10.9,3.1
1997/2/19,5.4,9.8,-0.5
1997/2/20,6.3,11.1,-1.6
1997/2/21,8.0,11.5,3.0
1997/2/22,2.5,7.3,-2.5
1997/2/23,3.3,10.0,-3.5
1997/2/24,5.4,12.2,-0.2
1997/2/25,9.8,15.5,0.5
1997/2/26,14.1,18.9,10.9
1997/2/27,9.8,11.4,8.3
1997/2/28,12.0,15.9,7.4
1997/3/1,13.3,18.1,8.0
1997/3/2,9.4,13.1,5.9
1997/3/3,7.1,10.2,5.1
1997/3/4,6.8,11.9,2.4
1997/3/5,9.5,14.0,2.6
1997/3/6,12.2,16.8,8.6
1997/3/7,14.7,16.6,13.2
1997/3/8,11.9,14.5,7.5
1997/3/9,10.3,15.7,3.5
1997/3/10,10.1,14.9,6.0
1997/3/11,13.2,18.5,8.3
1997/3/12,8.8,13.8,5.4
1997/3/13,10.3,13.4,7.0
1997/3/14,12.9,18.6,9.6
1997/3/15,8.8,13.4,7.1
1997/3/16,6.2,7.1,5.3
1997/3/17,8.3,11.8,5.9
1997/3/18,10.1,14.9,7.3
1997/3/19,11.0,13.6,8.1
1997/3/20,10.0,13.1,7.3
1997/3/21,11.3,16.7,4.8
1997/3/22,10.9,13.6,9.2
1997/3/23,8.3,10.4,4.5
1997/3/24,8.6,11.5,5.6
1997/3/25,10.3,14.9,2.5
1997/3/26,13.3,17.6,7.0
1997/3/27,10.6,13.0,9.0
1997/3/28,12.1,17.6,4.8
1997/3/29,14.1,17.4,9.6
1997/3/30,16.4,20.1,11.2
1997/3/31,11.0,15.2,5.9
1997/4/1,11.2,15.4,6.3
1997/4/2,14.0,18.1,8.2
1997/4/3,14.6,17.0,11.4
1997/4/4,14.7,19.0,11.3
1997/4/5,17.3,18.4,14.8
1997/4/6,17.4,19.0,14.6
1997/4/7,14.5,19.1,11.2
1997/4/8,13.5,17.6,8.2
1997/4/9,14.8,19.1,10.0
1997/4/10,13.9,18.0,8.9
1997/4/11,13.3,17.7,6.9
1997/4/12,13.2,16.5,9.4
1997/4/13,15.3,18.6,10.7
1997/4/14,15.1,19.6,8.4
1997/4/15,12.0,14.9,9.4
1997/4/16,11.4,16.2,9.6
1997/4/17,13.1,17.9,6.5
1997/4/18,16.3,19.2,13.7
1997/4/19,12.8,16.3,8.1
1997/4/20,13.0,17.4,7.9
1997/4/21,15.0,18.8,9.3
1997/4/22,15.8,19.9,11.7
1997/4/23,14.0,18.3,10.0
1997/4/24,12.2,17.6,5.8
1997/4/25,13.4,18.9,9.0
1997/4/26,14.8,19.9,8.2
1997/4/27,16.9,20.7,13.1
1997/4/28,15.5,17.5,14.5
1997/4/29,17.5,21.1,12.8
1997/4/30,18.6,21.5,16.7
1997/5/1,18.2,21.6,15.6
