ダウンロードした時刻：2017/07/24 15:39:46

,福井,福井,福井
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2015/1/1,0.0,2.1,-1.2
2015/1/2,0.3,1.1,-0.4
2015/1/3,1.1,2.8,-0.3
2015/1/4,2.2,3.4,0.7
2015/1/5,3.1,8.8,1.1
2015/1/6,5.5,9.1,1.6
2015/1/7,2.1,4.2,0.5
2015/1/8,2.5,6.2,0.6
2015/1/9,1.9,3.7,0.6
2015/1/10,1.2,3.5,0.3
2015/1/11,3.2,7.6,0.8
2015/1/12,3.3,6.7,0.7
2015/1/13,3.1,6.6,-0.4
2015/1/14,2.3,6.6,-1.8
2015/1/15,3.9,5.5,2.4
2015/1/16,4.6,8.1,2.0
2015/1/17,3.0,7.3,0.5
2015/1/18,2.7,7.6,0.3
2015/1/19,4.2,7.6,0.8
2015/1/20,3.2,7.3,-0.6
2015/1/21,3.1,8.5,-1.2
2015/1/22,5.5,7.0,3.3
2015/1/23,5.0,7.5,1.9
2015/1/24,4.9,10.1,1.6
2015/1/25,5.9,11.0,3.0
2015/1/26,7.3,12.8,2.2
2015/1/27,6.0,9.4,1.0
2015/1/28,1.6,4.5,-0.2
2015/1/29,2.0,6.0,-0.7
2015/1/30,3.1,5.3,1.5
2015/1/31,2.3,5.7,-0.2
2015/2/1,0.8,2.0,-0.3
2015/2/2,1.5,3.4,0.3
2015/2/3,2.4,5.6,0.6
2015/2/4,2.4,8.2,-1.5
2015/2/5,3.4,9.1,-1.2
2015/2/6,3.7,7.8,1.4
2015/2/7,5.2,10.5,0.9
2015/2/8,4.5,8.6,-0.5
2015/2/9,-0.6,2.3,-2.5
2015/2/10,0.5,2.0,-0.9
2015/2/11,3.3,6.6,1.0
2015/2/12,3.2,7.9,0.7
2015/2/13,0.8,3.2,-0.9
2015/2/14,1.5,3.2,-0.7
2015/2/15,3.8,8.0,-0.2
2015/2/16,2.2,7.5,-2.8
2015/2/17,3.0,4.5,1.6
2015/2/18,4.0,6.9,1.8
2015/2/19,3.6,7.3,1.6
2015/2/20,3.8,7.1,0.8
2015/2/21,6.5,14.4,-1.4
2015/2/22,11.4,14.9,8.1
2015/2/23,9.0,13.2,3.5
2015/2/24,6.6,11.7,2.5
2015/2/25,6.1,11.9,1.7
2015/2/26,8.0,12.8,3.7
2015/2/27,4.6,9.4,1.0
2015/2/28,5.0,9.0,2.0
2015/3/1,5.8,8.5,3.9
2015/3/2,5.5,10.2,1.5
2015/3/3,5.4,10.4,0.0
2015/3/4,6.3,9.7,3.3
2015/3/5,3.9,6.6,1.1
2015/3/6,4.0,9.2,0.4
2015/3/7,4.8,8.8,0.9
2015/3/8,8.6,13.0,5.4
2015/3/9,7.5,11.6,4.8
2015/3/10,2.3,6.1,-0.5
2015/3/11,1.8,5.0,-0.1
2015/3/12,3.5,6.2,0.5
2015/3/13,4.2,9.5,0.9
2015/3/14,4.6,10.4,1.1
2015/3/15,7.7,15.3,-0.3
2015/3/16,10.7,18.3,5.2
2015/3/17,12.9,22.4,4.8
2015/3/18,12.9,20.2,6.4
2015/3/19,12.5,14.1,10.5
2015/3/20,10.3,13.2,6.3
2015/3/21,10.3,18.7,4.3
2015/3/22,11.1,19.4,5.5
2015/3/23,5.5,8.0,3.0
2015/3/24,4.8,7.9,1.6
2015/3/25,4.9,10.0,1.3
2015/3/26,5.8,13.0,-0.3
2015/3/27,9.2,18.6,0.1
2015/3/28,11.9,20.8,4.4
2015/3/29,11.5,14.4,7.4
2015/3/30,10.4,17.2,6.9
2015/3/31,15.3,24.3,6.0
2015/4/1,12.3,15.7,8.9
2015/4/2,13.7,20.2,8.3
2015/4/3,15.9,19.8,10.0
2015/4/4,13.3,17.8,9.5
2015/4/5,14.6,17.8,11.9
2015/4/6,10.6,12.5,8.3
2015/4/7,7.7,9.7,5.9
2015/4/8,6.5,10.3,3.7
2015/4/9,8.0,14.6,3.1
2015/4/10,10.5,14.0,6.5
2015/4/11,10.6,13.7,7.1
2015/4/12,11.8,17.3,6.0
2015/4/13,11.8,14.1,10.8
2015/4/14,14.3,18.2,10.4
2015/4/15,10.4,13.5,7.9
2015/4/16,15.5,21.2,8.4
2015/4/17,12.1,16.7,7.0
2015/4/18,13.6,21.9,5.0
2015/4/19,13.9,16.2,10.1
2015/4/20,17.6,23.8,11.1
2015/4/21,10.9,13.4,9.2
2015/4/22,14.9,22.6,7.6
2015/4/23,16.3,21.7,11.3
2015/4/24,16.8,24.5,10.7
2015/4/25,14.5,20.3,10.0
2015/4/26,17.4,25.5,7.4
2015/4/27,20.0,29.0,12.5
2015/4/28,19.5,26.7,12.6
2015/4/29,21.5,25.7,16.8
2015/4/30,20.2,26.2,15.6
2015/5/1,19.6,26.8,13.7
