ダウンロードした時刻：2017/07/24 15:46:05

,徳島,徳島,徳島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1986/1/1,4.4,6.4,2.3
1986/1/2,2.1,4.9,0.3
1986/1/3,3.5,9.7,-1.9
1986/1/4,6.3,10.0,1.5
1986/1/5,-0.9,1.5,-2.4
1986/1/6,1.1,4.3,-2.5
1986/1/7,3.4,8.3,-0.8
1986/1/8,2.8,9.3,-1.3
1986/1/9,2.6,6.1,0.4
1986/1/10,0.5,3.9,-1.7
1986/1/11,1.8,6.3,-3.3
1986/1/12,2.4,7.1,-0.9
1986/1/13,3.4,9.2,-2.0
1986/1/14,4.9,8.5,2.2
1986/1/15,4.9,8.8,1.7
1986/1/16,6.9,11.7,2.9
1986/1/17,7.8,12.2,4.9
1986/1/18,6.9,10.5,2.6
1986/1/19,6.1,8.3,4.1
1986/1/20,5.6,10.0,1.3
1986/1/21,6.6,10.0,4.1
1986/1/22,3.8,6.6,1.2
1986/1/23,4.5,7.3,2.3
1986/1/24,5.2,9.7,1.9
1986/1/25,3.7,6.7,1.2
1986/1/26,3.0,7.1,-0.4
1986/1/27,2.2,5.7,-0.7
1986/1/28,4.1,8.6,-2.1
1986/1/29,5.2,11.0,1.3
1986/1/30,4.1,7.8,-1.0
1986/1/31,8.4,12.0,5.4
1986/2/1,5.2,8.1,2.6
1986/2/2,4.1,8.5,0.3
1986/2/3,5.0,12.0,-0.7
1986/2/4,2.8,6.7,0.4
1986/2/5,2.8,7.0,-1.2
1986/2/6,3.5,7.9,0.8
1986/2/7,2.7,6.3,-0.9
1986/2/8,3.5,7.6,0.3
1986/2/9,3.5,7.9,-0.1
1986/2/10,3.0,6.3,1.0
1986/2/11,2.8,5.6,1.0
1986/2/12,4.4,10.0,0.6
1986/2/13,5.2,10.5,-1.5
1986/2/14,7.2,9.8,5.0
1986/2/15,6.6,10.8,1.3
1986/2/16,1.7,5.0,-0.6
1986/2/17,1.8,5.0,-1.9
1986/2/18,4.0,8.7,0.5
1986/2/19,7.0,9.9,5.2
1986/2/20,6.1,10.3,1.8
1986/2/21,4.7,7.9,2.0
1986/2/22,5.9,11.1,1.9
1986/2/23,6.3,11.4,2.6
1986/2/24,2.5,6.2,0.6
1986/2/25,3.4,7.1,0.2
1986/2/26,3.8,8.2,-0.6
1986/2/27,4.9,8.7,1.0
1986/2/28,2.5,5.8,-0.9
1986/3/1,4.7,8.8,2.0
1986/3/2,3.6,7.0,0.5
1986/3/3,5.3,9.8,0.9
1986/3/4,4.2,8.8,0.9
1986/3/5,6.3,15.5,-0.4
1986/3/6,6.7,11.8,1.7
1986/3/7,8.1,14.1,0.8
1986/3/8,8.5,14.3,3.5
1986/3/9,11.7,19.3,2.6
1986/3/10,13.4,16.5,10.8
1986/3/11,8.3,10.9,6.8
1986/3/12,8.4,13.5,4.1
1986/3/13,8.9,12.7,3.1
1986/3/14,8.3,9.5,7.0
1986/3/15,11.2,14.7,8.8
1986/3/16,9.9,15.0,5.0
1986/3/17,7.0,11.6,3.6
1986/3/18,6.4,10.0,1.6
1986/3/19,10.9,14.9,8.3
1986/3/20,8.4,11.6,5.8
1986/3/21,7.4,11.5,3.7
1986/3/22,6.0,9.3,4.3
1986/3/23,5.1,8.3,0.7
1986/3/24,8.2,11.7,5.0
1986/3/25,8.6,14.3,3.1
1986/3/26,8.5,13.8,2.3
1986/3/27,10.9,15.4,4.5
1986/3/28,11.2,12.7,10.3
1986/3/29,11.9,16.9,8.4
1986/3/30,11.8,15.9,6.8
1986/3/31,11.4,15.5,8.0
1986/4/1,9.4,15.1,4.1
1986/4/2,12.0,20.1,5.6
1986/4/3,13.4,18.0,7.0
1986/4/4,14.0,17.7,11.4
1986/4/5,14.8,19.0,10.4
1986/4/6,13.5,20.8,6.4
1986/4/7,8.7,12.3,5.1
1986/4/8,10.2,15.1,1.9
1986/4/9,15.0,19.0,11.1
1986/4/10,18.2,24.3,15.6
1986/4/11,14.2,17.3,8.9
1986/4/12,10.8,15.0,6.3
1986/4/13,12.6,18.2,6.7
1986/4/14,15.3,21.9,8.0
1986/4/15,15.2,16.5,14.1
1986/4/16,12.2,15.4,7.4
1986/4/17,13.5,19.0,5.2
1986/4/18,14.4,16.8,12.7
1986/4/19,15.7,20.4,11.8
1986/4/20,17.7,21.5,14.0
1986/4/21,18.5,22.2,14.9
1986/4/22,15.6,18.4,14.1
1986/4/23,17.0,23.5,12.3
1986/4/24,17.7,23.4,10.7
1986/4/25,18.4,22.6,13.4
1986/4/26,19.3,24.0,14.4
1986/4/27,21.2,25.1,17.6
1986/4/28,14.8,20.4,12.7
1986/4/29,15.9,22.1,11.7
1986/4/30,16.7,22.3,10.4
1986/5/1,17.8,20.1,16.3
