ダウンロードした時刻：2017/07/24 15:45:35

,松山,松山,松山
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2015/1/1,2.5,5.5,0.4
2015/1/2,3.5,7.3,0.7
2015/1/3,3.6,8.1,0.2
2015/1/4,6.9,11.6,2.2
2015/1/5,9.2,14.0,4.9
2015/1/6,11.7,14.3,8.1
2015/1/7,7.3,11.2,5.4
2015/1/8,6.2,9.3,4.4
2015/1/9,6.3,9.8,2.2
2015/1/10,7.1,9.5,4.4
2015/1/11,8.3,10.9,4.0
2015/1/12,5.7,8.8,2.5
2015/1/13,5.9,11.7,0.3
2015/1/14,7.6,10.8,4.2
2015/1/15,7.8,10.5,5.7
2015/1/16,7.8,11.0,3.7
2015/1/17,6.6,9.3,2.5
2015/1/18,4.4,9.4,0.0
2015/1/19,7.8,11.2,3.9
2015/1/20,6.3,12.6,1.8
2015/1/21,7.8,12.6,3.6
2015/1/22,8.7,11.3,7.1
2015/1/23,7.2,9.8,2.7
2015/1/24,5.9,11.5,0.7
2015/1/25,7.7,12.5,3.2
2015/1/26,8.8,10.2,6.8
2015/1/27,10.4,13.8,7.4
2015/1/28,5.7,7.9,2.3
2015/1/29,4.5,8.3,0.5
2015/1/30,4.9,7.3,1.6
2015/1/31,4.8,7.8,2.2
2015/2/1,3.4,7.7,-0.7
2015/2/2,4.1,9.5,-0.7
2015/2/3,4.9,10.5,0.2
2015/2/4,5.0,8.4,0.7
2015/2/5,6.0,8.5,4.0
2015/2/6,5.0,9.6,1.5
2015/2/7,6.4,10.8,2.0
2015/2/8,5.6,8.9,0.2
2015/2/9,1.5,4.5,0.0
2015/2/10,6.0,8.7,2.5
2015/2/11,7.9,11.4,4.8
2015/2/12,8.1,11.3,4.0
2015/2/13,5.1,8.9,0.6
2015/2/14,5.1,9.9,-0.6
2015/2/15,7.2,12.3,2.1
2015/2/16,8.1,11.3,5.8
2015/2/17,9.0,12.6,6.8
2015/2/18,7.4,11.5,3.7
2015/2/19,5.9,10.0,2.7
2015/2/20,6.3,12.3,1.2
2015/2/21,7.4,13.0,1.6
2015/2/22,10.5,12.6,8.1
2015/2/23,9.9,12.5,6.2
2015/2/24,7.8,12.1,4.5
2015/2/25,8.7,13.5,4.7
2015/2/26,8.8,9.9,7.7
2015/2/27,6.9,10.0,3.2
2015/2/28,7.2,12.8,1.0
2015/3/1,6.7,9.5,4.1
2015/3/2,6.2,11.9,2.2
2015/3/3,6.3,8.8,3.3
2015/3/4,8.2,10.7,5.1
2015/3/5,6.8,11.5,2.2
2015/3/6,6.4,8.0,5.3
2015/3/7,6.8,7.8,5.7
2015/3/8,9.8,14.7,5.6
2015/3/9,7.7,9.4,4.8
2015/3/10,2.9,9.3,-0.8
2015/3/11,5.7,8.8,-0.2
2015/3/12,7.8,10.9,2.3
2015/3/13,7.6,14.3,1.4
2015/3/14,9.7,14.9,7.0
2015/3/15,9.2,11.1,7.2
2015/3/16,10.4,14.5,8.2
2015/3/17,12.9,20.1,6.5
2015/3/18,13.6,16.2,11.2
2015/3/19,14.5,19.2,12.3
2015/3/20,13.1,17.9,9.9
2015/3/21,13.1,18.2,9.5
2015/3/22,12.5,17.0,8.2
2015/3/23,10.0,14.6,5.9
2015/3/24,8.0,12.5,4.2
2015/3/25,7.2,13.8,1.5
2015/3/26,8.4,14.6,2.4
2015/3/27,11.0,17.3,4.2
2015/3/28,14.9,20.5,8.9
2015/3/29,15.2,20.5,11.5
2015/3/30,14.8,20.9,9.1
2015/3/31,16.6,20.9,11.8
2015/4/1,17.6,21.0,14.5
2015/4/2,17.7,23.0,11.8
2015/4/3,19.7,25.5,14.7
2015/4/4,17.3,19.9,15.2
2015/4/5,18.6,21.3,16.1
2015/4/6,16.6,18.8,13.2
2015/4/7,12.0,14.5,8.6
2015/4/8,9.8,14.5,6.4
2015/4/9,11.8,15.4,8.7
2015/4/10,11.7,13.1,10.2
2015/4/11,14.5,20.1,10.5
2015/4/12,13.9,18.5,8.0
2015/4/13,15.1,19.0,11.8
2015/4/14,13.2,18.3,8.6
2015/4/15,12.5,15.5,9.2
2015/4/16,17.6,22.5,9.9
2015/4/17,15.1,19.4,10.1
2015/4/18,15.1,21.0,7.8
2015/4/19,17.5,22.2,14.3
2015/4/20,16.3,18.8,13.7
2015/4/21,14.7,20.4,10.6
2015/4/22,15.0,22.0,8.7
2015/4/23,16.3,22.8,10.0
2015/4/24,16.8,21.5,11.8
2015/4/25,16.7,21.7,12.2
2015/4/26,18.0,24.7,11.3
2015/4/27,19.6,24.5,14.0
2015/4/28,19.7,24.2,15.2
2015/4/29,20.0,25.7,16.7
2015/4/30,18.2,21.0,15.6
2015/5/1,19.7,25.8,13.7
