É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2017/07/24 15:36:07

,éDñy,éDñy,éDñy
îNåéì˙,ïΩãœãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé)
,,,
1986/1/1,-4.5,0.0,-9.5
1986/1/2,-7.0,-4.0,-11.8
1986/1/3,-7.8,-5.4,-9.2
1986/1/4,2.4,7.1,-8.7
1986/1/5,-3.2,3.7,-7.7
1986/1/6,-7.3,-4.9,-9.4
1986/1/7,-3.7,-0.5,-7.1
1986/1/8,-3.1,2.0,-6.7
1986/1/9,-2.0,0.3,-5.0
1986/1/10,-1.6,-0.4,-3.9
1986/1/11,-5.5,-3.2,-8.1
1986/1/12,-5.2,-1.4,-9.2
1986/1/13,-2.9,1.4,-8.9
1986/1/14,-3.3,0.1,-4.8
1986/1/15,-3.5,-1.9,-5.1
1986/1/16,-4.4,-1.7,-8.2
1986/1/17,-5.5,-1.2,-12.3
1986/1/18,-1.9,0.5,-4.4
1986/1/19,-4.9,-2.7,-6.9
1986/1/20,-4.7,-1.6,-7.4
1986/1/21,-10.9,-7.3,-13.3
1986/1/22,-9.7,-5.0,-13.3
1986/1/23,-10.0,-5.6,-14.5
1986/1/24,-10.4,-6.6,-15.3
1986/1/25,-7.9,-5.5,-9.7
1986/1/26,-7.2,-4.2,-9.9
1986/1/27,-8.8,-6.7,-10.2
1986/1/28,-7.7,-6.2,-9.7
1986/1/29,-7.0,-3.1,-11.2
1986/1/30,-10.1,-7.5,-12.8
1986/1/31,-9.2,-4.1,-14.0
1986/2/1,-9.2,-6.4,-12.7
1986/2/2,-9.1,-7.5,-10.2
1986/2/3,-8.3,-4.3,-11.3
1986/2/4,-9.0,-7.4,-11.5
1986/2/5,-7.4,-2.9,-13.6
1986/2/6,-7.6,-3.6,-11.9
1986/2/7,-7.5,-3.0,-14.4
1986/2/8,-4.1,0.0,-9.3
1986/2/9,-4.4,-1.1,-7.7
1986/2/10,-4.9,-2.2,-8.2
1986/2/11,-3.9,-0.2,-7.5
1986/2/12,-2.9,0.5,-6.7
1986/2/13,-1.8,0.6,-3.8
1986/2/14,-6.5,-3.2,-11.4
1986/2/15,-8.3,-3.2,-14.0
1986/2/16,-7.6,-2.4,-12.8
1986/2/17,-4.7,-2.0,-7.9
1986/2/18,-7.3,-3.6,-10.3
1986/2/19,-7.3,-2.0,-11.9
1986/2/20,-4.6,0.4,-10.4
1986/2/21,-5.4,-1.9,-9.3
1986/2/22,-7.0,-1.8,-11.3
1986/2/23,-6.5,-3.9,-12.1
1986/2/24,-2.9,2.1,-8.4
1986/2/25,-3.1,0.8,-7.2
1986/2/26,-2.4,3.0,-10.8
1986/2/27,-0.2,2.6,-3.8
1986/2/28,-0.6,2.4,-4.6
1986/3/1,-1.7,0.8,-5.0
1986/3/2,-0.6,2.6,-4.2
1986/3/3,-8.6,-1.3,-14.9
1986/3/4,-8.3,-3.3,-16.2
1986/3/5,-3.4,0.1,-6.8
1986/3/6,-3.3,1.6,-9.9
1986/3/7,-0.3,4.4,-5.0
1986/3/8,-2.3,-0.2,-4.8
1986/3/9,-0.3,2.2,-2.3
1986/3/10,1.8,4.3,-1.1
1986/3/11,2.1,5.6,-0.7
1986/3/12,0.2,1.2,-1.8
1986/3/13,-0.3,1.2,-1.7
1986/3/14,-1.8,1.5,-4.9
1986/3/15,-0.7,0.5,-3.3
1986/3/16,3.3,7.1,0.3
1986/3/17,-1.0,1.4,-2.3
1986/3/18,-0.6,1.8,-4.5
1986/3/19,-0.9,2.9,-6.3
1986/3/20,0.2,2.2,-1.5
1986/3/21,-0.9,0.1,-1.7
1986/3/22,0.1,3.5,-3.1
1986/3/23,1.4,6.1,-4.4
1986/3/24,2.3,5.1,-0.1
1986/3/25,1.1,2.8,-0.3
1986/3/26,1.8,6.1,-2.7
1986/3/27,1.7,5.3,-1.7
1986/3/28,0.7,4.2,-4.1
1986/3/29,2.2,4.6,-0.3
1986/3/30,1.7,5.1,-1.8
1986/3/31,2.2,5.1,0.3
1986/4/1,3.8,8.0,0.9
1986/4/2,2.7,5.8,-0.6
1986/4/3,4.2,8.9,-2.6
1986/4/4,7.1,14.2,3.0
1986/4/5,4.5,8.2,2.2
1986/4/6,1.7,3.8,-0.1
1986/4/7,1.1,3.3,-0.5
1986/4/8,6.2,11.0,-1.6
1986/4/9,11.0,15.9,3.9
1986/4/10,8.4,12.2,4.3
1986/4/11,5.4,9.2,2.4
1986/4/12,4.1,5.6,2.3
1986/4/13,6.8,11.3,2.4
1986/4/14,7.8,15.0,-0.1
1986/4/15,7.5,12.2,4.9
1986/4/16,2.4,5.4,0.1
1986/4/17,4.0,7.8,0.2
1986/4/18,9.0,16.9,3.4
1986/4/19,11.4,19.1,2.2
1986/4/20,10.3,14.1,8.4
1986/4/21,8.0,9.5,6.5
1986/4/22,8.2,9.6,5.9
1986/4/23,8.9,12.1,6.7
1986/4/24,7.7,11.0,4.5
1986/4/25,8.4,10.9,6.7
1986/4/26,10.6,16.8,4.0
1986/4/27,7.8,10.8,5.8
1986/4/28,7.4,8.6,6.3
1986/4/29,10.3,14.6,5.5
1986/4/30,10.6,18.1,5.2
1986/5/1,13.5,20.9,5.7
