ダウンロードした時刻：2017/07/24 15:38:00

,福島,福島,福島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1981/1/1,0.8,3.9,-1.3
1981/1/2,2.0,5.8,-1.4
1981/1/3,1.3,3.9,-0.3
1981/1/4,1.8,4.5,0.2
1981/1/5,-0.2,4.0,-3.8
1981/1/6,-0.6,2.7,-2.7
1981/1/7,-1.8,-0.3,-3.4
1981/1/8,0.6,3.0,-2.2
1981/1/9,2.9,6.1,-0.9
1981/1/10,1.8,4.3,-0.3
1981/1/11,-0.2,2.8,-2.9
1981/1/12,-1.2,1.1,-3.4
1981/1/13,-2.9,-0.6,-6.7
1981/1/14,-3.1,2.7,-8.8
1981/1/15,-1.9,4.1,-7.1
1981/1/16,-2.0,3.0,-6.2
1981/1/17,-1.7,3.6,-6.8
1981/1/18,-0.5,5.1,-6.7
1981/1/19,1.0,3.5,-2.0
1981/1/20,-0.7,1.5,-2.7
1981/1/21,-2.2,-0.2,-3.3
1981/1/22,-1.1,2.0,-4.3
1981/1/23,0.6,4.3,-3.0
1981/1/24,1.6,7.8,-4.6
1981/1/25,1.1,4.6,-1.2
1981/1/26,-1.2,1.2,-3.0
1981/1/27,-1.3,0.9,-2.9
1981/1/28,-0.4,1.8,-2.5
1981/1/29,0.2,5.1,-3.8
1981/1/30,0.8,3.5,-1.6
1981/1/31,1.3,3.2,-1.6
1981/2/1,-1.1,0.1,-3.2
1981/2/2,0.6,3.7,-3.4
1981/2/3,-0.4,5.0,-4.9
1981/2/4,1.4,4.2,-1.2
1981/2/5,1.5,5.6,-2.0
1981/2/6,1.9,7.4,-2.4
1981/2/7,1.1,7.0,-4.8
1981/2/8,1.6,4.7,-1.1
1981/2/9,1.4,4.0,-0.6
1981/2/10,2.4,7.1,-1.2
1981/2/11,-0.4,1.4,-2.4
1981/2/12,2.2,8.4,-3.8
1981/2/13,3.2,9.2,-2.9
1981/2/14,5.1,11.6,1.2
1981/2/15,3.9,10.4,-1.3
1981/2/16,6.5,11.9,3.1
1981/2/17,1.7,4.3,0.2
1981/2/18,3.0,8.1,-2.9
1981/2/19,2.9,6.7,-0.5
1981/2/20,1.7,4.6,-0.3
1981/2/21,0.7,4.8,-1.6
1981/2/22,0.9,4.9,-1.7
1981/2/23,-0.4,1.1,-2.5
1981/2/24,0.7,2.3,-0.3
1981/2/25,-1.7,3.0,-3.9
1981/2/26,-3.8,-0.1,-6.8
1981/2/27,-3.1,0.4,-6.9
1981/2/28,-2.7,0.9,-7.1
1981/3/1,-0.5,4.9,-6.5
1981/3/2,1.9,7.0,-1.4
1981/3/3,2.9,8.9,-3.0
1981/3/4,5.1,9.1,1.9
1981/3/5,3.5,7.0,-0.3
1981/3/6,0.7,3.4,-1.9
1981/3/7,3.0,8.2,-3.6
1981/3/8,2.9,6.8,0.8
1981/3/9,0.7,2.5,-0.2
1981/3/10,1.9,6.7,-0.8
1981/3/11,0.7,4.7,-2.3
1981/3/12,3.3,13.1,-4.8
1981/3/13,6.0,16.0,-1.5
1981/3/14,6.1,9.7,3.9
1981/3/15,6.8,12.3,1.8
1981/3/16,3.6,6.8,0.3
1981/3/17,3.2,6.2,0.7
1981/3/18,6.9,13.1,2.1
1981/3/19,9.0,19.3,-0.7
1981/3/20,10.9,19.2,5.8
1981/3/21,6.7,14.3,4.1
1981/3/22,8.5,15.3,3.8
1981/3/23,6.6,10.0,3.4
1981/3/24,6.4,13.2,0.7
1981/3/25,2.0,3.7,0.5
1981/3/26,9.2,16.0,2.7
1981/3/27,4.4,7.9,1.9
1981/3/28,5.7,11.0,1.1
1981/3/29,5.7,14.1,-1.6
1981/3/30,5.4,9.8,1.1
1981/3/31,2.8,7.6,-1.9
1981/4/1,5.4,12.7,-2.8
1981/4/2,6.0,11.2,3.6
1981/4/3,8.5,13.1,4.6
1981/4/4,9.8,15.2,3.6
1981/4/5,8.5,15.5,2.2
1981/4/6,8.4,13.8,6.0
1981/4/7,9.1,13.3,4.9
1981/4/8,9.1,16.7,0.9
1981/4/9,11.6,19.0,1.5
1981/4/10,11.0,12.7,9.4
1981/4/11,13.6,17.7,9.9
1981/4/12,14.1,20.8,7.9
1981/4/13,9.4,15.9,4.0
1981/4/14,8.9,15.2,0.4
1981/4/15,11.5,18.0,6.0
1981/4/16,7.4,9.3,6.2
1981/4/17,9.8,15.2,5.3
1981/4/18,7.0,11.9,2.3
1981/4/19,6.8,14.8,-0.3
1981/4/20,10.5,16.3,6.0
1981/4/21,10.5,14.1,6.7
1981/4/22,12.5,20.9,3.1
1981/4/23,16.3,25.8,5.1
1981/4/24,18.3,28.4,8.9
1981/4/25,12.8,18.6,9.5
1981/4/26,13.5,18.6,8.3
1981/4/27,16.1,24.5,6.8
1981/4/28,14.5,22.5,7.2
1981/4/29,14.7,24.4,5.2
1981/4/30,16.1,18.2,13.5
1981/5/1,17.0,21.3,12.9
