ダウンロードした時刻：2017/07/24 15:47:42

,宮崎,宮崎,宮崎
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1982/1/1,7.4,12.8,3.1
1982/1/2,5.6,12.3,0.2
1982/1/3,8.4,14.9,0.6
1982/1/4,14.9,16.6,11.2
1982/1/5,11.5,15.3,4.4
1982/1/6,6.7,13.1,0.3
1982/1/7,7.3,12.3,1.2
1982/1/8,5.5,14.1,-0.8
1982/1/9,8.2,15.4,0.9
1982/1/10,7.6,16.1,1.3
1982/1/11,8.9,18.1,1.6
1982/1/12,12.4,18.5,6.5
1982/1/13,7.2,11.2,2.5
1982/1/14,5.8,11.6,1.7
1982/1/15,5.4,13.8,-0.9
1982/1/16,4.4,9.7,1.6
1982/1/17,3.3,9.0,-1.0
1982/1/18,3.5,10.3,-2.0
1982/1/19,2.6,7.0,-0.9
1982/1/20,4.3,9.7,0.6
1982/1/21,6.3,13.4,-1.1
1982/1/22,8.5,15.7,0.4
1982/1/23,9.5,14.9,3.8
1982/1/24,7.1,11.2,1.5
1982/1/25,8.0,12.9,2.4
1982/1/26,5.2,12.2,-0.4
1982/1/27,7.5,12.7,4.4
1982/1/28,3.4,7.6,0.1
1982/1/29,1.3,5.7,-1.8
1982/1/30,1.7,9.8,-4.6
1982/1/31,5.5,10.4,-1.5
1982/2/1,6.7,10.9,3.8
1982/2/2,4.6,12.0,-1.6
1982/2/3,7.1,15.2,-0.6
1982/2/4,10.6,17.5,6.3
1982/2/5,8.4,14.5,2.5
1982/2/6,6.0,10.1,2.4
1982/2/7,5.6,11.3,-1.5
1982/2/8,7.0,12.1,3.2
1982/2/9,6.9,12.8,1.6
1982/2/10,7.7,12.1,5.0
1982/2/11,8.1,11.4,4.2
1982/2/12,7.4,8.8,5.8
1982/2/13,7.4,13.5,1.6
1982/2/14,6.0,10.8,0.9
1982/2/15,4.4,11.0,-1.5
1982/2/16,6.8,10.3,0.6
1982/2/17,8.9,12.6,4.4
1982/2/18,7.8,14.4,0.4
1982/2/19,11.4,13.8,8.2
1982/2/20,15.7,20.6,12.5
1982/2/21,13.1,17.9,9.4
1982/2/22,9.7,14.9,3.7
1982/2/23,10.3,13.5,6.9
1982/2/24,6.2,9.8,0.7
1982/2/25,5.3,12.1,-0.4
1982/2/26,5.9,11.7,0.1
1982/2/27,7.7,15.0,0.4
1982/2/28,9.5,13.5,7.4
1982/3/1,10.8,16.3,7.2
1982/3/2,8.9,14.3,3.9
1982/3/3,6.1,12.6,-1.0
1982/3/4,11.1,18.4,2.4
1982/3/5,17.2,20.6,12.1
1982/3/6,13.7,18.8,10.2
1982/3/7,9.8,14.0,7.5
1982/3/8,9.2,13.4,6.5
1982/3/9,10.0,16.6,6.1
1982/3/10,9.7,16.8,2.6
1982/3/11,10.9,17.2,2.9
1982/3/12,13.0,15.3,9.0
1982/3/13,14.7,19.6,10.3
1982/3/14,11.3,14.5,6.5
1982/3/15,16.1,21.5,12.0
1982/3/16,17.4,24.7,12.4
1982/3/17,14.4,18.7,9.8
1982/3/18,15.4,19.1,12.6
1982/3/19,12.6,14.9,10.9
1982/3/20,14.6,15.3,13.7
1982/3/21,14.9,20.3,9.6
1982/3/22,14.3,19.8,6.6
1982/3/23,18.1,23.2,12.4
1982/3/24,17.0,21.3,10.9
1982/3/25,9.9,13.4,6.1
1982/3/26,9.7,13.5,5.4
1982/3/27,10.9,14.4,8.0
1982/3/28,10.8,15.1,6.7
1982/3/29,12.6,18.8,4.1
1982/3/30,14.3,20.6,9.3
1982/3/31,15.2,21.0,11.0
1982/4/1,13.0,20.2,6.6
1982/4/2,15.0,21.0,6.8
1982/4/3,15.7,23.9,10.6
1982/4/4,11.8,14.8,9.2
1982/4/5,11.6,14.3,8.9
1982/4/6,15.1,16.4,11.8
1982/4/7,15.6,20.9,13.2
1982/4/8,17.4,24.9,11.8
1982/4/9,10.1,15.3,5.1
1982/4/10,9.5,15.5,2.7
1982/4/11,10.8,17.4,3.4
1982/4/12,13.3,19.3,6.4
1982/4/13,16.0,22.1,9.7
1982/4/14,14.7,15.8,13.2
1982/4/15,16.2,21.7,11.4
1982/4/16,16.7,23.9,10.2
1982/4/17,14.7,21.9,8.0
1982/4/18,13.2,19.1,7.5
1982/4/19,12.4,19.7,4.3
1982/4/20,15.6,23.7,6.4
1982/4/21,14.8,16.4,13.6
1982/4/22,14.7,19.5,10.8
1982/4/23,14.8,21.3,8.4
1982/4/24,17.2,22.7,10.0
1982/4/25,18.9,23.2,12.7
1982/4/26,18.8,20.9,17.4
1982/4/27,19.0,23.1,17.1
1982/4/28,18.7,21.7,16.3
1982/4/29,20.2,23.8,16.8
1982/4/30,20.5,25.0,16.7
1982/5/1,20.5,24.2,17.4
