ダウンロードした時刻：2017/07/24 15:42:14

,尾鷲,尾鷲,尾鷲
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1993/1/1,6.3,13.4,1.0
1993/1/2,8.0,12.9,3.4
1993/1/3,8.8,15.3,3.4
1993/1/4,9.5,14.0,5.6
1993/1/5,6.2,10.7,1.9
1993/1/6,6.2,11.0,0.1
1993/1/7,10.5,15.5,7.3
1993/1/8,10.6,16.1,5.4
1993/1/9,8.2,12.5,3.3
1993/1/10,10.6,12.5,8.7
1993/1/11,10.6,13.9,6.5
1993/1/12,7.9,13.3,3.6
1993/1/13,8.1,11.1,5.6
1993/1/14,8.9,10.3,7.5
1993/1/15,10.8,11.3,10.1
1993/1/16,10.2,13.6,6.2
1993/1/17,7.3,11.4,2.1
1993/1/18,6.1,9.5,1.6
1993/1/19,5.3,9.0,1.8
1993/1/20,4.3,9.7,-0.3
1993/1/21,4.9,10.1,0.7
1993/1/22,4.1,10.9,-1.2
1993/1/23,5.9,11.9,0.1
1993/1/24,7.3,10.3,5.6
1993/1/25,8.8,12.0,6.2
1993/1/26,8.4,14.3,3.1
1993/1/27,6.8,12.7,1.9
1993/1/28,3.7,5.6,1.8
1993/1/29,4.7,9.7,0.9
1993/1/30,5.1,11.8,0.7
1993/1/31,5.6,12.0,0.3
1993/2/1,4.4,8.7,1.3
1993/2/2,2.0,4.6,-0.7
1993/2/3,3.3,10.0,-2.0
1993/2/4,7.3,15.4,1.3
1993/2/5,6.9,13.8,1.4
1993/2/6,12.5,22.5,3.3
1993/2/7,14.3,22.1,8.9
1993/2/8,6.0,9.3,1.9
1993/2/9,3.6,8.1,0.4
1993/2/10,5.4,11.7,0.5
1993/2/11,6.6,13.8,0.5
1993/2/12,8.9,12.8,5.1
1993/2/13,7.5,13.4,1.6
1993/2/14,7.8,11.2,0.6
1993/2/15,5.9,12.3,-0.4
1993/2/16,9.9,15.4,4.0
1993/2/17,15.1,20.7,9.5
1993/2/18,10.2,14.6,6.2
1993/2/19,7.0,12.9,2.1
1993/2/20,7.5,13.6,1.1
1993/2/21,12.1,18.7,6.3
1993/2/22,13.6,19.0,7.7
1993/2/23,6.0,10.3,3.4
1993/2/24,4.1,8.4,2.0
1993/2/25,5.3,9.0,1.9
1993/2/26,5.6,11.1,-0.6
1993/2/27,8.6,15.0,1.6
1993/2/28,9.7,15.5,4.6
1993/3/1,6.7,11.2,3.4
1993/3/2,4.8,9.8,1.2
1993/3/3,5.6,11.3,-0.7
1993/3/4,7.5,12.5,3.4
1993/3/5,8.9,16.2,1.4
1993/3/6,10.8,16.8,3.5
1993/3/7,12.6,18.5,9.1
1993/3/8,7.6,10.9,3.4
1993/3/9,7.4,12.7,0.5
1993/3/10,9.4,14.9,4.4
1993/3/11,8.2,13.7,1.9
1993/3/12,9.6,15.6,5.4
1993/3/13,8.0,12.7,2.9
1993/3/14,7.8,13.6,0.9
1993/3/15,7.1,8.8,6.2
1993/3/16,6.3,10.7,2.1
1993/3/17,5.2,11.7,-0.8
1993/3/18,6.6,12.9,-0.5
1993/3/19,7.1,13.4,1.3
1993/3/20,5.9,11.4,0.3
1993/3/21,7.2,14.2,-0.2
1993/3/22,9.2,13.1,4.2
1993/3/23,11.4,18.1,4.2
1993/3/24,12.6,21.5,10.7
1993/3/25,16.1,21.7,9.6
1993/3/26,12.9,16.0,9.4
1993/3/27,13.5,19.1,8.0
1993/3/28,11.4,12.7,9.9
1993/3/29,7.0,10.1,2.8
1993/3/30,6.9,12.3,-0.2
1993/3/31,10.3,12.3,6.9
1993/4/1,13.8,21.4,7.8
1993/4/2,13.3,20.5,5.6
1993/4/3,14.9,21.1,9.3
1993/4/4,14.1,18.3,10.1
1993/4/5,11.6,15.7,7.8
1993/4/6,9.7,15.2,2.3
1993/4/7,11.9,18.1,5.0
1993/4/8,10.6,14.5,6.8
1993/4/9,9.3,14.2,3.1
1993/4/10,9.4,14.9,4.0
1993/4/11,8.3,14.4,2.2
1993/4/12,10.1,15.3,4.2
1993/4/13,10.1,16.4,2.7
1993/4/14,12.4,18.4,6.2
1993/4/15,14.8,22.4,6.2
1993/4/16,14.2,18.0,11.7
1993/4/17,14.3,18.6,10.0
1993/4/18,19.5,27.6,9.4
1993/4/19,17.0,21.4,12.9
1993/4/20,16.8,20.5,11.9
1993/4/21,16.1,17.6,15.1
1993/4/22,15.8,17.4,14.9
1993/4/23,18.6,25.0,12.2
1993/4/24,18.1,20.4,15.1
1993/4/25,16.8,22.3,8.1
1993/4/26,14.1,19.1,6.0
1993/4/27,19.0,24.0,14.0
1993/4/28,16.1,19.5,14.6
1993/4/29,15.3,17.1,13.9
1993/4/30,15.1,18.1,12.5
1993/5/1,14.5,18.4,10.5
