ダウンロードした時刻：2019/10/10 16:06:26

,舞鶴,舞鶴,舞鶴
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1999/12/1,8.4,11.3,5.1
1999/12/2,9.5,11.8,7.8
1999/12/3,9.5,11.1,7.9
1999/12/4,8.4,13.7,2.2
1999/12/5,11.1,15.1,8.9
1999/12/6,8.7,12.0,3.9
1999/12/7,5.6,8.1,3.3
1999/12/8,6.2,11.5,3.6
1999/12/9,9.0,15.4,2.4
1999/12/10,7.4,14.7,2.4
1999/12/11,7.0,10.4,4.9
1999/12/12,6.1,9.5,3.8
1999/12/13,6.7,10.7,4.5
1999/12/14,6.0,7.9,3.9
1999/12/15,5.0,8.6,1.9
1999/12/16,5.7,12.3,1.4
1999/12/17,8.7,14.3,5.5
1999/12/18,4.9,8.0,2.0
1999/12/19,3.8,6.7,1.4
1999/12/20,1.4,7.1,-1.7
1999/12/21,0.4,3.4,-2.1
1999/12/22,0.5,2.0,-0.7
1999/12/23,1.3,6.3,-1.0
1999/12/24,3.0,9.0,-0.7
1999/12/25,4.0,9.3,1.0
1999/12/26,2.4,4.2,0.7
1999/12/27,2.9,8.6,-0.5
1999/12/28,4.6,11.6,-0.9
1999/12/29,5.7,12.1,1.6
1999/12/30,5.2,13.3,1.4
1999/12/31,4.4,12.7,0.0
2000/1/1,7.5,9.1,3.5
2000/1/2,6.9,12.7,1.6
2000/1/3,8.9,13.3,5.8
2000/1/4,6.9,10.6,3.5
2000/1/5,7.4,11.3,4.5
2000/1/6,12.0,18.2,6.3
2000/1/7,7.9,12.7,0.6
2000/1/8,3.8,9.7,0.6
2000/1/9,5.0,8.5,1.9
2000/1/10,7.0,9.8,4.9
2000/1/11,6.7,7.7,6.0
2000/1/12,7.1,9.3,5.9
2000/1/13,8.5,10.3,6.1
2000/1/14,7.2,10.2,3.4
2000/1/15,4.8,8.9,1.9
2000/1/16,2.9,5.2,0.4
2000/1/17,7.3,10.4,3.5
2000/1/18,5.5,8.0,-1.2
2000/1/19,3.8,11.6,-1.7
2000/1/20,1.8,6.0,-1.7
2000/1/21,0.3,2.3,-1.5
2000/1/22,1.2,4.0,-0.4
2000/1/23,3.0,5.8,0.8
2000/1/24,5.7,7.8,3.6
2000/1/25,2.5,6.0,0.5
2000/1/26,-0.2,1.5,-1.6
2000/1/27,-0.1,2.3,-2.1
2000/1/28,0.4,4.1,-3.3
2000/1/29,1.3,7.1,-1.2
2000/1/30,3.2,5.4,0.3
2000/1/31,1.3,3.9,0.3
2000/2/1,1.5,5.1,-0.5
2000/2/2,2.5,7.7,-1.0
2000/2/3,2.0,8.8,-2.3
2000/2/4,3.2,5.8,0.5
2000/2/5,3.2,9.1,-0.9
2000/2/6,4.2,6.9,0.2
2000/2/7,4.2,6.6,1.0
2000/2/8,1.8,5.3,-1.6
2000/2/9,0.8,2.5,-0.4
2000/2/10,1.2,5.1,-0.7
2000/2/11,2.8,7.5,-2.0
2000/2/12,5.6,12.5,1.5
2000/2/13,3.7,5.5,0.7
2000/2/14,5.5,13.9,0.6
2000/2/15,0.6,5.3,-1.6
2000/2/16,-0.8,0.7,-1.8
2000/2/17,0.1,2.7,-1.8
2000/2/18,0.3,2.1,-1.1
2000/2/19,1.1,3.2,-0.4
2000/2/20,2.5,5.8,0.1
2000/2/21,1.1,3.7,0.1
2000/2/22,1.3,3.9,-0.7
2000/2/23,2.0,6.2,-0.8
2000/2/24,1.0,2.9,-0.6
2000/2/25,0.1,3.4,-2.0
2000/2/26,0.4,4.9,-2.5
2000/2/27,1.0,3.6,-1.1
2000/2/28,1.6,7.4,-1.8
2000/2/29,0.1,3.2,-2.5
2000/3/1,1.6,6.5,-2.3
2000/3/2,3.0,11.4,-3.0
2000/3/3,3.8,12.3,-1.7
2000/3/4,5.7,8.7,3.2
2000/3/5,5.3,10.7,2.4
2000/3/6,5.3,13.7,-0.4
2000/3/7,3.8,8.0,0.0
2000/3/8,1.4,7.6,-1.7
2000/3/9,0.5,3.2,-2.0
2000/3/10,1.3,4.5,-0.6
2000/3/11,2.6,6.9,-0.7
2000/3/12,4.9,10.9,0.8
2000/3/13,3.9,8.7,-0.9
2000/3/14,3.8,11.2,-2.0
2000/3/15,5.5,13.1,-0.9
2000/3/16,8.4,11.2,5.3
2000/3/17,5.5,9.7,-0.3
2000/3/18,7.2,17.7,-1.5
2000/3/19,8.6,11.5,6.1
2000/3/20,6.3,8.3,2.6
2000/3/21,5.2,12.6,-0.5
2000/3/22,6.0,9.8,0.7
2000/3/23,8.0,16.5,-1.4
2000/3/24,6.8,10.1,2.8
2000/3/25,3.3,8.1,1.1
2000/3/26,3.6,7.1,1.9
2000/3/27,8.7,19.5,1.5
2000/3/28,12.3,16.3,6.8
2000/3/29,9.2,12.5,6.0
2000/3/30,8.4,13.7,5.2
2000/3/31,9.1,16.8,3.0
