ダウンロードした時刻：2017/07/24 15:45:08

,潮岬,潮岬,潮岬
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1990/1/1,6.6,8.9,4.1
1990/1/2,9.5,12.4,5.9
1990/1/3,6.4,9.4,4.4
1990/1/4,5.8,8.7,3.1
1990/1/5,7.0,10.8,2.6
1990/1/6,11.0,15.5,6.3
1990/1/7,6.7,10.2,4.0
1990/1/8,7.5,10.9,2.9
1990/1/9,11.0,14.1,6.7
1990/1/10,16.3,19.7,12.2
1990/1/11,11.3,14.2,8.9
1990/1/12,12.0,15.1,9.5
1990/1/13,7.9,11.7,3.7
1990/1/14,6.8,11.0,2.6
1990/1/15,7.0,9.2,4.1
1990/1/16,5.7,8.9,3.4
1990/1/17,8.5,12.3,5.4
1990/1/18,12.8,15.9,6.1
1990/1/19,13.3,16.0,9.8
1990/1/20,6.9,10.2,4.4
1990/1/21,6.5,10.6,3.0
1990/1/22,8.0,10.4,3.7
1990/1/23,4.9,7.7,2.2
1990/1/24,2.5,7.0,-0.2
1990/1/25,1.8,4.6,0.0
1990/1/26,2.6,6.3,0.0
1990/1/27,3.7,6.7,1.3
1990/1/28,6.9,10.0,0.5
1990/1/29,13.9,16.5,9.8
1990/1/30,11.3,15.6,6.5
1990/1/31,7.2,8.4,6.3
1990/2/1,6.9,9.2,4.2
1990/2/2,7.9,11.3,4.2
1990/2/3,9.2,10.1,7.8
1990/2/4,8.5,10.2,7.5
1990/2/5,9.6,14.4,6.7
1990/2/6,9.0,10.3,7.0
1990/2/7,10.6,14.3,8.6
1990/2/8,9.2,12.4,6.6
1990/2/9,10.0,14.4,6.5
1990/2/10,10.4,13.1,7.6
1990/2/11,15.6,17.6,12.1
1990/2/12,10.7,14.0,8.2
1990/2/13,8.0,11.3,4.0
1990/2/14,8.3,9.8,6.6
1990/2/15,11.3,13.6,9.8
1990/2/16,10.2,14.2,6.9
1990/2/17,9.4,13.7,5.1
1990/2/18,11.7,16.1,7.2
1990/2/19,14.5,15.8,11.7
1990/2/20,15.4,17.6,11.6
1990/2/21,12.1,16.5,7.8
1990/2/22,13.5,16.1,10.6
1990/2/23,13.7,17.5,12.1
1990/2/24,15.5,18.7,11.9
1990/2/25,12.7,15.3,11.8
1990/2/26,12.0,13.3,10.9
1990/2/27,9.6,11.7,6.5
1990/2/28,9.3,12.1,4.0
1990/3/1,11.7,13.9,10.8
1990/3/2,11.9,14.6,10.3
1990/3/3,11.2,13.3,10.2
1990/3/4,10.8,14.5,8.0
1990/3/5,10.4,13.4,7.2
1990/3/6,10.0,13.2,7.0
1990/3/7,9.0,13.9,5.1
1990/3/8,5.7,9.5,2.8
1990/3/9,9.3,13.2,2.2
1990/3/10,12.2,16.5,8.4
1990/3/11,14.4,18.3,8.8
1990/3/12,13.3,17.4,6.6
1990/3/13,9.2,14.0,4.9
1990/3/14,12.4,15.9,6.4
1990/3/15,16.0,19.5,11.8
1990/3/16,11.6,15.7,7.3
1990/3/17,11.4,15.4,7.7
1990/3/18,11.2,16.3,7.6
1990/3/19,11.0,15.4,6.5
1990/3/20,14.2,19.3,10.3
1990/3/21,12.8,17.1,9.6
1990/3/22,12.7,16.4,8.3
1990/3/23,16.1,19.4,11.5
1990/3/24,16.6,18.6,14.1
1990/3/25,11.5,15.2,7.5
1990/3/26,10.1,13.8,5.8
1990/3/27,11.1,14.4,6.5
1990/3/28,11.5,13.3,10.7
1990/3/29,13.4,15.8,11.2
1990/3/30,12.9,14.8,11.4
1990/3/31,14.1,15.1,13.0
1990/4/1,15.9,19.0,13.3
1990/4/2,16.5,20.8,13.5
1990/4/3,16.5,19.7,12.5
1990/4/4,15.2,17.9,12.2
1990/4/5,9.5,12.2,7.5
1990/4/6,12.0,15.6,6.6
1990/4/7,15.3,18.1,10.1
1990/4/8,15.0,17.6,11.7
1990/4/9,13.8,17.9,8.2
1990/4/10,16.2,20.9,12.7
1990/4/11,17.3,20.9,13.6
1990/4/12,17.6,20.0,16.1
1990/4/13,17.3,18.2,16.1
1990/4/14,16.7,19.8,14.2
1990/4/15,15.1,18.3,11.1
1990/4/16,14.1,17.7,10.0
1990/4/17,13.7,16.4,11.1
1990/4/18,12.6,16.9,8.7
1990/4/19,12.1,15.9,7.9
1990/4/20,13.5,16.3,10.7
1990/4/21,14.6,16.7,11.9
1990/4/22,16.3,17.8,14.1
1990/4/23,18.2,21.6,14.8
1990/4/24,15.0,18.7,9.6
1990/4/25,13.2,17.4,8.3
1990/4/26,16.6,19.9,11.8
1990/4/27,18.1,21.7,14.7
1990/4/28,18.7,22.8,15.2
1990/4/29,19.0,22.9,14.7
1990/4/30,15.9,20.5,12.0
1990/5/1,15.2,19.3,10.6
