ダウンロードした時刻：2017/07/24 15:41:34

,津,津,津
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1984/1/1,4.1,8.9,-0.8
1984/1/2,5.3,10.8,0.7
1984/1/3,2.8,4.8,-1.3
1984/1/4,4.1,7.3,0.6
1984/1/5,2.4,6.9,-0.8
1984/1/6,2.8,7.2,-0.9
1984/1/7,3.3,9.2,-1.1
1984/1/8,2.9,8.8,-1.6
1984/1/9,3.8,9.1,-2.4
1984/1/10,7.5,11.5,3.4
1984/1/11,4.5,8.3,1.0
1984/1/12,2.5,6.0,-0.6
1984/1/13,3.4,8.8,-1.2
1984/1/14,3.0,10.4,-2.5
1984/1/15,4.0,8.0,-1.7
1984/1/16,2.5,5.0,0.5
1984/1/17,1.8,6.2,-0.9
1984/1/18,2.5,6.4,-1.7
1984/1/19,1.3,2.8,0.4
1984/1/20,1.7,5.4,-1.4
1984/1/21,1.6,4.6,-0.9
1984/1/22,3.0,7.1,0.3
1984/1/23,2.6,6.4,0.2
1984/1/24,2.1,6.4,-0.7
1984/1/25,2.2,7.1,-0.9
1984/1/26,0.9,4.5,-1.7
1984/1/27,1.7,6.0,-1.3
1984/1/28,2.0,6.6,-0.9
1984/1/29,0.3,4.4,-2.3
1984/1/30,2.0,6.8,-2.6
1984/1/31,1.5,3.2,-0.1
1984/2/1,4.0,8.8,0.3
1984/2/2,3.2,9.8,-1.7
1984/2/3,0.0,5.0,-2.9
1984/2/4,-1.3,1.8,-3.7
1984/2/5,2.5,6.4,-2.4
1984/2/6,1.5,6.4,-2.6
1984/2/7,-1.8,1.7,-3.9
1984/2/8,0.0,3.2,-2.9
1984/2/9,0.5,4.0,-2.6
1984/2/10,0.8,5.0,-2.5
1984/2/11,1.7,7.9,-1.9
1984/2/12,-0.4,2.5,-5.1
1984/2/13,4.2,7.9,0.9
1984/2/14,4.6,9.4,1.4
1984/2/15,2.5,5.3,0.5
1984/2/16,2.0,6.9,-1.5
1984/2/17,-0.1,2.3,-2.5
1984/2/18,2.0,5.3,-0.8
1984/2/19,2.5,6.0,0.3
1984/2/20,3.7,9.5,-1.6
1984/2/21,5.8,11.6,0.3
1984/2/22,5.9,10.4,-0.2
1984/2/23,6.1,8.0,3.7
1984/2/24,6.0,10.3,3.3
1984/2/25,5.7,8.2,2.4
1984/2/26,6.8,9.2,5.4
1984/2/27,3.6,7.0,0.4
1984/2/28,2.0,6.1,-0.3
1984/2/29,2.0,7.2,-1.3
1984/3/1,2.0,6.6,-1.8
1984/3/2,3.9,11.4,-2.5
1984/3/3,2.4,5.5,-1.0
1984/3/4,3.6,8.7,-1.3
1984/3/5,3.2,8.3,-1.4
1984/3/6,3.5,8.1,-0.7
1984/3/7,3.2,8.0,-0.3
1984/3/8,4.2,9.6,0.2
1984/3/9,4.4,9.8,-0.9
1984/3/10,2.7,4.9,1.2
1984/3/11,3.0,8.0,0.5
1984/3/12,5.5,13.7,-2.5
1984/3/13,5.1,8.9,3.1
1984/3/14,3.8,4.8,2.5
1984/3/15,4.2,6.6,0.6
1984/3/16,7.2,9.3,4.8
1984/3/17,7.5,11.6,4.9
1984/3/18,6.9,11.8,2.8
1984/3/19,1.9,4.4,0.6
1984/3/20,5.1,9.6,1.7
1984/3/21,3.9,9.0,0.2
1984/3/22,3.3,7.9,-0.6
1984/3/23,5.3,11.6,-0.1
1984/3/24,3.2,5.1,0.0
1984/3/25,8.4,14.4,3.4
1984/3/26,7.1,11.9,1.5
1984/3/27,6.2,11.8,-1.2
1984/3/28,7.5,12.5,3.7
1984/3/29,6.8,13.4,-0.4
1984/3/30,10.4,15.0,3.0
1984/3/31,11.8,18.6,7.4
1984/4/1,8.5,9.6,7.5
1984/4/2,10.0,17.0,5.5
1984/4/3,9.7,11.1,5.8
1984/4/4,10.5,12.2,9.5
1984/4/5,12.6,14.1,10.2
1984/4/6,10.3,14.6,5.5
1984/4/7,8.3,14.3,3.9
1984/4/8,7.7,13.4,1.3
1984/4/9,8.9,11.1,5.0
1984/4/10,9.6,11.1,8.3
1984/4/11,11.6,17.9,6.7
1984/4/12,11.2,16.7,7.1
1984/4/13,10.4,14.7,5.7
1984/4/14,11.4,17.1,4.9
1984/4/15,12.7,18.2,8.6
1984/4/16,11.9,12.5,11.2
1984/4/17,14.4,17.8,9.7
1984/4/18,16.6,19.6,14.5
1984/4/19,15.3,19.6,12.8
1984/4/20,11.6,15.5,9.2
1984/4/21,11.4,14.4,7.9
1984/4/22,12.0,14.5,8.7
1984/4/23,13.0,20.1,7.8
1984/4/24,12.9,18.6,5.9
1984/4/25,14.7,17.6,10.9
1984/4/26,15.9,19.7,11.9
1984/4/27,16.4,21.8,11.3
1984/4/28,15.1,20.6,10.0
1984/4/29,15.2,18.6,10.4
1984/4/30,14.7,15.9,13.7
1984/5/1,14.5,15.9,11.2
