ダウンロードした時刻：2017/07/24 15:45:07

,潮岬,潮岬,潮岬
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1986/1/1,6.9,9.3,4.8
1986/1/2,3.6,5.7,1.2
1986/1/3,5.5,9.6,0.2
1986/1/4,8.3,13.8,4.2
1986/1/5,1.5,4.3,-1.0
1986/1/6,2.4,5.1,0.5
1986/1/7,5.4,8.6,0.4
1986/1/8,6.1,10.1,3.5
1986/1/9,3.7,6.1,1.9
1986/1/10,3.5,7.0,1.5
1986/1/11,3.0,5.9,1.0
1986/1/12,3.8,8.3,0.2
1986/1/13,6.5,10.2,2.7
1986/1/14,5.1,8.3,2.8
1986/1/15,7.3,10.3,2.5
1986/1/16,7.2,9.2,5.2
1986/1/17,8.1,11.5,5.4
1986/1/18,8.3,12.1,4.5
1986/1/19,9.0,10.6,7.6
1986/1/20,10.8,14.4,7.4
1986/1/21,9.0,12.5,4.9
1986/1/22,5.3,8.6,2.7
1986/1/23,5.0,7.7,2.6
1986/1/24,6.7,10.1,4.5
1986/1/25,4.6,7.7,3.0
1986/1/26,3.7,6.7,1.3
1986/1/27,3.0,5.9,1.4
1986/1/28,4.8,8.4,0.8
1986/1/29,6.7,10.5,3.1
1986/1/30,8.1,10.6,5.1
1986/1/31,9.3,13.4,6.3
1986/2/1,7.9,12.6,6.1
1986/2/2,7.8,11.8,5.1
1986/2/3,8.6,12.7,4.5
1986/2/4,3.8,8.3,1.1
1986/2/5,4.0,8.4,1.3
1986/2/6,4.4,7.8,1.1
1986/2/7,4.0,7.6,0.4
1986/2/8,4.5,7.9,2.2
1986/2/9,4.3,7.7,1.1
1986/2/10,4.3,7.9,0.8
1986/2/11,3.3,5.1,0.9
1986/2/12,5.9,11.1,1.9
1986/2/13,10.3,13.5,4.2
1986/2/14,9.9,11.8,9.1
1986/2/15,8.4,14.1,3.2
1986/2/16,2.2,5.9,-0.1
1986/2/17,4.7,10.0,-0.1
1986/2/18,7.7,10.5,4.8
1986/2/19,8.2,11.0,5.4
1986/2/20,7.6,12.0,2.0
1986/2/21,6.2,10.6,3.2
1986/2/22,7.1,11.4,2.4
1986/2/23,7.6,12.0,3.6
1986/2/24,4.6,9.2,1.2
1986/2/25,3.4,7.6,0.8
1986/2/26,5.6,10.3,-0.7
1986/2/27,6.7,10.6,2.8
1986/2/28,4.0,7.2,0.7
1986/3/1,5.3,9.2,2.0
1986/3/2,4.5,8.1,2.0
1986/3/3,6.1,10.7,2.2
1986/3/4,6.3,10.0,1.5
1986/3/5,8.8,14.0,4.3
1986/3/6,7.7,12.2,2.3
1986/3/7,10.6,15.3,6.1
1986/3/8,11.3,16.1,7.3
1986/3/9,14.3,18.6,7.9
1986/3/10,15.0,17.3,12.7
1986/3/11,11.5,13.4,10.1
1986/3/12,10.0,14.1,6.5
1986/3/13,12.4,16.0,7.1
1986/3/14,10.8,12.8,9.3
1986/3/15,12.7,15.7,10.5
1986/3/16,13.2,20.2,7.8
1986/3/17,7.8,13.2,3.4
1986/3/18,9.0,12.3,3.6
1986/3/19,12.7,16.1,9.2
1986/3/20,9.4,12.2,6.7
1986/3/21,8.4,13.6,4.1
1986/3/22,10.1,13.3,6.7
1986/3/23,8.6,11.5,6.2
1986/3/24,8.2,11.4,5.8
1986/3/25,9.2,14.0,5.4
1986/3/26,10.8,15.8,5.4
1986/3/27,12.4,16.5,9.2
1986/3/28,13.1,14.9,11.6
1986/3/29,12.5,15.6,11.4
1986/3/30,12.7,14.7,10.6
1986/3/31,13.0,17.6,8.9
1986/4/1,11.0,15.4,6.3
1986/4/2,13.3,17.6,7.5
1986/4/3,13.9,18.0,10.4
1986/4/4,15.0,17.7,11.9
1986/4/5,15.6,19.3,11.3
1986/4/6,14.9,18.5,8.2
1986/4/7,9.0,14.9,6.0
1986/4/8,11.9,15.6,4.6
1986/4/9,16.6,19.3,14.9
1986/4/10,17.8,19.7,15.8
1986/4/11,14.7,17.9,10.1
1986/4/12,11.2,14.7,7.6
1986/4/13,14.3,18.7,9.0
1986/4/14,16.2,19.3,11.2
1986/4/15,15.4,17.2,13.2
1986/4/16,14.6,18.2,10.8
1986/4/17,14.0,17.8,9.3
1986/4/18,14.1,17.1,12.1
1986/4/19,14.7,15.6,12.3
1986/4/20,15.3,16.8,14.4
1986/4/21,16.7,19.9,14.9
1986/4/22,17.4,18.6,16.1
1986/4/23,18.5,22.9,15.5
1986/4/24,18.5,22.1,13.3
1986/4/25,19.2,22.7,15.0
1986/4/26,19.8,23.3,17.1
1986/4/27,19.9,21.5,18.2
1986/4/28,17.0,20.6,15.2
1986/4/29,15.4,18.6,13.4
1986/4/30,16.1,19.1,13.1
1986/5/1,16.8,19.7,14.4
