ダウンロードした時刻：2017/07/24 15:38:57

,金沢,金沢,金沢
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2006/1/1,2.4,7.4,-1.5
2006/1/2,4.6,8.1,1.5
2006/1/3,3.1,6.5,0.3
2006/1/4,1.5,3.0,0.3
2006/1/5,-0.2,1.9,-2.4
2006/1/6,-0.7,1.0,-2.6
2006/1/7,0.0,2.1,-1.2
2006/1/8,0.4,3.3,-1.0
2006/1/9,0.5,4.4,-2.5
2006/1/10,2.5,6.3,-1.3
2006/1/11,2.7,5.0,1.1
2006/1/12,2.1,5.3,-0.6
2006/1/13,5.0,12.0,-1.5
2006/1/14,6.2,8.5,4.4
2006/1/15,5.2,7.7,1.2
2006/1/16,5.1,9.1,0.7
2006/1/17,2.6,5.0,1.1
2006/1/18,2.6,4.6,1.1
2006/1/19,0.4,2.5,-1.0
2006/1/20,0.9,4.5,-1.8
2006/1/21,1.9,6.0,-1.5
2006/1/22,0.6,4.9,-1.7
2006/1/23,0.7,2.8,-2.0
2006/1/24,1.2,4.0,0.3
2006/1/25,1.8,4.5,0.0
2006/1/26,2.6,6.0,0.4
2006/1/27,2.8,6.6,0.6
2006/1/28,2.9,4.2,0.8
2006/1/29,2.8,7.1,-1.2
2006/1/30,8.9,13.5,1.2
2006/1/31,3.4,5.2,2.1
2006/2/1,3.0,5.0,1.2
2006/2/2,3.3,6.0,0.6
2006/2/3,1.7,6.7,-3.2
2006/2/4,-1.8,0.5,-3.5
2006/2/5,-1.0,1.2,-2.6
2006/2/6,0.0,3.7,-2.6
2006/2/7,4.5,10.6,1.1
2006/2/8,2.5,6.7,0.3
2006/2/9,1.3,3.1,-0.8
2006/2/10,3.8,7.7,1.2
2006/2/11,4.7,7.7,1.5
2006/2/12,-0.5,1.6,-2.0
2006/2/13,6.3,10.8,-0.1
2006/2/14,10.1,15.4,1.6
2006/2/15,10.1,14.4,6.5
2006/2/16,6.4,7.5,5.3
2006/2/17,1.6,6.5,-0.9
2006/2/18,1.8,5.8,-2.4
2006/2/19,4.7,9.4,-0.8
2006/2/20,3.5,6.4,0.4
2006/2/21,6.4,11.8,1.9
2006/2/22,8.8,16.0,2.1
2006/2/23,5.2,7.5,1.6
2006/2/24,4.7,9.7,0.7
2006/2/25,6.7,13.0,0.6
2006/2/26,7.7,11.6,5.2
2006/2/27,2.6,5.2,0.7
2006/2/28,2.8,5.8,0.5
2006/3/1,3.4,5.4,1.1
2006/3/2,2.7,7.5,1.1
2006/3/3,2.2,5.3,0.2
2006/3/4,4.5,9.0,-0.3
2006/3/5,9.6,15.3,1.9
2006/3/6,8.0,12.7,3.4
2006/3/7,6.4,11.9,1.1
2006/3/8,8.6,12.7,4.6
2006/3/9,6.2,9.6,3.5
2006/3/10,9.1,13.2,6.5
2006/3/11,11.5,17.5,5.0
2006/3/12,5.1,10.8,0.7
2006/3/13,1.4,3.4,-0.5
2006/3/14,0.3,2.7,-1.2
2006/3/15,6.1,11.5,0.5
2006/3/16,8.0,13.3,2.8
2006/3/17,8.1,10.5,4.7
2006/3/18,7.7,13.9,3.7
2006/3/19,5.1,8.4,1.9
2006/3/20,6.2,10.0,1.5
2006/3/21,8.5,12.3,4.7
2006/3/22,7.1,10.8,3.1
2006/3/23,9.0,14.4,6.1
2006/3/24,6.4,10.3,3.2
2006/3/25,7.1,11.7,0.6
2006/3/26,11.9,17.0,6.9
2006/3/27,9.3,14.6,4.5
2006/3/28,10.8,20.1,4.4
2006/3/29,4.3,7.2,1.4
2006/3/30,2.7,4.5,0.0
2006/3/31,4.2,7.3,0.7
2006/4/1,8.0,14.2,1.3
2006/4/2,12.6,18.3,7.8
2006/4/3,7.7,10.7,5.0
2006/4/4,11.5,18.4,3.9
2006/4/5,9.8,13.2,7.2
2006/4/6,6.9,10.5,2.5
2006/4/7,8.7,13.4,4.8
2006/4/8,9.3,12.3,6.9
2006/4/9,8.1,11.4,6.4
2006/4/10,9.9,13.1,6.7
2006/4/11,14.1,20.4,9.9
2006/4/12,14.3,19.7,12.4
2006/4/13,11.6,14.1,7.7
2006/4/14,7.9,10.3,6.3
2006/4/15,9.6,14.1,6.5
2006/4/16,9.8,14.3,7.2
2006/4/17,9.4,14.7,5.4
2006/4/18,17.0,22.3,9.2
2006/4/19,17.3,23.1,11.4
2006/4/20,9.8,19.5,5.7
2006/4/21,7.2,10.3,5.6
2006/4/22,10.4,13.9,6.6
2006/4/23,14.0,18.4,9.7
2006/4/24,12.3,14.6,8.9
2006/4/25,10.8,13.7,7.9
2006/4/26,10.4,13.3,5.5
2006/4/27,11.8,16.0,9.0
2006/4/28,12.2,16.4,8.0
2006/4/29,16.4,24.2,7.9
2006/4/30,18.9,23.8,13.7
2006/5/1,18.6,23.5,14.8
