ダウンロードした時刻：2017/07/24 15:46:20

,下関,下関,下関
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2003/1/1,7.4,9.2,6.5
2003/1/2,6.8,9.4,5.1
2003/1/3,7.2,9.2,5.3
2003/1/4,3.1,5.5,-0.4
2003/1/5,1.5,2.9,-0.3
2003/1/6,2.2,4.3,-0.1
2003/1/7,4.6,7.3,1.1
2003/1/8,6.3,8.8,4.3
2003/1/9,7.1,9.9,4.7
2003/1/10,8.1,10.4,5.8
2003/1/11,7.2,8.3,6.2
2003/1/12,8.6,11.5,5.9
2003/1/13,9.7,13.7,6.7
2003/1/14,9.7,12.4,5.3
2003/1/15,4.4,7.4,2.4
2003/1/16,5.9,9.1,2.2
2003/1/17,9.3,14.2,5.2
2003/1/18,10.5,12.7,7.3
2003/1/19,7.9,9.3,6.2
2003/1/20,7.2,8.8,3.8
2003/1/21,6.0,8.2,3.1
2003/1/22,6.8,9.2,3.9
2003/1/23,7.3,10.2,4.3
2003/1/24,5.9,7.2,4.8
2003/1/25,6.1,8.2,4.2
2003/1/26,6.8,8.2,5.2
2003/1/27,8.7,12.1,4.2
2003/1/28,3.8,5.1,1.3
2003/1/29,0.4,4.0,-2.3
2003/1/30,2.6,5.5,0.5
2003/1/31,5.9,8.0,3.0
2003/2/1,6.2,8.6,4.5
2003/2/2,5.5,8.5,3.9
2003/2/3,5.8,9.4,3.3
2003/2/4,6.4,10.0,4.0
2003/2/5,4.9,7.1,0.6
2003/2/6,4.5,8.8,0.4
2003/2/7,7.7,13.5,1.9
2003/2/8,9.7,13.6,7.0
2003/2/9,10.5,13.5,7.8
2003/2/10,10.4,14.9,7.1
2003/2/11,10.4,12.0,8.6
2003/2/12,8.0,10.7,6.7
2003/2/13,5.8,7.5,4.5
2003/2/14,7.9,10.7,5.7
2003/2/15,7.3,9.6,5.0
2003/2/16,9.2,12.3,6.0
2003/2/17,8.0,12.7,4.0
2003/2/18,8.9,13.2,6.4
2003/2/19,8.0,11.8,4.6
2003/2/20,5.9,8.5,4.0
2003/2/21,6.4,9.2,2.8
2003/2/22,8.6,10.8,6.7
2003/2/23,9.8,12.2,8.5
2003/2/24,9.1,12.9,7.2
2003/2/25,9.0,12.6,6.2
2003/2/26,9.1,12.5,6.9
2003/2/27,8.4,11.5,5.2
2003/2/28,7.1,10.6,3.4
2003/3/1,10.2,11.7,9.0
2003/3/2,11.0,14.0,8.4
2003/3/3,9.7,12.2,5.6
2003/3/4,5.4,8.4,3.9
2003/3/5,5.8,7.2,4.3
2003/3/6,6.9,8.6,5.2
2003/3/7,9.1,11.6,6.6
2003/3/8,7.1,10.1,4.3
2003/3/9,6.4,10.0,4.5
2003/3/10,6.0,9.6,3.6
2003/3/11,5.9,10.2,2.6
2003/3/12,7.2,11.9,3.3
2003/3/13,8.5,12.8,5.3
2003/3/14,9.1,14.1,5.0
2003/3/15,9.4,11.9,7.7
2003/3/16,9.0,9.6,8.1
2003/3/17,11.1,13.7,9.6
2003/3/18,9.3,12.4,5.9
2003/3/19,8.4,12.6,5.2
2003/3/20,8.6,12.6,4.8
2003/3/21,9.8,14.0,6.4
2003/3/22,9.8,14.8,7.5
2003/3/23,10.0,14.9,6.1
2003/3/24,10.3,11.7,8.7
2003/3/25,12.8,15.7,10.4
2003/3/26,12.8,16.7,9.1
2003/3/27,12.2,16.0,9.5
2003/3/28,11.4,14.5,8.8
2003/3/29,11.5,15.1,8.6
2003/3/30,12.0,17.6,8.2
2003/3/31,14.4,19.1,10.4
2003/4/1,13.6,14.9,12.5
2003/4/2,13.4,14.9,12.5
2003/4/3,14.0,18.7,11.4
2003/4/4,11.4,12.6,10.2
2003/4/5,11.8,14.8,8.2
2003/4/6,12.5,16.7,7.5
2003/4/7,14.2,18.7,10.0
2003/4/8,14.2,17.3,12.2
2003/4/9,12.6,15.9,9.8
2003/4/10,11.7,16.2,7.7
2003/4/11,13.8,15.5,12.5
2003/4/12,15.3,17.0,14.2
2003/4/13,15.2,18.2,12.4
2003/4/14,15.1,19.3,12.1
2003/4/15,16.1,21.0,11.7
2003/4/16,17.2,23.2,12.0
2003/4/17,18.3,23.8,13.3
2003/4/18,18.4,23.2,16.0
2003/4/19,16.5,18.5,15.1
2003/4/20,15.2,16.0,14.2
2003/4/21,14.5,17.8,11.7
2003/4/22,13.8,17.7,9.5
2003/4/23,16.4,18.9,15.3
2003/4/24,16.6,17.9,15.9
2003/4/25,17.6,19.8,16.1
2003/4/26,15.1,17.9,13.7
2003/4/27,16.4,21.3,12.1
2003/4/28,18.7,24.7,14.3
2003/4/29,20.0,24.9,16.2
2003/4/30,15.6,18.1,14.0
2003/5/1,16.7,21.4,12.8
