ダウンロードした時刻：2017/07/24 15:39:24

,高田,高田,高田
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2002/1/1,4.1,10.1,0.2
2002/1/2,0.1,1.0,-1.9
2002/1/3,1.4,3.1,-0.9
2002/1/4,2.4,6.9,-0.1
2002/1/5,1.7,4.2,0.2
2002/1/6,1.1,3.0,-1.1
2002/1/7,3.3,9.9,-2.4
2002/1/8,2.9,7.1,0.4
2002/1/9,3.7,5.1,1.4
2002/1/10,4.6,8.8,2.0
2002/1/11,4.7,7.3,2.0
2002/1/12,5.4,12.8,1.4
2002/1/13,4.1,7.4,2.3
2002/1/14,4.0,9.4,0.6
2002/1/15,6.5,13.7,-0.4
2002/1/16,5.0,7.2,2.8
2002/1/17,2.4,4.1,1.5
2002/1/18,2.0,3.8,0.2
2002/1/19,2.1,6.4,-1.9
2002/1/20,3.7,9.4,-4.5
2002/1/21,8.3,13.8,2.9
2002/1/22,5.0,8.0,0.9
2002/1/23,2.7,7.8,0.3
2002/1/24,1.4,5.0,-0.1
2002/1/25,1.7,3.6,0.3
2002/1/26,1.7,4.8,-2.3
2002/1/27,3.9,6.6,2.0
2002/1/28,2.2,4.9,0.1
2002/1/29,0.5,2.2,-0.3
2002/1/30,1.3,3.6,-1.4
2002/1/31,1.1,4.3,-1.3
2002/2/1,1.1,5.7,-2.7
2002/2/2,3.7,9.2,0.7
2002/2/3,3.1,6.0,1.6
2002/2/4,3.5,7.8,-0.4
2002/2/5,3.5,9.0,-1.0
2002/2/6,5.4,11.7,-0.2
2002/2/7,5.4,12.2,-0.5
2002/2/8,5.7,10.1,1.2
2002/2/9,1.2,7.9,-0.5
2002/2/10,0.1,3.3,-1.4
2002/2/11,-0.1,2.3,-1.5
2002/2/12,0.6,2.7,-0.6
2002/2/13,0.8,4.0,-1.2
2002/2/14,0.6,4.6,-1.6
2002/2/15,0.7,3.9,-0.8
2002/2/16,2.5,7.6,-1.2
2002/2/17,5.2,10.8,-1.0
2002/2/18,2.0,7.0,0.2
2002/2/19,2.0,4.2,-0.2
2002/2/20,5.4,8.9,1.2
2002/2/21,5.4,11.3,0.8
2002/2/22,5.4,9.7,2.7
2002/2/23,4.3,7.7,1.6
2002/2/24,2.7,6.8,-1.3
2002/2/25,3.0,8.3,-0.8
2002/2/26,4.8,9.7,-0.2
2002/2/27,6.2,12.5,0.4
2002/2/28,5.7,8.3,3.2
2002/3/1,6.9,11.0,4.2
2002/3/2,4.0,12.8,0.5
2002/3/3,1.5,5.1,-2.3
2002/3/4,4.1,11.7,-3.5
2002/3/5,5.9,10.5,0.9
2002/3/6,8.1,14.7,4.3
2002/3/7,5.0,7.9,2.4
2002/3/8,2.9,8.0,0.5
2002/3/9,5.9,12.6,0.5
2002/3/10,7.3,17.5,0.1
2002/3/11,6.8,12.8,2.6
2002/3/12,6.1,14.8,1.1
2002/3/13,6.8,11.9,1.2
2002/3/14,12.1,21.8,2.0
2002/3/15,12.7,18.3,9.3
2002/3/16,7.8,12.1,3.6
2002/3/17,11.5,21.3,3.3
2002/3/18,8.9,16.0,2.9
2002/3/19,12.1,17.4,6.8
2002/3/20,8.7,13.4,3.9
2002/3/21,14.7,23.2,2.7
2002/3/22,7.7,11.2,5.5
2002/3/23,6.1,10.3,2.2
2002/3/24,3.5,9.0,0.9
2002/3/25,5.6,11.9,1.6
2002/3/26,9.9,18.3,-0.2
2002/3/27,8.3,10.3,5.4
2002/3/28,6.4,11.4,2.4
2002/3/29,10.6,20.5,1.9
2002/3/30,9.4,12.1,4.8
2002/3/31,9.4,15.6,3.1
2002/4/1,12.4,17.2,9.0
2002/4/2,14.0,21.6,7.5
2002/4/3,14.3,24.7,7.2
2002/4/4,11.0,15.7,7.9
2002/4/5,9.2,14.1,4.0
2002/4/6,10.7,18.4,1.8
2002/4/7,14.1,21.3,10.3
2002/4/8,15.2,22.6,9.8
2002/4/9,10.0,12.3,8.6
2002/4/10,9.9,14.9,6.8
2002/4/11,10.9,15.4,6.6
2002/4/12,8.3,11.8,3.8
2002/4/13,11.2,18.5,3.0
2002/4/14,13.5,22.4,5.4
2002/4/15,18.2,27.0,9.5
2002/4/16,20.6,26.8,14.4
2002/4/17,16.5,23.7,10.3
2002/4/18,11.2,16.2,5.9
2002/4/19,11.3,18.4,3.6
2002/4/20,16.4,23.9,5.9
2002/4/21,17.5,19.6,13.9
2002/4/22,19.2,27.2,10.2
2002/4/23,19.7,27.5,14.4
2002/4/24,19.1,27.3,13.3
2002/4/25,11.1,14.5,7.0
2002/4/26,11.2,15.2,6.8
2002/4/27,12.2,16.5,8.5
2002/4/28,12.3,18.3,7.2
2002/4/29,14.3,21.8,3.8
2002/4/30,15.7,19.0,13.7
2002/5/1,13.4,19.0,8.4
