ダウンロードした時刻：2017/07/24 15:44:55

,和歌山,和歌山,和歌山
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1982/1/1,7.6,11.0,4.0
1982/1/2,5.8,10.1,1.8
1982/1/3,5.1,10.5,0.1
1982/1/4,10.2,16.5,3.1
1982/1/5,9.1,12.3,5.4
1982/1/6,5.6,8.7,2.2
1982/1/7,3.6,7.0,1.0
1982/1/8,2.1,7.7,-2.2
1982/1/9,5.9,10.7,-0.5
1982/1/10,6.3,10.8,2.3
1982/1/11,8.0,12.9,0.4
1982/1/12,12.8,16.7,7.8
1982/1/13,5.5,8.0,2.9
1982/1/14,3.2,7.0,0.1
1982/1/15,4.1,8.6,-1.7
1982/1/16,4.3,8.6,1.0
1982/1/17,2.2,6.0,-0.6
1982/1/18,4.3,11.9,-1.3
1982/1/19,3.0,4.9,1.7
1982/1/20,4.4,7.4,2.3
1982/1/21,4.6,9.8,-0.8
1982/1/22,7.6,12.5,3.3
1982/1/23,7.1,10.2,3.8
1982/1/24,5.2,8.8,0.9
1982/1/25,6.4,9.3,5.1
1982/1/26,5.0,9.6,0.9
1982/1/27,5.8,10.7,0.9
1982/1/28,3.1,5.1,1.2
1982/1/29,0.7,3.2,-1.0
1982/1/30,2.2,5.6,-0.3
1982/1/31,2.5,6.3,-2.4
1982/2/1,5.1,8.7,2.3
1982/2/2,3.6,6.6,0.9
1982/2/3,4.0,8.1,-2.0
1982/2/4,4.9,5.8,4.1
1982/2/5,4.1,7.2,1.9
1982/2/6,4.2,8.8,0.9
1982/2/7,2.4,5.5,-0.4
1982/2/8,3.3,7.1,0.0
1982/2/9,3.1,7.2,-2.0
1982/2/10,5.0,7.8,1.4
1982/2/11,4.4,9.9,-2.0
1982/2/12,6.8,10.6,3.8
1982/2/13,6.4,10.7,1.9
1982/2/14,4.4,7.7,1.7
1982/2/15,4.1,8.5,0.0
1982/2/16,5.6,10.6,-1.4
1982/2/17,4.9,7.5,3.0
1982/2/18,7.4,12.5,2.2
1982/2/19,10.6,16.1,4.8
1982/2/20,13.1,16.8,10.3
1982/2/21,9.4,11.0,6.7
1982/2/22,7.9,11.8,5.1
1982/2/23,7.9,12.0,4.1
1982/2/24,5.2,8.4,3.1
1982/2/25,5.2,9.0,3.2
1982/2/26,4.0,7.5,1.6
1982/2/27,5.4,11.3,-0.6
1982/2/28,7.2,11.9,2.0
1982/3/1,6.4,7.8,5.0
1982/3/2,4.9,7.5,2.0
1982/3/3,4.6,8.8,1.0
1982/3/4,9.8,14.9,0.6
1982/3/5,14.4,17.9,9.7
1982/3/6,10.0,14.0,6.9
1982/3/7,6.0,9.2,3.8
1982/3/8,6.0,9.9,1.1
1982/3/9,7.1,12.6,0.7
1982/3/10,8.2,14.3,2.2
1982/3/11,9.8,17.2,2.8
1982/3/12,9.8,14.8,4.6
1982/3/13,11.3,16.8,8.5
1982/3/14,10.7,16.0,3.9
1982/3/15,16.0,19.2,11.9
1982/3/16,15.4,19.8,11.9
1982/3/17,12.4,16.3,9.6
1982/3/18,10.3,14.9,6.9
1982/3/19,9.4,13.6,4.2
1982/3/20,12.2,16.0,8.9
1982/3/21,11.3,14.9,7.2
1982/3/22,12.1,19.7,4.7
1982/3/23,15.2,19.6,8.0
1982/3/24,10.0,17.6,4.4
1982/3/25,5.6,9.2,3.7
1982/3/26,6.1,10.6,2.8
1982/3/27,7.3,12.3,2.8
1982/3/28,8.6,14.9,1.8
1982/3/29,9.6,17.0,1.7
1982/3/30,14.3,19.9,6.2
1982/3/31,12.5,16.9,9.1
1982/4/1,11.0,16.8,5.9
1982/4/2,15.4,21.6,6.6
1982/4/3,12.2,18.0,6.9
1982/4/4,8.9,12.7,6.8
1982/4/5,10.7,16.6,5.1
1982/4/6,12.8,16.4,9.2
1982/4/7,12.7,16.7,11.1
1982/4/8,15.2,21.1,11.1
1982/4/9,9.2,13.5,6.0
1982/4/10,8.9,12.9,5.7
1982/4/11,10.2,16.1,3.3
1982/4/12,12.7,18.6,5.0
1982/4/13,15.6,20.0,10.2
1982/4/14,13.9,15.5,12.9
1982/4/15,14.3,18.4,11.1
1982/4/16,13.9,21.0,8.0
1982/4/17,12.9,16.4,7.6
1982/4/18,11.3,15.5,6.3
1982/4/19,12.5,19.2,5.3
1982/4/20,14.8,20.2,7.0
1982/4/21,11.0,14.7,9.8
1982/4/22,13.2,18.8,8.7
1982/4/23,14.3,19.9,7.1
1982/4/24,15.8,19.8,10.3
1982/4/25,16.9,24.3,11.1
1982/4/26,16.6,20.1,12.6
1982/4/27,16.8,21.4,13.3
1982/4/28,16.2,20.2,14.2
1982/4/29,17.5,22.2,14.9
1982/4/30,19.6,23.7,15.8
1982/5/1,20.1,24.1,17.5
