ダウンロードした時刻：2017/07/24 15:42:30

,館山,館山,館山
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1990/1/1,3.4,10.0,-2.8
1990/1/2,8.6,11.1,-0.7
1990/1/3,6.6,11.1,1.5
1990/1/4,3.6,9.9,-1.0
1990/1/5,4.8,10.7,-2.6
1990/1/6,12.1,15.8,7.7
1990/1/7,5.7,10.7,0.6
1990/1/8,4.3,10.8,-0.7
1990/1/9,6.9,13.0,-1.0
1990/1/10,12.9,18.4,4.9
1990/1/11,9.9,16.9,3.6
1990/1/12,10.0,14.2,3.1
1990/1/13,7.8,13.8,2.6
1990/1/14,4.4,8.4,0.8
1990/1/15,5.7,9.9,-1.5
1990/1/16,2.5,6.8,1.0
1990/1/17,3.3,8.5,-1.2
1990/1/18,12.0,15.7,-0.3
1990/1/19,12.1,16.2,7.6
1990/1/20,5.3,7.7,3.2
1990/1/21,3.8,7.7,0.2
1990/1/22,6.6,11.8,-1.2
1990/1/23,5.2,10.5,1.4
1990/1/24,3.6,7.9,-1.9
1990/1/25,3.9,7.2,0.8
1990/1/26,2.0,5.5,-2.0
1990/1/27,1.6,7.0,-4.1
1990/1/28,3.0,8.6,-4.3
1990/1/29,10.3,16.3,3.1
1990/1/30,8.9,15.0,4.3
1990/1/31,2.3,4.3,0.9
1990/2/1,2.0,2.5,1.1
1990/2/2,2.5,7.1,-1.8
1990/2/3,4.8,9.4,-2.1
1990/2/4,5.4,6.9,4.4
1990/2/5,4.1,6.7,0.6
1990/2/6,5.8,10.3,0.0
1990/2/7,5.9,7.3,4.1
1990/2/8,7.5,12.7,0.9
1990/2/9,5.0,7.4,1.8
1990/2/10,5.7,10.5,-1.3
1990/2/11,15.7,17.5,8.1
1990/2/12,11.4,15.5,7.6
1990/2/13,7.9,11.7,5.4
1990/2/14,4.9,6.8,3.6
1990/2/15,5.3,6.5,3.6
1990/2/16,6.5,9.9,4.7
1990/2/17,8.0,13.2,3.4
1990/2/18,10.3,13.9,5.0
1990/2/19,10.0,13.3,8.2
1990/2/20,14.2,17.6,8.1
1990/2/21,10.3,16.2,5.7
1990/2/22,11.4,17.2,4.0
1990/2/23,12.9,15.7,10.3
1990/2/24,15.5,19.1,12.8
1990/2/25,12.5,15.3,9.6
1990/2/26,10.7,14.1,8.4
1990/2/27,8.1,9.7,7.0
1990/2/28,7.9,12.1,4.3
1990/3/1,8.7,11.6,4.8
1990/3/2,8.7,10.6,6.8
1990/3/3,8.8,12.4,6.3
1990/3/4,9.4,14.5,6.8
1990/3/5,9.0,13.3,5.2
1990/3/6,8.0,12.1,4.3
1990/3/7,9.6,15.2,2.5
1990/3/8,6.9,11.5,0.4
1990/3/9,7.3,14.9,-1.2
1990/3/10,9.5,16.1,3.0
1990/3/11,12.7,17.9,3.9
1990/3/12,14.6,18.4,8.0
1990/3/13,7.2,12.9,0.7
1990/3/14,9.4,15.0,-0.7
1990/3/15,15.7,21.3,9.2
1990/3/16,11.5,16.0,6.4
1990/3/17,9.8,15.2,4.4
1990/3/18,10.3,16.2,4.6
1990/3/19,10.8,15.3,5.7
1990/3/20,11.7,17.4,5.3
1990/3/21,9.9,15.5,4.4
1990/3/22,10.9,17.2,1.7
1990/3/23,12.7,18.7,5.4
1990/3/24,16.3,19.9,9.6
1990/3/25,10.4,14.9,5.4
1990/3/26,6.8,12.8,1.4
1990/3/27,7.6,14.4,-0.7
1990/3/28,12.1,16.9,7.5
1990/3/29,10.0,11.1,9.1
1990/3/30,10.1,12.3,8.3
1990/3/31,13.3,16.5,9.8
1990/4/1,16.3,20.9,11.2
1990/4/2,13.5,18.5,8.9
1990/4/3,15.8,21.0,7.2
1990/4/4,17.0,19.0,15.3
1990/4/5,10.3,17.2,4.2
1990/4/6,10.3,17.9,1.6
1990/4/7,13.3,17.1,4.5
1990/4/8,15.8,18.0,13.6
1990/4/9,14.7,19.1,5.6
1990/4/10,14.7,20.3,7.8
1990/4/11,14.4,21.2,9.1
1990/4/12,15.2,20.6,7.7
1990/4/13,17.4,19.5,14.7
1990/4/14,18.1,22.3,14.4
1990/4/15,14.6,19.7,9.2
1990/4/16,10.9,15.2,8.5
1990/4/17,10.5,13.9,6.2
1990/4/18,10.7,13.9,8.7
1990/4/19,10.6,14.4,7.5
1990/4/20,12.0,15.0,7.5
1990/4/21,14.4,16.5,12.3
1990/4/22,16.3,18.9,13.0
1990/4/23,19.0,21.7,15.4
1990/4/24,15.9,20.2,11.3
1990/4/25,13.9,18.0,7.2
1990/4/26,16.5,19.8,14.5
1990/4/27,16.3,22.1,11.2
1990/4/28,17.8,22.9,11.5
1990/4/29,17.4,22.5,12.8
1990/4/30,14.3,20.4,5.4
1990/5/1,15.7,21.5,11.9
