ダウンロードした時刻：2017/07/24 15:47:02

,大分,大分,大分
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2008/1/1,3.9,6.5,2.2
2008/1/2,5.2,8.3,2.3
2008/1/3,6.9,11.5,1.7
2008/1/4,7.4,12.1,3.3
2008/1/5,7.4,15.0,1.2
2008/1/6,6.5,14.0,0.4
2008/1/7,9.8,14.8,5.9
2008/1/8,11.0,16.3,6.2
2008/1/9,7.9,13.6,3.2
2008/1/10,8.1,14.3,2.4
2008/1/11,10.4,15.6,6.3
2008/1/12,12.4,15.1,9.4
2008/1/13,9.3,11.9,7.7
2008/1/14,6.7,9.3,3.4
2008/1/15,6.9,11.6,1.6
2008/1/16,7.6,9.8,5.1
2008/1/17,6.0,8.9,3.3
2008/1/18,7.2,10.7,4.5
2008/1/19,7.2,10.5,2.9
2008/1/20,7.1,7.9,6.1
2008/1/21,7.0,7.8,5.8
2008/1/22,6.1,7.3,4.7
2008/1/23,8.7,12.4,6.4
2008/1/24,4.8,7.8,2.6
2008/1/25,4.9,8.0,2.0
2008/1/26,5.5,7.1,3.8
2008/1/27,5.7,9.4,1.9
2008/1/28,4.2,5.4,2.9
2008/1/29,7.6,11.0,4.8
2008/1/30,8.1,11.5,5.8
2008/1/31,6.3,9.7,2.9
2008/2/1,6.9,10.5,2.1
2008/2/2,4.4,5.5,2.3
2008/2/3,6.3,9.9,2.9
2008/2/4,6.9,10.8,4.1
2008/2/5,6.3,8.8,3.9
2008/2/6,5.3,9.9,2.4
2008/2/7,5.4,9.6,1.0
2008/2/8,5.4,9.8,1.0
2008/2/9,5.4,7.3,3.9
2008/2/10,7.8,11.9,4.7
2008/2/11,6.9,10.9,1.4
2008/2/12,5.9,9.2,2.1
2008/2/13,3.0,6.2,0.4
2008/2/14,4.3,8.4,0.2
2008/2/15,5.7,10.0,1.9
2008/2/16,4.9,8.7,1.7
2008/2/17,3.9,8.0,1.3
2008/2/18,3.6,8.6,-1.5
2008/2/19,5.1,11.3,-0.7
2008/2/20,6.8,13.9,-0.2
2008/2/21,6.7,12.7,0.2
2008/2/22,9.0,14.6,3.1
2008/2/23,9.4,13.5,2.7
2008/2/24,4.0,7.3,2.0
2008/2/25,5.4,8.8,0.1
2008/2/26,9.6,17.5,6.2
2008/2/27,6.6,9.8,4.6
2008/2/28,6.6,11.8,2.0
2008/2/29,8.0,15.7,0.6
2008/3/1,9.1,13.4,4.2
2008/3/2,7.4,13.0,1.3
2008/3/3,8.1,11.5,5.4
2008/3/4,6.8,11.4,4.9
2008/3/5,6.1,10.1,2.6
2008/3/6,7.1,14.5,-0.4
2008/3/7,9.2,13.6,5.5
2008/3/8,7.6,12.3,1.9
2008/3/9,7.5,11.2,3.0
2008/3/10,13.4,19.4,8.0
2008/3/11,10.6,17.4,3.2
2008/3/12,11.1,16.4,5.5
2008/3/13,13.8,19.7,8.6
2008/3/14,12.8,16.5,8.6
2008/3/15,9.4,14.6,3.2
2008/3/16,11.4,17.0,4.4
2008/3/17,11.5,16.1,7.7
2008/3/18,11.3,15.8,5.7
2008/3/19,12.5,15.0,11.5
2008/3/20,11.8,15.3,9.3
2008/3/21,12.3,18.4,8.2
2008/3/22,10.5,15.0,4.8
2008/3/23,13.9,17.5,10.6
2008/3/24,13.4,18.0,9.1
2008/3/25,13.3,20.2,5.3
2008/3/26,11.3,15.4,7.8
2008/3/27,8.6,15.4,3.6
2008/3/28,11.5,15.7,6.9
2008/3/29,10.0,13.8,5.0
2008/3/30,8.6,10.5,6.8
2008/3/31,10.8,13.8,8.3
2008/4/1,11.7,17.4,5.9
2008/4/2,11.1,16.2,5.2
2008/4/3,13.4,18.5,8.9
2008/4/4,13.0,19.3,7.3
2008/4/5,11.5,17.1,4.9
2008/4/6,12.4,16.6,7.1
2008/4/7,14.7,16.5,13.2
2008/4/8,15.1,19.2,12.1
2008/4/9,13.5,18.4,9.8
2008/4/10,14.9,17.9,13.1
2008/4/11,15.2,19.8,11.5
2008/4/12,13.8,19.1,9.1
2008/4/13,12.7,14.8,10.0
2008/4/14,16.1,21.0,12.5
2008/4/15,15.0,19.6,9.5
2008/4/16,15.1,16.3,13.9
2008/4/17,14.9,16.1,13.7
2008/4/18,15.4,18.3,13.2
2008/4/19,15.5,19.2,13.4
2008/4/20,16.3,21.6,12.9
2008/4/21,17.1,21.8,11.2
2008/4/22,17.5,24.2,12.7
2008/4/23,16.6,20.0,12.7
2008/4/24,15.0,19.1,11.6
2008/4/25,13.0,19.0,6.0
2008/4/26,15.8,23.5,8.1
2008/4/27,15.4,20.0,10.6
2008/4/28,15.6,20.1,11.4
2008/4/29,17.0,21.9,10.8
2008/4/30,19.5,26.7,13.6
2008/5/1,17.1,19.1,15.1
