ダウンロードした時刻：2017/07/24 15:45:17

,奈良,奈良,奈良
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1991/1/1,9.9,15.1,5.9
1991/1/2,9.3,12.8,5.7
1991/1/3,5.9,9.7,2.7
1991/1/4,4.5,9.0,1.5
1991/1/5,3.4,7.1,0.5
1991/1/6,2.5,6.7,-1.6
1991/1/7,3.8,8.4,0.3
1991/1/8,4.1,8.6,-0.3
1991/1/9,3.3,7.7,-0.4
1991/1/10,5.6,10.0,0.9
1991/1/11,6.7,10.7,4.0
1991/1/12,4.8,9.3,-0.2
1991/1/13,3.5,6.8,0.5
1991/1/14,2.6,5.2,0.5
1991/1/15,2.9,6.9,-0.8
1991/1/16,4.5,9.8,0.6
1991/1/17,2.3,7.1,-0.7
1991/1/18,2.6,6.4,-0.4
1991/1/19,4.8,10.9,0.2
1991/1/20,5.7,14.2,-1.5
1991/1/21,6.1,7.9,4.9
1991/1/22,6.0,10.5,3.1
1991/1/23,2.8,6.4,-0.3
1991/1/24,3.8,9.6,-1.9
1991/1/25,7.0,11.5,4.3
1991/1/26,4.6,9.2,-0.2
1991/1/27,2.9,7.9,-1.1
1991/1/28,2.3,6.4,-0.5
1991/1/29,2.8,7.0,0.3
1991/1/30,2.7,6.6,-0.8
1991/1/31,2.7,9.3,-1.5
1991/2/1,3.0,10.7,-3.2
1991/2/2,2.8,7.7,-1.0
1991/2/3,2.7,8.2,-0.9
1991/2/4,4.6,9.6,0.6
1991/2/5,2.8,8.2,-1.4
1991/2/6,3.3,9.3,-3.0
1991/2/7,4.2,11.0,0.0
1991/2/8,3.4,8.7,-0.7
1991/2/9,3.0,8.6,-2.1
1991/2/10,5.6,10.0,0.2
1991/2/11,8.1,12.6,4.5
1991/2/12,6.4,11.0,3.6
1991/2/13,4.5,8.1,-0.1
1991/2/14,7.8,14.6,0.6
1991/2/15,11.1,15.0,9.2
1991/2/16,5.8,9.5,1.9
1991/2/17,2.1,5.8,0.1
1991/2/18,2.6,6.3,-0.2
1991/2/19,3.4,7.1,-0.8
1991/2/20,1.8,6.8,-1.6
1991/2/21,1.9,6.5,-1.5
1991/2/22,1.8,8.5,-2.6
1991/2/23,-0.3,3.5,-2.5
1991/2/24,0.3,4.9,-3.4
1991/2/25,0.4,5.6,-2.8
1991/2/26,2.3,9.7,-4.2
1991/2/27,5.3,13.3,-3.8
1991/2/28,7.7,11.9,5.2
1991/3/1,2.5,5.7,-0.2
1991/3/2,3.2,10.1,-1.5
1991/3/3,4.4,11.3,-0.8
1991/3/4,7.1,15.7,-1.6
1991/3/5,11.2,16.0,6.4
1991/3/6,12.6,18.9,8.1
1991/3/7,7.9,12.7,4.8
1991/3/8,6.4,9.9,3.4
1991/3/9,11.0,14.6,6.3
1991/3/10,7.7,13.4,2.7
1991/3/11,7.0,8.1,5.4
1991/3/12,7.8,14.1,3.7
1991/3/13,8.4,15.5,1.9
1991/3/14,4.3,8.9,0.2
1991/3/15,2.5,7.2,-1.3
1991/3/16,2.3,3.9,0.5
1991/3/17,6.1,11.3,2.4
1991/3/18,7.0,15.2,0.4
1991/3/19,10.7,20.2,1.1
1991/3/20,14.6,22.5,8.7
1991/3/21,8.4,13.2,5.4
1991/3/22,9.0,11.1,5.7
1991/3/23,11.7,14.4,9.7
1991/3/24,11.0,18.1,6.0
1991/3/25,11.1,16.8,4.8
1991/3/26,13.0,20.3,6.6
1991/3/27,14.6,19.6,10.2
1991/3/28,9.8,13.7,7.8
1991/3/29,10.9,16.9,6.9
1991/3/30,12.1,17.9,8.2
1991/3/31,8.8,12.2,6.2
1991/4/1,6.2,10.5,0.7
1991/4/2,4.9,12.8,-1.1
1991/4/3,7.2,15.8,-0.8
1991/4/4,10.2,19.0,0.8
1991/4/5,13.4,21.7,6.4
1991/4/6,14.1,17.8,11.3
1991/4/7,15.2,19.1,12.6
1991/4/8,17.0,23.6,13.1
1991/4/9,14.6,21.7,9.1
1991/4/10,16.1,25.3,7.0
1991/4/11,16.7,21.3,14.1
1991/4/12,19.9,28.0,12.6
1991/4/13,17.8,20.7,16.0
1991/4/14,13.0,16.8,7.2
1991/4/15,14.2,22.9,5.4
1991/4/16,16.6,24.7,10.8
1991/4/17,16.8,26.0,7.7
1991/4/18,15.9,23.9,9.4
1991/4/19,12.9,20.3,6.1
1991/4/20,11.0,17.5,5.1
1991/4/21,12.1,20.9,2.7
1991/4/22,14.6,23.4,5.4
1991/4/23,14.1,19.8,10.3
1991/4/24,13.2,15.6,10.4
1991/4/25,16.3,21.6,11.8
1991/4/26,15.5,22.7,11.3
1991/4/27,15.5,20.6,11.4
1991/4/28,18.3,26.0,10.3
1991/4/29,17.3,24.5,11.7
1991/4/30,13.6,19.5,8.6
1991/5/1,13.8,18.9,7.1
