ダウンロードした時刻：2017/07/24 15:42:31

,館山,館山,館山
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1994/1/1,6.7,11.0,3.2
1994/1/2,4.9,10.9,0.5
1994/1/3,7.7,14.5,-0.1
1994/1/4,7.2,14.0,2.0
1994/1/5,5.7,12.7,0.4
1994/1/6,7.9,12.2,1.5
1994/1/7,8.9,13.5,2.9
1994/1/8,3.9,8.5,0.1
1994/1/9,4.1,12.0,-1.3
1994/1/10,7.9,13.2,0.3
1994/1/11,7.3,9.7,5.1
1994/1/12,7.4,12.4,2.1
1994/1/13,7.4,10.2,4.1
1994/1/14,5.4,7.2,3.0
1994/1/15,5.2,10.2,0.1
1994/1/16,6.8,12.1,1.7
1994/1/17,14.0,18.0,2.3
1994/1/18,10.9,17.7,6.9
1994/1/19,5.0,8.8,2.6
1994/1/20,4.0,8.0,0.3
1994/1/21,4.8,10.0,0.3
1994/1/22,5.0,9.0,-1.7
1994/1/23,7.6,11.2,5.2
1994/1/24,4.2,8.7,-0.6
1994/1/25,7.0,13.5,-2.0
1994/1/26,12.9,15.8,7.8
1994/1/27,11.1,14.5,5.1
1994/1/28,4.6,6.4,2.7
1994/1/29,3.7,7.8,1.2
1994/1/30,3.1,6.7,0.3
1994/1/31,3.1,8.2,-1.9
1994/2/1,7.1,11.9,0.0
1994/2/2,5.7,9.3,1.9
1994/2/3,1.7,7.8,-2.7
1994/2/4,3.1,10.4,-4.3
1994/2/5,6.3,12.1,0.7
1994/2/6,7.0,14.4,1.0
1994/2/7,6.7,14.2,1.4
1994/2/8,7.8,14.4,0.0
1994/2/9,10.4,14.9,6.7
1994/2/10,7.2,9.7,1.0
1994/2/11,3.9,9.4,-2.2
1994/2/12,2.2,4.1,0.8
1994/2/13,4.2,8.8,-1.1
1994/2/14,3.1,10.3,-3.6
1994/2/15,5.2,10.6,-2.1
1994/2/16,7.4,11.7,4.2
1994/2/17,7.5,11.8,4.0
1994/2/18,7.0,11.9,0.7
1994/2/19,7.3,14.8,0.4
1994/2/20,8.1,15.3,0.1
1994/2/21,11.5,14.5,7.7
1994/2/22,9.2,12.4,7.3
1994/2/23,7.3,12.2,2.7
1994/2/24,6.0,10.6,2.5
1994/2/25,5.7,12.6,-0.6
1994/2/26,6.2,12.3,-1.0
1994/2/27,6.6,12.5,0.8
1994/2/28,5.6,11.8,-0.7
1994/3/1,7.5,13.2,1.9
1994/3/2,5.9,9.1,3.8
1994/3/3,6.6,8.8,2.3
1994/3/4,7.4,12.0,4.0
1994/3/5,7.3,11.8,1.2
1994/3/6,6.3,11.8,1.2
1994/3/7,6.9,11.0,0.7
1994/3/8,10.7,16.4,5.8
1994/3/9,15.6,17.9,9.8
1994/3/10,7.0,9.8,5.1
1994/3/11,8.2,11.5,4.1
1994/3/12,7.5,13.5,2.1
1994/3/13,6.8,8.2,4.7
1994/3/14,5.6,9.0,3.3
1994/3/15,4.4,10.5,-0.6
1994/3/16,6.5,11.6,-1.5
1994/3/17,10.0,14.3,6.0
1994/3/18,6.9,9.3,3.9
1994/3/19,8.9,14.2,4.4
1994/3/20,8.4,12.7,3.5
1994/3/21,7.9,12.7,3.9
1994/3/22,6.6,10.2,0.8
1994/3/23,7.5,11.8,5.3
1994/3/24,12.0,16.5,7.3
1994/3/25,9.9,13.1,7.8
1994/3/26,9.4,13.1,6.6
1994/3/27,7.7,12.6,3.3
1994/3/28,11.4,15.9,2.9
1994/3/29,13.9,19.0,9.1
1994/3/30,9.6,13.1,6.7
1994/3/31,9.9,17.0,3.5
1994/4/1,12.8,19.2,3.6
1994/4/2,17.2,20.8,13.3
1994/4/3,14.3,20.7,7.3
1994/4/4,12.3,17.6,5.1
1994/4/5,15.5,21.6,10.8
1994/4/6,16.6,23.4,9.2
1994/4/7,17.4,21.7,15.3
1994/4/8,13.1,15.9,8.6
1994/4/9,8.5,13.6,4.6
1994/4/10,9.7,13.3,6.0
1994/4/11,15.2,19.0,11.5
1994/4/12,16.0,20.3,9.1
1994/4/13,17.7,23.5,12.9
1994/4/14,13.5,18.6,8.2
1994/4/15,14.7,20.3,6.9
1994/4/16,16.3,21.5,8.9
1994/4/17,17.9,20.8,13.6
1994/4/18,14.5,16.4,12.3
1994/4/19,14.6,19.4,10.8
1994/4/20,14.6,18.7,9.5
1994/4/21,15.7,20.6,11.5
1994/4/22,15.7,21.9,9.5
1994/4/23,15.9,21.2,10.2
1994/4/24,17.1,22.0,13.2
1994/4/25,17.8,21.3,14.4
1994/4/26,17.4,21.2,13.3
1994/4/27,16.8,20.4,12.9
1994/4/28,15.9,19.7,10.6
1994/4/29,16.2,21.1,8.9
1994/4/30,16.4,21.0,10.1
1994/5/1,15.7,20.5,12.4
