ダウンロードした時刻：2017/07/24 15:46:19

,下関,下関,下関
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1998/1/1,8.4,9.5,7.4
1998/1/2,9.7,13.0,7.4
1998/1/3,9.6,13.1,6.2
1998/1/4,8.5,12.0,5.9
1998/1/5,6.0,8.1,4.1
1998/1/6,8.4,9.6,7.4
1998/1/7,8.2,10.5,6.0
1998/1/8,9.4,11.5,7.3
1998/1/9,9.1,11.5,6.7
1998/1/10,8.1,9.5,5.8
1998/1/11,6.9,8.8,5.1
1998/1/12,7.6,9.9,5.6
1998/1/13,7.6,9.3,4.4
1998/1/14,7.3,8.3,6.3
1998/1/15,7.1,8.1,6.1
1998/1/16,7.9,10.6,5.8
1998/1/17,7.3,9.4,4.2
1998/1/18,9.0,11.5,6.2
1998/1/19,2.3,6.3,0.4
1998/1/20,4.5,6.5,2.4
1998/1/21,6.7,7.7,5.7
1998/1/22,5.3,6.5,3.8
1998/1/23,4.4,6.3,3.1
1998/1/24,0.5,4.8,-2.9
1998/1/25,2.6,4.8,-0.2
1998/1/26,5.7,6.9,3.7
1998/1/27,6.1,7.5,4.9
1998/1/28,5.4,8.3,3.0
1998/1/29,4.4,8.1,1.3
1998/1/30,5.8,8.5,1.7
1998/1/31,8.0,10.3,5.1
1998/2/1,5.4,7.8,3.2
1998/2/2,5.8,9.9,1.5
1998/2/3,7.4,10.8,4.2
1998/2/4,7.1,9.9,3.6
1998/2/5,5.9,8.8,2.8
1998/2/6,6.9,10.0,3.5
1998/2/7,7.0,10.3,4.5
1998/2/8,5.5,8.4,3.6
1998/2/9,6.9,10.3,4.5
1998/2/10,7.4,11.4,4.5
1998/2/11,7.3,10.7,3.6
1998/2/12,13.8,20.4,8.8
1998/2/13,14.1,19.1,11.0
1998/2/14,11.1,13.7,9.0
1998/2/15,9.0,12.5,7.0
1998/2/16,9.2,13.0,5.6
1998/2/17,8.2,11.9,5.5
1998/2/18,6.9,8.9,4.5
1998/2/19,11.2,13.7,8.3
1998/2/20,12.7,13.7,11.9
1998/2/21,10.7,13.1,6.9
1998/2/22,8.8,12.8,5.6
1998/2/23,8.4,9.3,7.7
1998/2/24,10.1,11.1,9.2
1998/2/25,10.1,11.1,9.5
1998/2/26,9.9,12.5,8.0
1998/2/27,10.4,14.2,6.1
1998/2/28,9.3,10.3,6.8
1998/3/1,8.6,11.4,5.1
1998/3/2,8.8,13.5,3.5
1998/3/3,10.2,14.1,5.9
1998/3/4,10.7,13.8,7.5
1998/3/5,9.9,12.7,7.5
1998/3/6,11.2,16.2,5.4
1998/3/7,9.9,13.0,6.2
1998/3/8,7.6,10.4,4.1
1998/3/9,11.9,16.0,9.1
1998/3/10,8.5,10.8,6.5
1998/3/11,9.9,12.0,7.8
1998/3/12,10.4,11.8,9.3
1998/3/13,11.4,14.1,7.9
1998/3/14,13.2,17.6,8.9
1998/3/15,6.6,9.9,4.5
1998/3/16,8.5,12.4,4.4
1998/3/17,9.9,14.5,5.3
1998/3/18,10.5,14.9,6.5
1998/3/19,13.3,17.3,9.7
1998/3/20,9.5,18.6,6.8
1998/3/21,8.3,11.0,5.8
1998/3/22,7.9,9.6,5.2
1998/3/23,8.3,11.6,4.2
1998/3/24,10.6,13.3,8.8
1998/3/25,11.8,14.9,9.3
1998/3/26,10.4,13.2,7.6
1998/3/27,13.4,14.7,11.5
1998/3/28,13.6,17.3,11.4
1998/3/29,13.8,20.2,9.2
1998/3/30,14.2,18.2,9.8
1998/3/31,15.0,18.1,11.7
1998/4/1,11.0,14.0,9.4
1998/4/2,9.3,11.8,6.5
1998/4/3,10.3,14.5,5.6
1998/4/4,13.0,18.2,8.0
1998/4/5,14.7,18.9,11.0
1998/4/6,15.3,17.5,14.2
1998/4/7,15.0,18.4,13.7
1998/4/8,14.1,14.9,13.0
1998/4/9,14.3,15.2,13.8
1998/4/10,15.1,18.1,12.0
1998/4/11,17.3,23.2,12.4
1998/4/12,18.8,22.5,16.3
1998/4/13,19.2,24.0,15.8
1998/4/14,16.0,18.2,14.9
1998/4/15,16.0,18.5,13.9
1998/4/16,16.4,21.8,12.0
1998/4/17,16.9,21.5,14.6
1998/4/18,15.1,17.8,12.7
1998/4/19,17.3,21.1,13.8
1998/4/20,18.9,24.3,14.1
1998/4/21,18.5,21.0,17.2
1998/4/22,17.5,18.1,16.9
1998/4/23,19.0,20.6,17.4
1998/4/24,19.5,22.3,17.5
1998/4/25,16.7,19.4,14.8
1998/4/26,16.8,21.2,13.8
1998/4/27,18.4,23.8,14.1
1998/4/28,20.3,24.5,15.9
1998/4/29,22.0,26.9,18.7
1998/4/30,21.9,26.7,18.5
1998/5/1,21.9,23.9,20.2
