ダウンロードした時刻：2017/07/24 15:36:19

,室蘭,室蘭,室蘭
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1990/1/1,-0.9,1.2,-2.7
1990/1/2,-0.4,1.7,-2.0
1990/1/3,-0.6,2.0,-2.6
1990/1/4,-1.3,0.7,-2.5
1990/1/5,-1.2,0.2,-2.9
1990/1/6,0.0,1.6,-1.4
1990/1/7,-0.6,1.1,-2.0
1990/1/8,2.5,4.8,-0.7
1990/1/9,5.5,8.2,3.4
1990/1/10,3.3,5.5,0.4
1990/1/11,-1.8,1.9,-4.2
1990/1/12,-1.0,0.6,-3.7
1990/1/13,-4.8,-1.3,-7.4
1990/1/14,-5.2,-4.4,-6.2
1990/1/15,-6.2,-5.0,-6.9
1990/1/16,-4.6,-3.6,-6.1
1990/1/17,-4.2,-2.3,-5.3
1990/1/18,-1.0,3.7,-4.0
1990/1/19,-2.0,0.4,-5.2
1990/1/20,-6.5,-4.9,-7.5
1990/1/21,-5.8,-4.0,-7.9
1990/1/22,-4.5,-0.5,-8.3
1990/1/23,-6.8,-4.9,-8.4
1990/1/24,-5.7,-3.7,-7.5
1990/1/25,-7.2,-5.6,-9.1
1990/1/26,-5.1,-2.1,-8.1
1990/1/27,-5.7,-3.7,-7.7
1990/1/28,-3.8,-2.1,-5.4
1990/1/29,-3.1,-1.1,-4.9
1990/1/30,-6.0,-4.0,-7.4
1990/1/31,-6.2,-3.5,-7.7
1990/2/1,-5.3,-3.1,-6.4
1990/2/2,-2.4,0.0,-7.1
1990/2/3,0.6,3.2,-1.8
1990/2/4,-1.3,1.1,-3.6
1990/2/5,-0.6,1.4,-2.1
1990/2/6,0.6,2.4,-0.7
1990/2/7,0.2,2.3,-1.8
1990/2/8,-1.7,-0.1,-3.1
1990/2/9,-1.3,0.2,-3.8
1990/2/10,2.1,4.2,-0.1
1990/2/11,3.8,6.8,2.3
1990/2/12,0.1,3.2,-2.6
1990/2/13,-2.7,-1.2,-4.3
1990/2/14,-1.7,0.1,-3.5
1990/2/15,-0.7,2.0,-3.7
1990/2/16,1.2,3.1,-0.3
1990/2/17,1.3,3.0,-0.5
1990/2/18,0.4,4.1,-1.2
1990/2/19,0.7,3.6,-2.4
1990/2/20,3.2,5.3,0.6
1990/2/21,3.6,6.6,2.5
1990/2/22,4.1,7.1,2.2
1990/2/23,3.1,4.6,1.8
1990/2/24,2.4,3.4,0.6
1990/2/25,2.0,4.7,0.3
1990/2/26,0.7,3.2,-1.6
1990/2/27,-0.8,1.7,-2.4
1990/2/28,-0.7,2.0,-3.0
1990/3/1,1.4,4.4,-1.3
1990/3/2,0.5,4.2,-2.5
1990/3/3,1.8,2.8,-0.2
1990/3/4,2.6,5.7,0.4
1990/3/5,1.3,3.7,-0.1
1990/3/6,2.5,6.0,-0.3
1990/3/7,2.3,4.3,1.1
1990/3/8,0.9,3.4,-0.3
1990/3/9,3.3,7.0,0.5
1990/3/10,4.8,8.4,0.9
1990/3/11,6.1,9.9,2.9
1990/3/12,3.9,6.3,-0.1
1990/3/13,-0.2,2.0,-1.3
1990/3/14,2.8,6.0,-0.5
1990/3/15,2.2,5.8,-0.5
1990/3/16,3.2,6.8,0.6
1990/3/17,3.6,8.0,0.6
1990/3/18,3.5,7.1,0.1
1990/3/19,4.9,8.3,1.3
1990/3/20,4.3,7.3,1.8
1990/3/21,3.6,6.8,0.7
1990/3/22,4.4,7.2,2.4
1990/3/23,5.1,8.7,2.0
1990/3/24,2.3,4.3,1.0
1990/3/25,0.1,3.9,-2.6
1990/3/26,0.5,4.3,-2.7
1990/3/27,3.0,6.5,-0.4
1990/3/28,3.6,8.0,-0.4
1990/3/29,4.2,8.3,0.3
1990/3/30,4.4,8.6,1.8
1990/3/31,4.9,7.2,2.3
1990/4/1,7.9,14.9,3.9
1990/4/2,8.1,12.0,5.7
1990/4/3,7.0,11.8,3.9
1990/4/4,5.1,9.8,0.9
1990/4/5,2.6,5.6,1.4
1990/4/6,4.3,7.0,0.4
1990/4/7,8.9,14.4,4.3
1990/4/8,6.4,10.9,4.6
1990/4/9,7.2,10.6,3.2
1990/4/10,7.5,12.4,3.9
1990/4/11,12.7,17.5,4.2
1990/4/12,12.1,18.2,6.2
1990/4/13,6.0,9.2,2.6
1990/4/14,2.4,3.1,0.7
1990/4/15,1.2,2.1,0.3
1990/4/16,3.7,7.1,0.4
1990/4/17,3.7,6.1,2.5
1990/4/18,4.5,8.5,1.9
1990/4/19,5.6,10.3,2.1
1990/4/20,5.7,9.1,2.6
1990/4/21,5.7,7.2,4.7
1990/4/22,6.4,7.6,5.3
1990/4/23,8.1,10.7,6.4
1990/4/24,7.1,9.9,5.4
1990/4/25,9.7,15.3,3.6
1990/4/26,9.2,16.0,6.2
1990/4/27,8.4,13.2,4.7
1990/4/28,6.7,8.5,5.6
1990/4/29,9.1,15.1,6.4
1990/4/30,7.9,11.3,5.8
1990/5/1,9.1,14.9,5.9
