ダウンロードした時刻：2017/07/24 15:43:01

,松江,松江,松江
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2002/1/1,5.3,8.4,2.1
2002/1/2,0.2,4.0,-3.2
2002/1/3,2.2,4.8,-0.9
2002/1/4,7.8,10.4,4.7
2002/1/5,5.5,9.5,1.2
2002/1/6,3.1,7.1,-0.7
2002/1/7,4.6,13.8,-1.6
2002/1/8,2.2,4.2,0.0
2002/1/9,5.0,7.7,2.5
2002/1/10,7.9,12.9,3.8
2002/1/11,8.9,12.8,3.7
2002/1/12,8.7,14.7,2.9
2002/1/13,9.6,14.6,5.3
2002/1/14,9.5,13.7,6.1
2002/1/15,13.8,20.6,9.7
2002/1/16,11.0,14.3,7.7
2002/1/17,5.8,7.9,4.3
2002/1/18,5.2,8.2,3.1
2002/1/19,5.6,8.0,1.3
2002/1/20,4.3,9.2,-1.4
2002/1/21,6.2,8.6,2.6
2002/1/22,3.7,5.9,2.0
2002/1/23,2.5,5.1,0.4
2002/1/24,4.5,7.8,2.5
2002/1/25,4.1,7.7,2.2
2002/1/26,3.7,5.6,1.7
2002/1/27,6.0,8.8,3.0
2002/1/28,4.4,7.0,0.8
2002/1/29,1.5,3.8,-0.1
2002/1/30,3.4,6.3,0.4
2002/1/31,2.0,4.3,0.5
2002/2/1,3.4,9.0,-1.0
2002/2/2,4.4,12.1,-0.7
2002/2/3,4.2,8.2,0.4
2002/2/4,5.0,11.4,0.9
2002/2/5,5.8,11.6,1.9
2002/2/6,6.7,14.0,1.6
2002/2/7,6.7,11.8,1.3
2002/2/8,6.8,13.1,-1.5
2002/2/9,5.6,10.2,1.1
2002/2/10,1.8,5.1,0.3
2002/2/11,1.6,5.4,0.2
2002/2/12,2.9,5.7,0.3
2002/2/13,3.8,6.9,1.5
2002/2/14,2.9,5.6,0.6
2002/2/15,3.8,10.2,0.1
2002/2/16,4.9,13.0,-2.3
2002/2/17,6.4,9.4,2.4
2002/2/18,4.2,9.8,0.7
2002/2/19,2.5,5.3,0.4
2002/2/20,6.2,12.0,0.0
2002/2/21,7.7,13.2,0.5
2002/2/22,9.3,13.9,6.9
2002/2/23,8.1,14.2,4.7
2002/2/24,6.0,9.6,1.0
2002/2/25,4.9,12.5,-1.7
2002/2/26,7.6,11.5,4.6
2002/2/27,8.0,9.0,6.2
2002/2/28,8.6,10.3,7.0
2002/3/1,8.5,14.5,4.9
2002/3/2,6.8,12.5,4.0
2002/3/3,5.6,10.0,1.9
2002/3/4,6.6,15.3,-1.0
2002/3/5,7.3,8.5,5.8
2002/3/6,8.6,10.0,7.0
2002/3/7,3.8,8.2,0.8
2002/3/8,5.4,11.4,1.1
2002/3/9,8.5,15.1,-0.7
2002/3/10,11.4,17.1,9.2
2002/3/11,9.9,14.9,4.0
2002/3/12,11.2,17.4,6.3
2002/3/13,9.5,16.0,3.9
2002/3/14,12.0,21.2,4.0
2002/3/15,13.4,16.5,9.3
2002/3/16,11.1,18.5,7.5
2002/3/17,12.2,17.7,7.0
2002/3/18,9.0,14.6,5.0
2002/3/19,12.3,17.4,4.4
2002/3/20,13.0,18.7,7.5
2002/3/21,15.0,19.1,9.3
2002/3/22,10.7,13.5,7.8
2002/3/23,7.9,11.3,4.3
2002/3/24,6.9,11.6,2.9
2002/3/25,7.3,15.1,0.5
2002/3/26,10.1,16.8,2.6
2002/3/27,10.1,16.0,4.1
2002/3/28,8.4,14.7,1.2
2002/3/29,12.0,16.0,8.4
2002/3/30,12.5,18.0,8.9
2002/3/31,12.0,17.3,8.2
2002/4/1,13.5,21.2,6.0
2002/4/2,15.1,21.3,9.6
2002/4/3,12.9,20.3,9.4
2002/4/4,11.6,17.1,6.6
2002/4/5,11.2,18.7,4.0
2002/4/6,12.8,17.4,8.3
2002/4/7,16.1,20.3,14.0
2002/4/8,14.7,20.0,12.2
2002/4/9,12.4,16.3,7.1
2002/4/10,10.7,16.4,6.5
2002/4/11,11.2,16.9,6.3
2002/4/12,11.8,18.2,6.3
2002/4/13,12.7,17.0,7.2
2002/4/14,16.3,25.5,6.3
2002/4/15,17.6,21.8,14.5
2002/4/16,19.3,25.6,14.6
2002/4/17,16.3,19.4,13.5
2002/4/18,12.8,17.4,8.1
2002/4/19,12.6,20.4,5.8
2002/4/20,17.4,24.4,8.8
2002/4/21,16.2,19.8,14.4
2002/4/22,17.8,23.3,12.6
2002/4/23,18.8,22.3,16.0
2002/4/24,17.8,23.5,12.7
2002/4/25,12.7,15.8,10.5
2002/4/26,12.2,15.9,9.4
2002/4/27,12.5,17.0,7.9
2002/4/28,15.2,20.0,12.0
2002/4/29,19.4,24.5,12.7
2002/4/30,19.9,24.6,15.3
2002/5/1,14.6,17.5,12.8
