ダウンロードした時刻：2017/07/24 15:38:01

,福島,福島,福島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1987/1/1,0.4,4.4,-1.0
1987/1/2,-0.1,2.2,-1.4
1987/1/3,3.3,10.9,-1.0
1987/1/4,0.6,3.4,-1.3
1987/1/5,0.0,2.5,-1.6
1987/1/6,1.6,5.7,-2.1
1987/1/7,3.0,6.3,0.0
1987/1/8,3.6,9.6,0.3
1987/1/9,2.4,7.0,-1.0
1987/1/10,-3.2,-0.9,-4.9
1987/1/11,-1.8,1.3,-5.0
1987/1/12,-0.8,1.2,-4.3
1987/1/13,1.3,5.4,-2.4
1987/1/14,1.0,4.1,-2.2
1987/1/15,2.6,6.0,-1.3
1987/1/16,3.7,9.7,-3.3
1987/1/17,6.9,13.7,3.0
1987/1/18,0.8,3.5,-1.7
1987/1/19,-1.3,1.4,-3.0
1987/1/20,-2.3,-0.3,-3.8
1987/1/21,-0.9,2.6,-4.0
1987/1/22,1.2,6.7,-2.6
1987/1/23,3.6,9.4,-2.4
1987/1/24,5.3,9.6,1.3
1987/1/25,-1.2,1.5,-4.1
1987/1/26,-1.4,1.3,-4.7
1987/1/27,2.0,5.0,-0.2
1987/1/28,4.1,8.3,0.5
1987/1/29,6.9,13.2,-0.1
1987/1/30,5.3,10.7,0.5
1987/1/31,0.2,3.3,-2.0
1987/2/1,-1.4,1.7,-4.1
1987/2/2,-3.5,-1.2,-7.3
1987/2/3,-0.3,1.9,-1.6
1987/2/4,1.1,2.8,-1.6
1987/2/5,3.5,6.6,-0.3
1987/2/6,3.6,7.8,-0.4
1987/2/7,3.2,11.8,-3.4
1987/2/8,4.5,8.3,-1.2
1987/2/9,4.9,12.4,-4.3
1987/2/10,11.0,17.3,4.6
1987/2/11,12.1,19.7,3.8
1987/2/12,7.2,15.3,0.6
1987/2/13,1.6,6.3,-1.0
1987/2/14,1.1,5.4,-2.1
1987/2/15,-0.2,3.0,-1.9
1987/2/16,-1.3,-0.1,-2.5
1987/2/17,1.6,5.2,-1.5
1987/2/18,0.1,2.9,-2.5
1987/2/19,-0.4,2.3,-1.6
1987/2/20,0.5,5.1,-3.5
1987/2/21,1.4,5.8,-3.7
1987/2/22,0.9,4.5,-3.4
1987/2/23,4.2,11.0,-0.1
1987/2/24,7.8,13.7,1.8
1987/2/25,1.6,6.7,-2.0
1987/2/26,-0.1,2.9,-2.8
1987/2/27,0.6,2.4,-2.1
1987/2/28,0.7,5.4,-3.7
1987/3/1,0.6,3.9,-3.4
1987/3/2,-0.1,3.5,-3.2
1987/3/3,3.4,7.1,-1.8
1987/3/4,8.0,13.1,3.6
1987/3/5,7.6,13.1,0.7
1987/3/6,1.9,7.4,-0.8
1987/3/7,1.4,3.9,-1.2
1987/3/8,2.7,7.9,-0.5
1987/3/9,3.6,11.9,-0.9
1987/3/10,1.5,5.4,-2.2
1987/3/11,0.3,2.2,-1.4
1987/3/12,3.3,9.1,-1.6
1987/3/13,3.4,7.9,0.1
1987/3/14,11.2,19.2,5.2
1987/3/15,4.4,7.0,1.9
1987/3/16,3.6,5.4,1.7
1987/3/17,4.9,11.3,-0.7
1987/3/18,5.7,10.9,1.4
1987/3/19,7.1,14.3,1.2
1987/3/20,5.8,11.3,0.4
1987/3/21,6.8,12.0,3.8
1987/3/22,7.8,12.8,3.4
1987/3/23,9.3,12.6,6.5
1987/3/24,10.6,16.3,8.1
1987/3/25,7.3,14.1,0.3
1987/3/26,2.9,6.8,-0.3
1987/3/27,6.5,12.6,0.5
1987/3/28,7.6,13.6,0.2
1987/3/29,9.4,17.3,2.9
1987/3/30,11.9,19.4,1.9
1987/3/31,4.7,14.0,-0.3
1987/4/1,4.3,8.5,-0.3
1987/4/2,5.8,11.0,1.3
1987/4/3,8.0,14.6,3.0
1987/4/4,9.8,15.8,2.9
1987/4/5,11.1,18.8,2.6
1987/4/6,9.5,16.5,4.1
1987/4/7,9.0,11.7,7.1
1987/4/8,12.4,15.9,6.6
1987/4/9,13.4,21.3,4.6
1987/4/10,16.6,19.4,14.2
1987/4/11,7.3,16.6,4.1
1987/4/12,4.2,9.1,1.4
1987/4/13,2.5,6.8,0.4
1987/4/14,4.9,10.7,0.0
1987/4/15,8.5,16.3,0.1
1987/4/16,9.9,18.4,1.5
1987/4/17,10.8,20.5,3.2
1987/4/18,15.2,24.1,4.8
1987/4/19,16.2,25.4,8.1
1987/4/20,16.3,25.0,8.8
1987/4/21,19.2,28.3,9.6
1987/4/22,17.7,21.0,13.9
1987/4/23,13.9,21.3,9.6
1987/4/24,11.6,14.8,8.1
1987/4/25,10.8,16.5,5.8
1987/4/26,6.4,8.6,4.6
1987/4/27,11.0,17.7,5.5
1987/4/28,14.6,24.7,4.2
1987/4/29,14.8,25.1,7.4
1987/4/30,20.4,30.4,8.4
1987/5/1,18.5,22.7,14.8
