ダウンロードした時刻：2017/07/24 15:40:13

,前橋,前橋,前橋
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2010/1/1,1.5,6.8,-3.1
2010/1/2,3.7,9.4,-1.6
2010/1/3,3.5,8.1,-0.1
2010/1/4,3.5,9.5,-1.7
2010/1/5,4.8,11.5,1.1
2010/1/6,3.5,9.2,-1.1
2010/1/7,4.4,9.3,1.0
2010/1/8,4.6,10.6,1.0
2010/1/9,3.9,10.3,-1.2
2010/1/10,4.3,9.6,0.4
2010/1/11,2.8,7.5,-1.2
2010/1/12,2.5,5.3,0.2
2010/1/13,2.8,6.5,-2.1
2010/1/14,0.6,5.7,-3.0
2010/1/15,1.6,7.8,-3.2
2010/1/16,0.9,4.7,-2.0
2010/1/17,1.8,7.7,-4.0
2010/1/18,3.1,9.8,-2.1
2010/1/19,8.2,15.2,1.5
2010/1/20,8.1,14.5,2.2
2010/1/21,8.5,15.7,3.3
2010/1/22,3.8,8.3,0.1
2010/1/23,4.5,10.3,-0.4
2010/1/24,4.9,11.2,0.0
2010/1/25,5.6,10.6,0.2
2010/1/26,3.5,8.1,1.1
2010/1/27,3.5,9.3,-1.6
2010/1/28,8.5,16.9,2.8
2010/1/29,6.7,11.6,1.6
2010/1/30,6.4,13.4,-0.2
2010/1/31,6.9,12.0,1.8
2010/2/1,4.4,10.0,0.2
2010/2/2,1.2,3.3,-1.6
2010/2/3,1.2,4.5,-2.5
2010/2/4,0.6,6.8,-4.3
2010/2/5,1.9,9.5,-3.0
2010/2/6,0.2,3.9,-2.2
2010/2/7,2.1,7.2,-2.1
2010/2/8,3.5,9.6,-2.9
2010/2/9,10.6,20.5,2.6
2010/2/10,6.8,8.7,5.1
2010/2/11,3.1,5.4,0.5
2010/2/12,2.4,4.9,0.8
2010/2/13,1.2,2.2,-0.4
2010/2/14,2.7,8.5,-1.9
2010/2/15,5.4,9.2,2.3
2010/2/16,2.8,5.5,0.5
2010/2/17,1.4,3.6,-1.4
2010/2/18,3.1,8.0,0.4
2010/2/19,4.1,10.4,-0.1
2010/2/20,4.6,11.4,-0.5
2010/2/21,5.2,11.7,0.0
2010/2/22,4.7,8.2,2.4
2010/2/23,8.6,16.4,-0.1
2010/2/24,10.0,17.1,3.6
2010/2/25,11.2,17.1,5.3
2010/2/26,12.1,16.0,8.9
2010/2/27,12.5,20.1,7.2
2010/2/28,8.0,14.3,4.4
2010/3/1,7.3,12.2,2.2
2010/3/2,5.1,8.2,3.4
2010/3/3,7.4,14.1,3.1
2010/3/4,5.1,7.5,2.8
2010/3/5,12.5,20.4,4.0
2010/3/6,11.9,14.7,9.8
2010/3/7,5.3,10.3,2.3
2010/3/8,5.7,11.2,2.4
2010/3/9,1.5,4.3,0.1
2010/3/10,2.6,4.8,0.1
2010/3/11,5.3,9.4,1.6
2010/3/12,6.8,13.0,1.1
2010/3/13,10.3,21.3,4.2
2010/3/14,10.1,17.2,5.3
2010/3/15,9.4,13.1,3.9
2010/3/16,12.1,19.4,5.8
2010/3/17,7.5,13.3,3.8
2010/3/18,7.8,13.1,4.4
2010/3/19,8.5,15.0,3.7
2010/3/20,11.5,18.6,4.4
2010/3/21,10.3,17.5,3.4
2010/3/22,7.8,13.4,1.5
2010/3/23,9.8,13.3,6.5
2010/3/24,7.1,10.6,2.2
2010/3/25,5.0,7.8,2.0
2010/3/26,6.6,13.3,2.2
2010/3/27,6.8,13.2,1.6
2010/3/28,3.9,5.4,1.8
2010/3/29,3.3,8.7,-1.2
2010/3/30,4.2,10.7,-1.5
2010/3/31,6.0,11.2,-0.1
2010/4/1,11.0,15.8,3.9
2010/4/2,12.1,16.7,8.5
2010/4/3,8.6,15.3,3.8
2010/4/4,7.1,12.1,1.8
2010/4/5,9.6,11.8,7.3
2010/4/6,13.9,21.0,7.9
2010/4/7,11.2,14.8,6.3
2010/4/8,8.5,14.8,3.1
2010/4/9,9.8,13.4,5.8
2010/4/10,14.9,20.5,8.5
2010/4/11,16.2,24.9,10.7
2010/4/12,8.2,11.0,6.0
2010/4/13,15.3,22.2,6.3
2010/4/14,9.6,13.8,7.3
2010/4/15,7.2,9.7,6.0
2010/4/16,4.3,6.5,0.3
2010/4/17,7.4,14.8,0.3
2010/4/18,10.6,17.4,2.8
2010/4/19,14.1,20.1,8.0
2010/4/20,14.3,18.0,11.3
2010/4/21,17.0,22.7,11.7
2010/4/22,8.0,14.2,6.9
2010/4/23,8.5,9.9,6.4
2010/4/24,9.2,15.2,4.1
2010/4/25,11.2,18.6,2.8
2010/4/26,13.7,22.2,6.0
2010/4/27,10.5,11.5,9.9
2010/4/28,13.9,18.4,10.4
2010/4/29,16.3,23.8,11.3
2010/4/30,13.4,20.1,7.2
2010/5/1,14.4,21.8,7.4
