ダウンロードした時刻：2017/07/24 15:37:09

,秋田,秋田,秋田
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2000/1/1,1.4,4.0,0.1
2000/1/2,2.1,4.9,0.3
2000/1/3,4.5,8.8,0.9
2000/1/4,5.8,7.4,4.1
2000/1/5,4.0,6.9,2.1
2000/1/6,5.4,9.1,0.2
2000/1/7,5.7,9.9,2.0
2000/1/8,1.2,3.9,0.3
2000/1/9,1.6,3.1,0.3
2000/1/10,3.7,8.7,1.7
2000/1/11,0.6,2.4,-1.4
2000/1/12,1.7,3.7,0.3
2000/1/13,3.5,5.6,0.5
2000/1/14,5.9,10.3,3.2
2000/1/15,4.0,7.5,1.0
2000/1/16,2.5,5.0,0.4
2000/1/17,2.7,5.3,1.2
2000/1/18,1.5,5.2,-0.2
2000/1/19,3.0,7.2,-1.0
2000/1/20,2.6,7.2,0.7
2000/1/21,-0.8,2.7,-3.1
2000/1/22,-0.9,1.7,-3.0
2000/1/23,0.4,4.3,-1.2
2000/1/24,0.7,3.3,-2.7
2000/1/25,-3.6,-1.7,-6.1
2000/1/26,-4.2,-1.5,-5.9
2000/1/27,-3.6,-0.5,-7.5
2000/1/28,-1.1,1.2,-3.5
2000/1/29,0.5,5.5,-3.6
2000/1/30,2.3,5.9,-0.4
2000/1/31,-0.5,2.4,-2.5
2000/2/1,2.1,4.4,-1.9
2000/2/2,3.4,5.1,1.5
2000/2/3,2.6,6.9,0.6
2000/2/4,1.8,5.5,-0.6
2000/2/5,3.2,5.4,0.9
2000/2/6,2.2,5.8,-0.4
2000/2/7,1.9,4.1,0.2
2000/2/8,2.2,6.1,0.3
2000/2/9,0.3,1.6,-1.3
2000/2/10,1.3,4.0,-2.0
2000/2/11,2.2,4.5,0.3
2000/2/12,1.5,3.9,-1.1
2000/2/13,-0.3,1.6,-2.1
2000/2/14,0.0,3.5,-3.5
2000/2/15,-1.8,0.3,-4.7
2000/2/16,-3.2,-2.0,-4.5
2000/2/17,-2.2,-0.5,-3.6
2000/2/18,-1.2,1.8,-3.0
2000/2/19,-0.4,1.9,-2.8
2000/2/20,1.2,4.2,-0.4
2000/2/21,-0.7,0.8,-2.5
2000/2/22,-0.7,0.9,-2.7
2000/2/23,-1.4,1.5,-3.0
2000/2/24,-1.5,1.9,-3.4
2000/2/25,-2.6,-1.0,-4.0
2000/2/26,-1.6,1.8,-3.7
2000/2/27,-0.3,4.6,-6.1
2000/2/28,-0.3,1.3,-2.5
2000/2/29,-2.0,1.8,-5.5
2000/3/1,0.3,4.3,-3.7
2000/3/2,5.1,7.9,0.9
2000/3/3,3.0,8.8,-3.0
2000/3/4,4.6,11.5,-0.1
2000/3/5,3.7,7.7,-1.6
2000/3/6,1.8,6.0,-2.5
2000/3/7,1.9,4.9,-0.8
2000/3/8,0.0,2.5,-2.1
2000/3/9,-2.5,-0.8,-4.9
2000/3/10,-1.6,2.1,-5.2
2000/3/11,4.4,8.5,-0.4
2000/3/12,1.9,4.7,-1.2
2000/3/13,0.0,3.3,-2.3
2000/3/14,1.0,3.9,-2.3
2000/3/15,2.9,5.5,0.6
2000/3/16,1.4,5.2,0.3
2000/3/17,1.6,4.8,-0.3
2000/3/18,3.7,9.0,-1.9
2000/3/19,7.4,11.8,3.9
2000/3/20,3.5,6.4,1.0
2000/3/21,2.9,6.7,-0.2
2000/3/22,2.3,6.8,-0.1
2000/3/23,4.3,9.6,-1.4
2000/3/24,5.4,8.3,1.6
2000/3/25,2.8,4.4,0.8
2000/3/26,1.8,4.4,-1.5
2000/3/27,3.0,6.8,-1.0
2000/3/28,7.9,15.4,0.0
2000/3/29,9.4,12.5,6.1
2000/3/30,5.9,7.7,4.5
2000/3/31,8.6,11.7,4.3
2000/4/1,6.2,8.9,3.0
2000/4/2,5.7,8.5,2.2
2000/4/3,4.5,9.9,-1.3
2000/4/4,8.6,16.2,0.2
2000/4/5,10.4,13.2,8.3
2000/4/6,7.1,10.3,3.0
2000/4/7,9.6,18.2,0.4
2000/4/8,7.8,10.5,5.3
2000/4/9,8.2,13.4,0.9
2000/4/10,12.5,17.9,6.9
2000/4/11,5.4,12.7,1.1
2000/4/12,7.6,10.8,3.4
2000/4/13,9.5,15.4,1.2
2000/4/14,9.2,12.2,7.5
2000/4/15,7.8,10.8,5.8
2000/4/16,5.7,9.5,2.8
2000/4/17,6.2,9.7,4.3
2000/4/18,8.5,12.5,2.9
2000/4/19,10.3,14.5,6.8
2000/4/20,10.6,14.4,7.7
2000/4/21,14.0,17.1,10.8
2000/4/22,11.4,13.7,10.1
2000/4/23,10.7,13.3,6.1
2000/4/24,10.7,14.3,7.8
2000/4/25,11.2,14.4,7.5
2000/4/26,12.8,20.6,4.4
2000/4/27,11.5,13.2,9.2
2000/4/28,9.3,11.4,7.1
2000/4/29,9.2,11.6,6.6
2000/4/30,13.0,16.5,10.7
2000/5/1,13.0,19.7,10.0
