ダウンロードした時刻：2017/07/24 15:39:08

,富山,富山,富山
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2012/1/1,4.7,8.9,0.5
2012/1/2,2.5,5.3,0.5
2012/1/3,2.4,6.6,0.3
2012/1/4,1.6,4.4,0.1
2012/1/5,0.5,1.9,-0.6
2012/1/6,1.5,4.3,-1.0
2012/1/7,1.1,3.7,-0.1
2012/1/8,1.4,4.6,-0.2
2012/1/9,3.7,5.9,1.3
2012/1/10,3.9,7.2,1.3
2012/1/11,1.7,4.3,-1.8
2012/1/12,0.4,4.1,-2.6
2012/1/13,2.2,4.3,0.3
2012/1/14,1.7,5.5,-0.7
2012/1/15,1.9,5.5,0.4
2012/1/16,2.4,4.7,0.7
2012/1/17,2.4,6.3,0.2
2012/1/18,3.5,9.9,-1.9
2012/1/19,4.9,9.1,1.0
2012/1/20,5.4,8.5,3.5
2012/1/21,5.4,8.1,3.9
2012/1/22,5.8,9.8,2.7
2012/1/23,2.4,6.0,-0.4
2012/1/24,0.2,1.3,-1.0
2012/1/25,0.2,1.6,-0.8
2012/1/26,-0.3,2.0,-2.0
2012/1/27,0.6,2.2,-0.2
2012/1/28,-0.3,0.7,-1.0
2012/1/29,-1.1,0.3,-2.9
2012/1/30,0.2,4.4,-2.5
2012/1/31,-0.7,2.0,-5.3
2012/2/1,0.6,3.6,-3.5
2012/2/2,-2.2,-0.7,-3.1
2012/2/3,0.0,3.0,-3.4
2012/2/4,1.2,3.3,0.1
2012/2/5,2.2,5.1,0.3
2012/2/6,3.4,6.1,0.1
2012/2/7,3.8,5.5,2.1
2012/2/8,0.4,3.2,-1.8
2012/2/9,-0.5,0.7,-2.0
2012/2/10,0.7,2.7,-0.6
2012/2/11,0.8,2.4,-0.7
2012/2/12,0.2,2.5,-3.2
2012/2/13,0.7,3.7,-3.1
2012/2/14,2.6,5.5,0.8
2012/2/15,2.0,4.3,0.6
2012/2/16,1.6,4.8,-0.8
2012/2/17,-0.1,2.6,-1.6
2012/2/18,-1.9,0.8,-3.9
2012/2/19,-1.0,3.0,-5.0
2012/2/20,1.7,7.5,-2.0
2012/2/21,3.3,6.6,-0.9
2012/2/22,3.5,7.0,-0.5
2012/2/23,4.9,7.8,3.0
2012/2/24,4.3,7.1,2.1
2012/2/25,2.2,3.6,1.3
2012/2/26,0.7,2.8,-1.3
2012/2/27,-0.6,2.8,-3.4
2012/2/28,-0.2,4.3,-5.0
2012/2/29,3.1,7.6,0.1
2012/3/1,4.2,8.6,-0.9
2012/3/2,4.0,5.9,2.6
2012/3/3,4.9,7.6,2.5
2012/3/4,4.2,7.3,0.2
2012/3/5,5.3,7.9,3.1
2012/3/6,8.7,13.6,4.5
2012/3/7,8.3,12.0,5.3
2012/3/8,6.4,10.6,2.4
2012/3/9,5.9,9.2,4.2
2012/3/10,4.9,6.5,3.0
2012/3/11,4.1,12.0,0.2
2012/3/12,2.1,6.3,-0.2
2012/3/13,1.1,4.2,-0.8
2012/3/14,4.7,10.6,-1.2
2012/3/15,4.5,9.8,0.5
2012/3/16,5.9,11.4,-0.8
2012/3/17,10.5,12.4,9.1
2012/3/18,8.8,9.9,7.8
2012/3/19,3.0,7.8,0.3
2012/3/20,4.0,10.8,-0.1
2012/3/21,3.8,9.7,-0.1
2012/3/22,7.6,11.8,2.4
2012/3/23,6.8,8.3,4.9
2012/3/24,6.9,9.9,4.7
2012/3/25,3.3,7.8,0.6
2012/3/26,3.1,7.6,0.3
2012/3/27,7.5,15.1,1.0
2012/3/28,9.1,14.7,5.2
2012/3/29,9.7,17.2,1.4
2012/3/30,16.2,21.1,11.8
2012/3/31,8.8,16.9,2.7
2012/4/1,4.5,8.3,1.6
2012/4/2,6.3,12.4,1.6
2012/4/3,12.1,18.8,4.0
2012/4/4,7.1,10.6,3.9
2012/4/5,7.9,13.5,3.3
2012/4/6,4.9,9.0,0.8
2012/4/7,2.9,7.7,0.5
2012/4/8,9.8,17.1,1.1
2012/4/9,13.7,18.7,9.3
2012/4/10,12.6,17.9,6.4
2012/4/11,14.0,17.0,11.3
2012/4/12,13.3,19.6,8.6
2012/4/13,11.5,15.1,9.2
2012/4/14,9.0,10.2,7.8
2012/4/15,10.0,15.2,4.8
2012/4/16,16.3,23.4,6.8
2012/4/17,11.6,16.3,9.5
2012/4/18,10.6,14.3,7.9
2012/4/19,10.4,14.5,5.4
2012/4/20,13.3,20.2,9.1
2012/4/21,12.6,16.6,9.0
2012/4/22,16.5,19.8,11.1
2012/4/23,14.6,19.1,11.0
2012/4/24,16.1,23.8,9.4
2012/4/25,15.3,22.3,10.6
2012/4/26,18.8,23.0,11.8
2012/4/27,13.6,17.6,9.8
2012/4/28,15.2,22.9,8.1
2012/4/29,18.5,27.6,9.3
2012/4/30,17.9,24.0,13.9
2012/5/1,18.9,26.9,11.2
