ダウンロードした時刻：2017/07/24 15:36:21

,室蘭,室蘭,室蘭
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1997/1/1,1.9,3.6,0.5
1997/1/2,3.6,6.8,-1.8
1997/1/3,-0.1,2.2,-2.2
1997/1/4,2.7,5.4,0.6
1997/1/5,2.1,4.7,0.7
1997/1/6,1.4,3.2,-0.7
1997/1/7,-0.6,2.4,-3.6
1997/1/8,-2.6,-0.4,-5.3
1997/1/9,-1.6,0.3,-3.0
1997/1/10,-0.9,2.3,-4.6
1997/1/11,-0.1,3.5,-3.0
1997/1/12,-0.8,1.3,-3.1
1997/1/13,1.5,3.8,-0.4
1997/1/14,2.2,6.0,-4.2
1997/1/15,-3.9,-2.2,-5.0
1997/1/16,-1.7,-0.6,-3.1
1997/1/17,0.5,1.9,-1.9
1997/1/18,-1.1,2.7,-5.6
1997/1/19,-1.1,1.4,-4.4
1997/1/20,-1.9,-0.1,-4.2
1997/1/21,-5.0,-3.6,-6.3
1997/1/22,-2.3,0.6,-6.9
1997/1/23,0.5,1.6,-0.9
1997/1/24,-2.6,0.8,-4.9
1997/1/25,-5.3,-2.0,-7.4
1997/1/26,-2.3,-1.2,-3.8
1997/1/27,-4.3,-3.2,-6.0
1997/1/28,-1.6,0.3,-3.9
1997/1/29,-0.9,0.1,-1.6
1997/1/30,-0.4,1.3,-2.8
1997/1/31,-0.2,2.9,-3.7
1997/2/1,-0.4,2.7,-3.3
1997/2/2,0.0,2.9,-2.5
1997/2/3,-0.4,2.0,-1.9
1997/2/4,-0.6,1.1,-1.9
1997/2/5,-0.5,1.1,-1.8
1997/2/6,-0.9,-0.4,-1.8
1997/2/7,-0.8,1.4,-1.7
1997/2/8,0.6,2.6,-2.0
1997/2/9,-0.7,0.2,-1.8
1997/2/10,-0.9,0.8,-2.6
1997/2/11,-0.5,1.5,-2.9
1997/2/12,-1.8,1.0,-3.8
1997/2/13,-3.0,-1.3,-4.8
1997/2/14,-2.6,-0.5,-4.2
1997/2/15,-0.9,2.2,-5.0
1997/2/16,2.1,3.5,0.0
1997/2/17,-0.5,2.1,-2.5
1997/2/18,-2.4,-0.9,-3.9
1997/2/19,-2.4,-1.0,-3.8
1997/2/20,-1.1,0.7,-3.6
1997/2/21,-2.6,1.3,-4.7
1997/2/22,-3.3,-1.3,-4.8
1997/2/23,-0.9,1.0,-3.5
1997/2/24,3.3,6.1,0.1
1997/2/25,4.8,7.7,2.4
1997/2/26,-0.4,3.4,-3.1
1997/2/27,-1.2,0.7,-2.7
1997/2/28,0.1,2.0,-2.8
1997/3/1,-0.1,3.2,-5.5
1997/3/2,-4.4,-2.3,-7.1
1997/3/3,-5.4,-3.0,-8.1
1997/3/4,-1.9,-0.3,-3.2
1997/3/5,-0.7,2.1,-2.6
1997/3/6,0.2,3.0,-4.2
1997/3/7,2.5,5.2,-1.0
1997/3/8,-2.6,1.4,-5.9
1997/3/9,-3.2,-1.6,-5.4
1997/3/10,-0.2,2.7,-3.0
1997/3/11,0.1,2.5,-1.7
1997/3/12,-0.6,1.3,-2.3
1997/3/13,1.4,4.8,-1.1
1997/3/14,1.4,3.0,0.1
1997/3/15,1.0,3.3,-0.4
1997/3/16,-1.0,1.1,-3.2
1997/3/17,-1.3,1.8,-4.7
1997/3/18,1.5,4.6,-1.3
1997/3/19,2.7,6.5,-0.2
1997/3/20,3.4,7.1,0.4
1997/3/21,5.1,8.5,1.7
1997/3/22,2.2,5.0,-1.7
1997/3/23,-0.4,4.0,-3.2
1997/3/24,-0.7,2.5,-4.3
1997/3/25,3.5,6.0,1.4
1997/3/26,2.9,6.9,0.2
1997/3/27,2.7,6.3,-1.4
1997/3/28,6.7,10.7,2.0
1997/3/29,6.3,10.0,3.4
1997/3/30,3.1,10.2,-3.0
1997/3/31,-0.3,2.2,-2.6
1997/4/1,2.9,4.8,0.8
1997/4/2,3.9,7.3,1.5
1997/4/3,5.0,9.1,2.5
1997/4/4,4.1,9.1,0.4
1997/4/5,3.5,4.7,0.2
1997/4/6,4.8,6.2,4.0
1997/4/7,5.6,7.8,3.8
1997/4/8,6.7,9.4,4.7
1997/4/9,7.9,14.0,4.0
1997/4/10,6.0,10.6,4.1
1997/4/11,3.2,5.7,0.4
1997/4/12,2.8,6.2,-0.1
1997/4/13,4.8,9.4,-0.4
1997/4/14,4.3,10.1,1.0
1997/4/15,3.0,7.3,0.3
1997/4/16,4.1,7.6,-0.4
1997/4/17,6.1,10.7,2.8
1997/4/18,6.8,10.6,4.3
1997/4/19,7.9,13.7,4.4
1997/4/20,6.5,11.4,3.0
1997/4/21,5.4,6.7,4.2
1997/4/22,7.2,12.4,4.8
1997/4/23,4.9,7.8,3.3
1997/4/24,4.8,8.1,2.9
1997/4/25,8.8,14.9,3.4
1997/4/26,11.3,17.6,4.8
1997/4/27,12.7,18.9,9.5
1997/4/28,14.6,21.2,9.5
1997/4/29,13.0,18.2,8.3
1997/4/30,10.8,15.4,5.9
1997/5/1,8.9,15.0,3.2
