ダウンロードした時刻：2017/07/24 15:44:56

,和歌山,和歌山,和歌山
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1987/1/1,7.8,13.7,4.5
1987/1/2,8.8,18.9,4.0
1987/1/3,12.8,18.9,8.8
1987/1/4,8.2,11.5,5.3
1987/1/5,4.3,6.3,2.6
1987/1/6,7.5,12.0,3.4
1987/1/7,8.4,12.5,2.8
1987/1/8,9.4,14.2,4.3
1987/1/9,8.6,13.4,2.6
1987/1/10,7.6,10.1,4.3
1987/1/11,3.3,6.4,0.8
1987/1/12,3.1,7.7,-0.1
1987/1/13,3.3,6.4,-0.5
1987/1/14,3.2,6.5,1.1
1987/1/15,5.8,11.5,1.7
1987/1/16,8.5,14.4,1.3
1987/1/17,12.2,15.8,7.5
1987/1/18,7.2,9.7,5.2
1987/1/19,6.2,7.9,4.1
1987/1/20,3.4,6.7,0.5
1987/1/21,2.9,7.6,-1.4
1987/1/22,5.2,11.2,-0.4
1987/1/23,10.7,18.0,2.6
1987/1/24,7.7,15.3,3.4
1987/1/25,2.4,6.1,0.4
1987/1/26,3.6,6.7,-0.9
1987/1/27,5.7,10.7,0.8
1987/1/28,5.2,11.1,0.3
1987/1/29,7.0,13.2,0.5
1987/1/30,8.5,14.5,4.0
1987/1/31,5.7,9.7,1.9
1987/2/1,3.8,7.2,1.1
1987/2/2,2.4,5.0,0.3
1987/2/3,4.0,5.0,1.7
1987/2/4,4.0,5.9,2.1
1987/2/5,5.9,10.0,3.3
1987/2/6,7.1,11.8,1.9
1987/2/7,8.5,14.8,2.5
1987/2/8,7.8,14.4,2.3
1987/2/9,8.4,15.3,2.2
1987/2/10,10.4,16.8,2.7
1987/2/11,18.1,21.3,9.6
1987/2/12,13.8,19.4,7.7
1987/2/13,8.1,13.1,4.6
1987/2/14,9.4,15.0,3.0
1987/2/15,6.8,9.5,3.8
1987/2/16,5.7,10.7,0.7
1987/2/17,5.0,7.2,3.9
1987/2/18,6.8,9.7,4.4
1987/2/19,4.7,7.2,3.1
1987/2/20,5.0,9.4,1.4
1987/2/21,5.1,11.3,0.8
1987/2/22,5.0,6.9,4.0
1987/2/23,7.3,13.3,2.6
1987/2/24,10.0,16.7,3.2
1987/2/25,4.7,11.8,2.2
1987/2/26,3.4,5.8,2.2
1987/2/27,3.6,7.1,1.5
1987/2/28,4.5,9.0,0.7
1987/3/1,5.4,7.9,2.2
1987/3/2,3.7,7.6,0.9
1987/3/3,5.0,10.9,-1.3
1987/3/4,8.2,12.7,1.7
1987/3/5,12.9,18.4,6.7
1987/3/6,12.2,19.1,7.7
1987/3/7,3.7,7.7,2.1
1987/3/8,5.6,9.1,3.7
1987/3/9,5.3,6.7,3.6
1987/3/10,6.2,9.2,3.2
1987/3/11,6.9,9.8,4.2
1987/3/12,9.1,13.7,5.0
1987/3/13,9.7,11.7,6.7
1987/3/14,10.9,13.5,8.2
1987/3/15,8.3,12.0,5.2
1987/3/16,9.6,13.4,5.8
1987/3/17,7.0,7.9,5.8
1987/3/18,11.3,15.5,7.2
1987/3/19,13.1,19.5,5.5
1987/3/20,12.6,19.3,8.6
1987/3/21,12.4,18.3,5.6
1987/3/22,15.5,19.9,12.8
1987/3/23,14.7,17.5,10.9
1987/3/24,15.9,20.7,11.4
1987/3/25,8.9,13.7,4.5
1987/3/26,5.6,9.3,2.7
1987/3/27,7.1,13.2,1.2
1987/3/28,8.9,13.1,3.8
1987/3/29,8.9,10.3,7.8
1987/3/30,10.8,14.1,7.1
1987/3/31,8.3,11.0,4.1
1987/4/1,6.3,8.8,1.9
1987/4/2,6.8,7.9,5.3
1987/4/3,10.8,16.1,7.2
1987/4/4,12.7,19.3,5.5
1987/4/5,14.7,23.6,7.6
1987/4/6,14.9,18.9,9.9
1987/4/7,13.7,15.5,11.7
1987/4/8,15.8,20.0,13.0
1987/4/9,15.0,18.9,10.6
1987/4/10,18.4,23.0,14.9
1987/4/11,12.8,18.3,7.9
1987/4/12,9.3,14.0,5.8
1987/4/13,7.4,11.9,4.3
1987/4/14,8.6,13.7,2.0
1987/4/15,12.3,18.8,6.0
1987/4/16,13.3,18.5,5.8
1987/4/17,15.0,19.7,10.8
1987/4/18,15.0,19.7,9.7
1987/4/19,16.3,22.8,10.3
1987/4/20,18.3,23.2,12.1
1987/4/21,19.9,21.5,18.2
1987/4/22,18.4,21.5,15.3
1987/4/23,17.9,24.5,12.8
1987/4/24,17.3,21.8,13.6
1987/4/25,13.4,17.1,8.9
1987/4/26,12.9,17.3,8.8
1987/4/27,11.6,16.0,8.1
1987/4/28,14.9,20.5,7.9
1987/4/29,17.3,23.8,11.2
1987/4/30,17.6,20.8,11.9
1987/5/1,16.9,19.6,14.9
