ダウンロードした時刻：2017/07/24 15:42:22

,横浜,横浜,横浜
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1996/1/1,6.8,11.0,3.6
1996/1/2,5.8,8.9,3.0
1996/1/3,9.0,16.2,2.0
1996/1/4,6.0,11.4,2.8
1996/1/5,5.6,10.1,1.0
1996/1/6,7.4,12.5,3.9
1996/1/7,7.3,10.5,3.4
1996/1/8,9.9,15.0,3.4
1996/1/9,3.1,6.6,0.6
1996/1/10,4.9,9.9,-0.1
1996/1/11,7.1,12.5,2.7
1996/1/12,7.4,11.8,3.2
1996/1/13,7.8,12.9,4.2
1996/1/14,8.4,14.0,1.7
1996/1/15,16.0,19.7,13.2
1996/1/16,12.7,17.1,8.2
1996/1/17,6.9,9.1,4.9
1996/1/18,6.0,7.7,4.0
1996/1/19,3.4,5.0,1.7
1996/1/20,2.2,3.8,0.5
1996/1/21,5.4,8.6,2.3
1996/1/22,5.8,7.9,3.9
1996/1/23,6.5,10.4,3.7
1996/1/24,4.3,8.6,1.0
1996/1/25,3.6,7.4,-0.3
1996/1/26,3.5,6.4,1.7
1996/1/27,4.0,8.2,0.0
1996/1/28,5.2,9.8,-0.2
1996/1/29,7.5,13.7,1.8
1996/1/30,5.4,11.1,1.6
1996/1/31,3.2,6.7,-0.2
1996/2/1,3.6,8.0,1.1
1996/2/2,0.6,4.4,-1.4
1996/2/3,3.0,9.4,-2.8
1996/2/4,3.8,8.1,-0.7
1996/2/5,6.6,11.7,1.1
1996/2/6,5.6,10.1,2.7
1996/2/7,5.9,10.3,2.6
1996/2/8,5.5,8.5,1.8
1996/2/9,5.3,11.4,1.7
1996/2/10,3.5,7.6,1.0
1996/2/11,4.8,9.6,-0.3
1996/2/12,8.2,15.6,2.1
1996/2/13,9.9,15.1,3.7
1996/2/14,14.0,20.7,6.0
1996/2/15,11.7,15.3,7.5
1996/2/16,3.3,7.5,1.0
1996/2/17,0.7,2.1,-0.2
1996/2/18,0.7,1.8,-0.4
1996/2/19,1.9,3.6,0.4
1996/2/20,2.3,5.7,-0.8
1996/2/21,2.7,6.1,0.3
1996/2/22,3.3,6.4,0.3
1996/2/23,4.7,9.1,0.2
1996/2/24,5.3,9.5,1.7
1996/2/25,4.9,8.8,1.9
1996/2/26,7.0,11.2,1.8
1996/2/27,7.2,10.5,5.2
1996/2/28,8.1,12.6,3.8
1996/2/29,7.9,11.3,2.6
1996/3/1,8.3,11.7,4.3
1996/3/2,6.7,10.8,3.5
1996/3/3,5.2,10.3,0.7
1996/3/4,6.7,12.3,1.5
1996/3/5,4.4,8.1,2.0
1996/3/6,5.5,9.1,1.8
1996/3/7,6.1,10.6,2.3
1996/3/8,4.7,7.3,2.4
1996/3/9,8.2,12.8,4.6
1996/3/10,7.0,11.8,3.5
1996/3/11,8.3,12.7,4.3
1996/3/12,6.0,10.4,3.4
1996/3/13,7.0,12.0,2.5
1996/3/14,9.4,15.1,4.3
1996/3/15,8.4,10.3,6.4
1996/3/16,11.9,16.8,7.8
1996/3/17,11.9,13.4,10.7
1996/3/18,10.2,15.3,5.2
1996/3/19,7.2,10.9,4.9
1996/3/20,7.2,9.8,5.1
1996/3/21,10.4,15.5,5.2
1996/3/22,10.7,15.0,8.6
1996/3/23,10.0,14.2,7.0
1996/3/24,7.8,11.3,5.3
1996/3/25,8.5,11.1,6.5
1996/3/26,11.8,15.6,10.0
1996/3/27,10.9,14.0,8.2
1996/3/28,11.6,16.6,8.6
1996/3/29,10.3,13.6,8.0
1996/3/30,14.5,17.9,10.5
1996/3/31,17.7,23.2,13.3
1996/4/1,11.0,14.3,4.7
1996/4/2,5.7,6.7,4.2
1996/4/3,7.5,11.8,3.8
1996/4/4,8.6,12.8,4.5
1996/4/5,9.2,13.4,4.8
1996/4/6,11.9,17.6,5.2
1996/4/7,12.2,15.7,9.4
1996/4/8,11.5,16.7,8.2
1996/4/9,11.1,14.7,7.8
1996/4/10,11.0,15.8,7.5
1996/4/11,7.7,10.8,3.6
1996/4/12,7.3,11.5,4.0
1996/4/13,8.2,13.7,2.7
1996/4/14,11.5,17.2,4.1
1996/4/15,12.7,17.3,10.0
1996/4/16,10.9,11.9,9.6
1996/4/17,14.1,19.5,8.9
1996/4/18,14.2,22.8,8.9
1996/4/19,11.6,14.6,9.2
1996/4/20,8.6,11.2,6.4
1996/4/21,10.0,14.1,5.5
1996/4/22,10.4,13.9,7.5
1996/4/23,13.0,18.7,6.6
1996/4/24,15.7,21.2,10.9
1996/4/25,16.7,23.7,11.1
1996/4/26,16.9,23.3,12.2
1996/4/27,18.0,24.7,13.6
1996/4/28,18.2,23.3,13.8
1996/4/29,19.5,25.2,14.4
1996/4/30,19.1,22.1,17.1
1996/5/1,18.7,21.8,16.2
