ダウンロードした時刻：2017/07/24 15:40:43

,敦賀,敦賀,敦賀
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2005/1/1,3.6,5.7,0.5
2005/1/2,3.3,6.5,0.6
2005/1/3,7.0,9.5,3.6
2005/1/4,6.9,10.4,2.8
2005/1/5,3.2,5.8,0.7
2005/1/6,5.0,8.9,0.3
2005/1/7,6.1,9.1,3.4
2005/1/8,3.2,5.2,1.1
2005/1/9,1.9,4.4,0.2
2005/1/10,2.6,5.6,0.1
2005/1/11,2.8,4.7,0.6
2005/1/12,2.8,4.4,0.9
2005/1/13,2.2,4.1,0.9
2005/1/14,4.3,8.6,1.4
2005/1/15,4.7,8.1,1.8
2005/1/16,5.2,8.7,3.0
2005/1/17,5.3,8.9,2.8
2005/1/18,5.6,9.6,3.4
2005/1/19,7.5,11.1,4.1
2005/1/20,3.1,5.9,0.7
2005/1/21,3.0,4.9,0.3
2005/1/22,3.6,5.8,1.4
2005/1/23,2.6,6.6,-0.1
2005/1/24,5.2,10.1,-0.8
2005/1/25,6.9,8.7,5.3
2005/1/26,5.0,6.9,3.8
2005/1/27,5.4,8.9,1.7
2005/1/28,6.1,11.8,1.9
2005/1/29,9.1,13.8,2.2
2005/1/30,3.5,8.2,1.0
2005/1/31,1.7,3.7,0.4
2005/2/1,-0.5,2.8,-2.3
2005/2/2,1.7,4.6,-1.9
2005/2/3,2.0,4.4,0.2
2005/2/4,2.5,7.0,0.4
2005/2/5,4.2,6.9,2.3
2005/2/6,3.5,5.4,1.8
2005/2/7,4.8,6.8,3.3
2005/2/8,4.0,6.6,2.2
2005/2/9,7.1,12.6,0.8
2005/2/10,6.0,9.3,2.9
2005/2/11,2.1,5.3,0.3
2005/2/12,2.4,5.0,0.3
2005/2/13,2.0,6.0,-1.1
2005/2/14,5.1,8.7,2.4
2005/2/15,6.1,11.2,1.8
2005/2/16,8.4,10.5,5.2
2005/2/17,7.1,8.8,5.1
2005/2/18,5.2,7.9,2.0
2005/2/19,7.8,10.0,3.4
2005/2/20,4.2,9.3,0.3
2005/2/21,1.3,3.5,-0.8
2005/2/22,3.0,6.8,-1.5
2005/2/23,8.3,12.5,4.3
2005/2/24,5.4,7.9,2.2
2005/2/25,5.5,8.6,0.8
2005/2/26,1.6,4.0,-0.1
2005/2/27,2.8,6.2,0.5
2005/2/28,3.8,7.1,0.6
2005/3/1,3.9,8.2,0.1
2005/3/2,4.0,8.7,-0.2
2005/3/3,5.5,8.9,2.0
2005/3/4,5.0,7.2,3.2
2005/3/5,4.6,8.5,0.9
2005/3/6,4.1,10.0,0.1
2005/3/7,6.1,12.6,0.0
2005/3/8,10.1,16.4,4.5
2005/3/9,9.2,13.1,6.2
2005/3/10,13.9,19.2,6.8
2005/3/11,13.2,16.1,8.8
2005/3/12,4.7,9.2,0.7
2005/3/13,0.3,2.4,-0.8
2005/3/14,1.7,5.3,-0.3
2005/3/15,4.8,7.3,1.0
2005/3/16,9.0,15.7,3.4
2005/3/17,11.5,15.1,9.2
2005/3/18,7.6,10.3,5.2
2005/3/19,7.0,11.6,1.8
2005/3/20,7.8,13.7,2.0
2005/3/21,9.5,13.6,5.6
2005/3/22,12.1,14.6,9.9
2005/3/23,8.8,12.0,4.5
2005/3/24,7.0,13.1,2.3
2005/3/25,3.2,6.0,0.8
2005/3/26,4.1,9.4,1.2
2005/3/27,11.5,17.5,3.1
2005/3/28,12.1,13.5,10.7
2005/3/29,9.2,12.3,6.3
2005/3/30,8.4,12.2,5.6
2005/3/31,10.2,15.8,5.0
2005/4/1,8.3,14.0,3.4
2005/4/2,12.4,16.2,4.6
2005/4/3,11.0,14.9,6.0
2005/4/4,7.0,10.4,2.9
2005/4/5,12.4,18.7,2.6
2005/4/6,16.9,23.7,13.6
2005/4/7,17.9,20.3,14.2
2005/4/8,14.3,19.5,10.0
2005/4/9,12.1,17.2,8.7
2005/4/10,17.9,22.2,12.6
2005/4/11,11.4,13.5,10.2
2005/4/12,10.2,12.2,9.1
2005/4/13,10.0,13.8,5.8
2005/4/14,11.6,16.8,4.3
2005/4/15,14.8,20.2,11.1
2005/4/16,12.6,16.8,8.6
2005/4/17,14.2,20.2,8.3
2005/4/18,14.9,21.8,9.0
2005/4/19,17.5,21.3,11.5
2005/4/20,16.2,18.7,12.2
2005/4/21,14.0,17.5,11.9
2005/4/22,13.1,16.8,9.3
2005/4/23,13.1,17.8,8.6
2005/4/24,12.8,17.3,6.2
2005/4/25,18.6,23.2,15.2
2005/4/26,15.6,20.1,10.5
2005/4/27,17.9,24.7,8.9
2005/4/28,22.2,27.8,16.9
2005/4/29,19.3,22.2,16.3
2005/4/30,21.1,27.6,16.5
2005/5/1,19.6,23.1,17.3
