ダウンロードした時刻：2017/07/24 15:46:19

,下関,下関,下関
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1999/1/1,7.7,9.8,5.6
1999/1/2,9.6,12.1,7.4
1999/1/3,10.3,12.0,7.3
1999/1/4,9.1,13.9,5.6
1999/1/5,9.0,13.1,6.0
1999/1/6,10.9,14.9,7.6
1999/1/7,7.6,12.9,2.4
1999/1/8,2.8,4.7,0.7
1999/1/9,2.7,4.9,0.2
1999/1/10,4.8,6.4,3.2
1999/1/11,6.1,7.0,5.3
1999/1/12,5.9,7.1,4.9
1999/1/13,7.0,8.1,5.5
1999/1/14,8.4,10.4,6.4
1999/1/15,6.7,7.7,5.2
1999/1/16,7.2,8.8,5.5
1999/1/17,7.3,9.9,5.5
1999/1/18,8.1,12.2,5.2
1999/1/19,10.1,12.8,7.6
1999/1/20,8.6,11.7,5.8
1999/1/21,5.3,7.5,2.9
1999/1/22,6.6,11.2,3.0
1999/1/23,8.6,12.1,6.0
1999/1/24,9.2,12.5,7.6
1999/1/25,10.3,13.9,6.6
1999/1/26,9.6,,6.1
1999/1/27,8.4,11.9,4.7
1999/1/28,9.1,11.8,4.9
1999/1/29,7.1,9.9,5.0
1999/1/30,6.4,8.3,4.7
1999/1/31,7.6,10.8,4.5
1999/2/1,9.5,13.3,7.7
1999/2/2,7.7,11.3,2.2
1999/2/3,0.7,4.3,-1.6
1999/2/4,1.8,4.0,-1.0
1999/2/5,5.8,7.0,3.7
1999/2/6,7.2,10.0,4.7
1999/2/7,8.9,11.8,6.0
1999/2/8,10.0,13.6,6.7
1999/2/9,9.8,14.7,4.6
1999/2/10,11.3,12.8,9.5
1999/2/11,8.0,9.8,5.4
1999/2/12,5.1,8.2,2.2
1999/2/13,3.1,4.9,2.0
1999/2/14,5.7,9.4,2.3
1999/2/15,7.2,11.3,4.3
1999/2/16,8.3,13.0,5.1
1999/2/17,9.9,15.3,5.9
1999/2/18,10.0,11.0,9.0
1999/2/19,6.8,10.1,3.8
1999/2/20,5.0,6.8,2.4
1999/2/21,4.6,5.6,2.9
1999/2/22,5.8,9.0,2.1
1999/2/23,9.0,11.4,6.6
1999/2/24,8.9,11.2,6.8
1999/2/25,11.2,14.2,9.0
1999/2/26,9.6,11.1,7.5
1999/2/27,9.2,11.6,6.5
1999/2/28,7.1,9.0,5.4
1999/3/1,9.6,12.2,7.0
1999/3/2,12.1,14.9,9.8
1999/3/3,11.8,16.1,8.3
1999/3/4,10.1,12.9,7.7
1999/3/5,14.1,20.6,10.1
1999/3/6,12.6,16.6,9.9
1999/3/7,10.2,11.8,8.4
1999/3/8,9.2,12.8,6.7
1999/3/9,8.0,9.3,6.5
1999/3/10,9.5,13.2,6.3
1999/3/11,10.0,13.8,7.3
1999/3/12,8.5,10.7,6.3
1999/3/13,11.1,13.9,8.9
1999/3/14,12.9,14.5,11.7
1999/3/15,12.6,14.6,10.0
1999/3/16,12.0,15.4,9.9
1999/3/17,12.7,17.8,8.8
1999/3/18,15.9,18.9,12.4
1999/3/19,12.9,15.5,8.0
1999/3/20,7.6,9.2,6.0
1999/3/21,9.5,12.7,6.9
1999/3/22,5.8,8.6,3.7
1999/3/23,7.2,11.5,3.2
1999/3/24,10.0,12.2,7.4
1999/3/25,12.2,13.8,10.6
1999/3/26,13.2,14.8,12.0
1999/3/27,11.0,13.1,8.2
1999/3/28,10.3,13.2,6.2
1999/3/29,8.9,11.4,6.9
1999/3/30,7.7,8.5,7.0
1999/3/31,11.8,16.9,8.0
1999/4/1,15.2,21.3,9.9
1999/4/2,13.4,17.3,9.6
1999/4/3,10.7,13.3,7.6
1999/4/4,11.7,16.6,8.6
1999/4/5,13.1,18.2,10.2
1999/4/6,12.1,16.8,9.0
1999/4/7,10.3,14.1,8.3
1999/4/8,11.3,16.6,6.9
1999/4/9,11.6,14.1,10.2
1999/4/10,14.5,16.9,13.3
1999/4/11,13.9,15.4,12.1
1999/4/12,14.2,18.3,11.8
1999/4/13,12.6,14.5,10.8
1999/4/14,12.4,15.6,10.1
1999/4/15,13.0,17.7,9.1
1999/4/16,15.0,19.2,11.2
1999/4/17,14.6,17.3,13.0
1999/4/18,13.7,14.7,12.6
1999/4/19,14.5,16.6,13.3
1999/4/20,16.2,21.2,13.2
1999/4/21,17.0,21.4,12.9
1999/4/22,17.4,20.5,14.8
1999/4/23,16.7,19.0,15.0
1999/4/24,16.9,20.3,14.2
1999/4/25,15.0,17.6,12.7
1999/4/26,15.6,18.7,12.7
1999/4/27,17.1,20.9,13.5
1999/4/28,14.4,18.2,10.8
1999/4/29,13.9,18.8,8.8
1999/4/30,15.3,21.1,10.1
1999/5/1,16.9,22.7,12.5
