É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2017/07/24 15:36:08

,éDñy,éDñy,éDñy
îNåéì˙,ïΩãœãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé)
,,,
1988/1/1,-2.6,0.0,-8.5
1988/1/2,-4.4,-0.2,-7.7
1988/1/3,-5.3,-3.4,-7.1
1988/1/4,-2.6,0.0,-5.3
1988/1/5,-6.0,-2.7,-7.5
1988/1/6,-4.2,-1.0,-7.0
1988/1/7,0.2,4.2,-6.8
1988/1/8,0.8,3.5,-1.4
1988/1/9,-4.2,0.0,-8.6
1988/1/10,-7.7,-5.4,-10.6
1988/1/11,-7.0,-5.6,-8.9
1988/1/12,-4.0,-1.3,-6.7
1988/1/13,-1.2,3.2,-9.3
1988/1/14,1.9,5.1,-2.4
1988/1/15,-0.6,3.2,-5.0
1988/1/16,-4.6,-3.5,-5.5
1988/1/17,-4.4,-1.6,-6.7
1988/1/18,-6.1,-3.8,-8.0
1988/1/19,-3.5,0.0,-7.2
1988/1/20,1.3,4.2,-4.4
1988/1/21,1.7,5.4,-4.8
1988/1/22,4.3,7.1,1.5
1988/1/23,-1.5,4.2,-5.9
1988/1/24,-7.6,-5.7,-9.3
1988/1/25,-8.5,-6.4,-10.0
1988/1/26,-9.1,-6.9,-10.4
1988/1/27,-7.7,-6.0,-10.6
1988/1/28,-7.2,-4.8,-11.0
1988/1/29,-6.4,-0.9,-10.5
1988/1/30,-6.7,-3.5,-8.2
1988/1/31,-6.2,-3.6,-9.1
1988/2/1,-4.8,-1.9,-7.0
1988/2/2,-1.0,3.6,-6.1
1988/2/3,-6.7,-3.5,-7.8
1988/2/4,-5.8,-3.8,-8.5
1988/2/5,-3.1,-0.3,-7.4
1988/2/6,-5.6,-1.5,-8.6
1988/2/7,-5.7,-2.6,-11.2
1988/2/8,-3.1,-0.6,-5.2
1988/2/9,-4.3,-1.9,-6.3
1988/2/10,-4.3,-0.7,-7.8
1988/2/11,-5.4,-3.4,-8.1
1988/2/12,-5.2,-2.1,-7.0
1988/2/13,-7.2,-2.3,-10.6
1988/2/14,-7.5,-3.5,-12.0
1988/2/15,-8.7,-4.9,-13.3
1988/2/16,-8.1,-3.4,-12.1
1988/2/17,-7.7,-2.1,-12.5
1988/2/18,-8.1,-3.3,-13.6
1988/2/19,-7.3,-3.9,-12.4
1988/2/20,-5.9,-1.9,-10.9
1988/2/21,-5.1,-1.3,-9.4
1988/2/22,-3.5,-0.1,-8.4
1988/2/23,-0.6,2.2,-2.6
1988/2/24,-3.7,-1.7,-5.4
1988/2/25,-3.3,-1.0,-6.5
1988/2/26,-3.7,-1.1,-5.3
1988/2/27,-5.9,-2.7,-8.0
1988/2/28,-6.1,-2.7,-8.1
1988/2/29,-4.3,-2.2,-7.2
1988/3/1,-1.6,0.5,-4.7
1988/3/2,-1.4,-0.1,-3.3
1988/3/3,-0.2,3.1,-2.8
1988/3/4,-3.8,-1.3,-6.7
1988/3/5,-3.2,0.5,-7.3
1988/3/6,-4.9,-1.1,-9.3
1988/3/7,-3.9,-1.2,-11.6
1988/3/8,-4.5,-1.7,-7.1
1988/3/9,-5.0,-2.2,-9.8
1988/3/10,-0.4,3.0,-5.0
1988/3/11,5.3,9.9,-0.2
1988/3/12,3.7,6.2,1.2
1988/3/13,1.2,4.1,-0.8
1988/3/14,2.7,7.3,-3.1
1988/3/15,-2.6,2.4,-6.7
1988/3/16,-2.1,0.5,-5.8
1988/3/17,0.7,4.2,-4.5
1988/3/18,1.8,6.5,-4.7
1988/3/19,2.8,5.8,0.8
1988/3/20,-0.2,2.5,-2.0
1988/3/21,0.8,3.9,-1.9
1988/3/22,0.2,3.4,-3.5
1988/3/23,3.1,5.8,0.2
1988/3/24,-0.9,1.5,-2.5
1988/3/25,2.3,5.8,-0.8
1988/3/26,0.9,4.2,-1.7
1988/3/27,0.8,4.3,-3.7
1988/3/28,1.9,5.1,-0.6
1988/3/29,1.4,4.9,-1.6
1988/3/30,1.2,5.1,-3.1
1988/3/31,1.4,5.8,-3.5
1988/4/1,2.4,7.2,-2.4
1988/4/2,3.6,6.9,0.9
1988/4/3,5.0,9.7,0.4
1988/4/4,3.7,7.0,0.3
1988/4/5,4.9,11.0,-0.7
1988/4/6,1.9,4.2,0.6
1988/4/7,2.0,4.9,0.5
1988/4/8,2.9,7.7,-1.9
1988/4/9,5.0,9.6,-0.9
1988/4/10,7.1,12.0,0.9
1988/4/11,9.7,16.3,0.7
1988/4/12,9.2,13.0,6.7
1988/4/13,8.7,13.8,5.4
1988/4/14,8.5,15.6,3.1
1988/4/15,5.3,8.8,2.8
1988/4/16,5.6,8.5,3.5
1988/4/17,9.9,17.7,1.4
1988/4/18,12.3,18.7,5.9
1988/4/19,9.5,10.9,8.4
1988/4/20,8.2,14.0,4.5
1988/4/21,5.0,7.2,3.5
1988/4/22,6.3,9.2,3.5
1988/4/23,5.7,9.9,2.9
1988/4/24,2.9,5.4,1.1
1988/4/25,5.8,11.3,0.9
1988/4/26,9.1,14.5,4.3
1988/4/27,10.9,15.3,6.0
1988/4/28,14.8,22.4,7.1
1988/4/29,15.9,23.5,9.9
1988/4/30,11.5,16.1,7.5
1988/5/1,14.0,20.5,7.0
