É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2017/07/24 15:45:46

,âFòaìá,âFòaìá,âFòaìá
îNåéì˙,ïΩãœãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé)
,,,
1984/1/1,5.2,11.1,2.0
1984/1/2,4.9,13.2,0.5
1984/1/3,6.5,13.4,1.9
1984/1/4,4.4,7.4,2.2
1984/1/5,2.6,6.9,-1.7
1984/1/6,2.2,9.1,-3.0
1984/1/7,5.3,9.2,1.6
1984/1/8,5.2,7.8,2.4
1984/1/9,6.6,11.1,4.5
1984/1/10,8.9,13.9,4.0
1984/1/11,7.5,12.0,2.4
1984/1/12,4.6,9.4,1.2
1984/1/13,4.8,13.0,-1.1
1984/1/14,7.0,13.5,3.2
1984/1/15,5.3,10.8,1.3
1984/1/16,1.4,4.1,0.1
1984/1/17,2.3,6.6,0.5
1984/1/18,1.3,6.2,-3.0
1984/1/19,1.3,5.0,-0.5
1984/1/20,2.5,8.5,-2.5
1984/1/21,3.0,4.1,1.6
1984/1/22,4.5,8.0,2.9
1984/1/23,3.1,8.3,-1.2
1984/1/24,3.7,9.1,0.8
1984/1/25,1.3,5.4,-1.2
1984/1/26,0.0,2.6,-1.4
1984/1/27,0.8,1.8,-0.2
1984/1/28,2.4,6.4,0.5
1984/1/29,1.7,8.5,-2.4
1984/1/30,1.6,7.0,-2.6
1984/1/31,3.6,5.1,0.4
1984/2/1,4.0,10.8,-0.6
1984/2/2,3.1,6.2,0.6
1984/2/3,1.0,4.8,-0.8
1984/2/4,1.9,8.2,-1.4
1984/2/5,2.7,8.5,-1.7
1984/2/6,1.5,4.9,-1.7
1984/2/7,-1.6,0.2,-3.1
1984/2/8,-0.4,1.8,-2.5
1984/2/9,0.4,4.3,-2.3
1984/2/10,1.6,8.1,-3.7
1984/2/11,3.3,5.6,0.1
1984/2/12,4.4,6.5,1.5
1984/2/13,5.0,11.6,-0.7
1984/2/14,5.2,11.2,1.6
1984/2/15,3.9,10.1,-1.7
1984/2/16,4.8,11.1,-0.6
1984/2/17,4.3,6.5,2.2
1984/2/18,4.8,9.8,1.5
1984/2/19,4.0,11.4,-0.8
1984/2/20,4.7,12.6,-2.2
1984/2/21,6.1,14.3,-1.0
1984/2/22,6.6,12.3,1.9
1984/2/23,9.0,13.8,6.6
1984/2/24,7.7,14.8,2.4
1984/2/25,7.2,13.4,1.0
1984/2/26,8.5,11.7,6.4
1984/2/27,3.3,6.7,0.7
1984/2/28,2.2,8.5,-1.5
1984/2/29,1.1,5.2,-2.4
1984/3/1,1.8,9.1,-2.3
1984/3/2,5.0,11.9,-0.5
1984/3/3,3.7,9.4,-0.3
1984/3/4,3.6,8.9,-0.6
1984/3/5,4.0,11.2,-1.4
1984/3/6,3.6,8.5,-1.3
1984/3/7,4.6,11.4,-0.7
1984/3/8,4.9,11.6,-1.2
1984/3/9,6.6,12.4,0.2
1984/3/10,7.4,13.0,3.3
1984/3/11,4.8,10.4,-0.2
1984/3/12,7.4,16.8,-2.1
1984/3/13,8.4,12.2,4.1
1984/3/14,7.1,8.4,6.0
1984/3/15,8.4,11.1,5.8
1984/3/16,9.0,11.7,6.3
1984/3/17,7.3,13.0,2.5
1984/3/18,7.6,14.8,-0.2
1984/3/19,6.7,8.5,5.6
1984/3/20,7.0,13.5,1.3
1984/3/21,4.5,9.5,0.6
1984/3/22,4.4,11.6,-1.0
1984/3/23,6.4,14.3,-1.8
1984/3/24,9.8,15.0,7.1
1984/3/25,9.5,16.0,5.5
1984/3/26,9.5,17.3,4.6
1984/3/27,10.2,16.6,3.6
1984/3/28,9.6,16.7,4.0
1984/3/29,11.7,21.0,2.4
1984/3/30,14.1,22.9,8.0
1984/3/31,14.5,21.6,10.4
1984/4/1,11.2,14.4,9.4
1984/4/2,11.2,17.7,5.0
1984/4/3,15.4,21.3,9.1
1984/4/4,15.0,17.3,13.8
1984/4/5,16.1,22.7,13.1
1984/4/6,11.6,16.6,7.0
1984/4/7,9.9,18.7,3.5
1984/4/8,10.8,19.7,2.1
1984/4/9,13.3,18.5,8.4
1984/4/10,14.1,17.6,11.6
1984/4/11,13.6,20.4,8.3
1984/4/12,12.4,19.4,4.9
1984/4/13,12.9,19.7,8.4
1984/4/14,12.9,20.7,5.0
1984/4/15,16.0,24.5,8.8
1984/4/16,18.1,24.5,13.2
1984/4/17,18.9,25.4,12.1
1984/4/18,21.1,26.0,17.1
1984/4/19,15.0,20.5,10.5
1984/4/20,12.6,19.2,7.5
1984/4/21,11.6,18.0,6.4
1984/4/22,12.6,16.9,7.9
1984/4/23,13.0,20.2,5.5
1984/4/24,14.4,22.7,6.1
1984/4/25,16.3,21.0,9.5
1984/4/26,17.5,20.9,14.7
1984/4/27,17.4,23.2,10.8
1984/4/28,16.8,24.3,11.4
1984/4/29,17.9,20.4,14.7
1984/4/30,16.8,18.5,15.7
1984/5/1,17.5,24.1,12.5
