ダウンロードした時刻：2017/07/24 15:42:37

,大島,大島,大島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1990/1/1,5.9,10.2,1.5
1990/1/2,7.9,11.1,5.1
1990/1/3,6.6,9.3,3.1
1990/1/4,5.6,9.6,2.4
1990/1/5,6.2,8.7,2.6
1990/1/6,9.9,14.0,7.2
1990/1/7,6.2,9.3,3.1
1990/1/8,6.1,8.8,3.8
1990/1/9,9.6,12.7,5.2
1990/1/10,13.5,17.2,9.1
1990/1/11,10.6,13.8,7.7
1990/1/12,10.1,12.8,6.8
1990/1/13,7.3,11.6,3.0
1990/1/14,5.0,7.6,2.2
1990/1/15,6.4,8.5,2.9
1990/1/16,2.7,5.4,1.4
1990/1/17,4.6,7.4,1.9
1990/1/18,10.5,14.2,5.5
1990/1/19,10.8,14.2,7.2
1990/1/20,4.9,7.2,2.7
1990/1/21,4.3,8.3,2.0
1990/1/22,6.8,10.0,2.7
1990/1/23,4.3,7.5,1.9
1990/1/24,2.9,5.8,0.7
1990/1/25,2.3,5.5,0.0
1990/1/26,2.0,5.3,-0.1
1990/1/27,2.8,7.3,-0.4
1990/1/28,3.9,6.8,-0.2
1990/1/29,9.7,14.3,4.4
1990/1/30,8.5,12.8,5.0
1990/1/31,2.0,5.0,0.9
1990/2/1,1.8,2.5,1.1
1990/2/2,3.1,5.7,0.8
1990/2/3,5.5,7.6,2.0
1990/2/4,5.2,6.0,4.1
1990/2/5,4.1,5.5,3.1
1990/2/6,5.7,7.6,4.5
1990/2/7,5.3,6.3,4.2
1990/2/8,7.2,10.0,3.9
1990/2/9,4.5,7.2,3.4
1990/2/10,6.5,9.6,1.7
1990/2/11,13.8,15.1,8.9
1990/2/12,10.5,13.4,5.8
1990/2/13,7.2,11.3,4.8
1990/2/14,4.5,6.4,2.9
1990/2/15,5.0,6.3,3.3
1990/2/16,6.1,7.2,4.9
1990/2/17,8.2,11.9,4.7
1990/2/18,9.1,12.2,5.5
1990/2/19,8.8,9.8,8.2
1990/2/20,13.3,16.2,8.5
1990/2/21,11.1,16.2,8.5
1990/2/22,12.3,17.2,7.7
1990/2/23,12.2,13.6,11.5
1990/2/24,14.7,17.9,11.8
1990/2/25,11.0,13.0,9.4
1990/2/26,9.6,10.9,7.9
1990/2/27,7.1,8.0,6.5
1990/2/28,7.6,10.0,6.1
1990/3/1,7.5,8.6,6.6
1990/3/2,7.6,9.0,6.3
1990/3/3,7.6,9.9,6.2
1990/3/4,9.6,13.1,7.6
1990/3/5,9.2,12.0,7.2
1990/3/6,8.1,11.4,5.3
1990/3/7,9.6,13.6,6.7
1990/3/8,6.7,11.6,1.2
1990/3/9,8.5,14.6,3.6
1990/3/10,10.9,15.2,7.2
1990/3/11,12.6,16.4,8.8
1990/3/12,12.3,16.8,7.1
1990/3/13,7.7,13.0,3.3
1990/3/14,10.2,14.5,6.3
1990/3/15,13.2,18.5,8.6
1990/3/16,10.5,15.4,6.3
1990/3/17,9.1,14.1,7.0
1990/3/18,9.0,14.0,6.7
1990/3/19,10.1,14.7,4.8
1990/3/20,11.8,17.1,6.4
1990/3/21,10.0,14.9,7.2
1990/3/22,11.1,16.1,5.6
1990/3/23,13.8,18.5,9.2
1990/3/24,15.0,18.4,12.0
1990/3/25,9.0,12.2,5.9
1990/3/26,6.5,9.3,4.0
1990/3/27,9.4,14.2,3.7
1990/3/28,10.7,14.8,8.5
1990/3/29,8.7,9.7,8.0
1990/3/30,9.0,9.8,7.9
1990/3/31,11.7,15.4,9.7
1990/4/1,15.3,20.6,10.8
1990/4/2,13.3,16.4,11.3
1990/4/3,15.9,20.1,11.0
1990/4/4,15.2,17.7,13.3
1990/4/5,9.8,14.4,6.9
1990/4/6,10.6,16.4,5.9
1990/4/7,12.8,15.7,8.1
1990/4/8,14.0,16.4,10.9
1990/4/9,13.6,17.2,8.6
1990/4/10,15.2,19.9,10.8
1990/4/11,14.8,18.6,11.9
1990/4/12,15.2,19.9,11.8
1990/4/13,15.9,18.5,13.2
1990/4/14,16.9,21.2,13.5
1990/4/15,13.2,17.3,8.2
1990/4/16,10.1,14.7,8.4
1990/4/17,10.0,11.4,8.8
1990/4/18,9.5,12.9,7.1
1990/4/19,10.1,13.1,8.6
1990/4/20,11.3,12.5,10.1
1990/4/21,13.6,17.4,11.3
1990/4/22,14.9,18.5,12.2
1990/4/23,17.2,18.8,12.7
1990/4/24,13.9,17.7,10.1
1990/4/25,13.3,17.0,7.6
1990/4/26,15.7,19.6,14.1
1990/4/27,16.4,21.0,12.6
1990/4/28,16.9,21.6,13.0
1990/4/29,15.7,20.1,11.6
1990/4/30,13.3,19.2,8.3
1990/5/1,13.9,19.0,7.9
