ダウンロードした時刻：2017/07/24 15:40:56

,名古屋,名古屋,名古屋
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1990/1/1,1.6,5.3,-1.3
1990/1/2,4.9,9.1,-0.3
1990/1/3,4.3,9.8,1.1
1990/1/4,3.5,8.3,0.2
1990/1/5,3.8,9.1,-1.4
1990/1/6,4.3,8.9,1.5
1990/1/7,3.8,7.8,0.4
1990/1/8,3.9,9.6,-1.3
1990/1/9,6.6,10.9,1.5
1990/1/10,8.6,12.1,5.8
1990/1/11,7.6,11.6,4.4
1990/1/12,7.4,11.6,4.1
1990/1/13,5.9,10.9,1.0
1990/1/14,3.6,7.4,-1.2
1990/1/15,5.6,8.7,2.2
1990/1/16,3.5,6.1,2.0
1990/1/17,5.0,10.2,1.3
1990/1/18,6.5,11.7,1.4
1990/1/19,7.9,10.7,6.3
1990/1/20,4.4,7.8,1.7
1990/1/21,3.4,8.3,-0.1
1990/1/22,4.3,9.4,-0.7
1990/1/23,3.4,6.5,1.4
1990/1/24,1.1,5.8,-1.6
1990/1/25,-0.3,3.8,-3.6
1990/1/26,0.5,4.2,-2.1
1990/1/27,0.6,5.4,-3.0
1990/1/28,3.2,7.9,-1.4
1990/1/29,3.6,5.6,1.3
1990/1/30,5.3,9.0,3.2
1990/1/31,2.5,3.3,0.8
1990/2/1,3.0,4.8,1.0
1990/2/2,4.2,9.0,-0.1
1990/2/3,5.1,7.3,3.1
1990/2/4,7.0,11.7,1.6
1990/2/5,7.4,12.8,4.0
1990/2/6,6.8,10.8,2.5
1990/2/7,9.1,15.2,6.0
1990/2/8,6.9,11.9,2.9
1990/2/9,6.9,12.4,3.2
1990/2/10,8.0,12.8,2.6
1990/2/11,11.9,15.6,8.7
1990/2/12,8.2,12.0,5.9
1990/2/13,6.7,10.8,4.2
1990/2/14,5.5,6.7,3.3
1990/2/15,8.4,12.7,6.1
1990/2/16,8.1,13.1,6.0
1990/2/17,8.4,14.1,4.2
1990/2/18,9.0,15.4,2.1
1990/2/19,10.9,12.7,9.6
1990/2/20,13.9,19.8,10.1
1990/2/21,11.4,16.9,7.0
1990/2/22,12.4,18.3,5.4
1990/2/23,11.7,12.7,10.6
1990/2/24,12.7,16.5,9.9
1990/2/25,9.2,11.0,7.3
1990/2/26,8.6,10.6,6.2
1990/2/27,7.9,12.4,4.0
1990/2/28,8.4,13.8,3.5
1990/3/1,8.7,9.8,7.9
1990/3/2,9.6,11.1,8.5
1990/3/3,9.5,11.7,7.4
1990/3/4,8.4,13.5,5.1
1990/3/5,7.7,12.9,2.9
1990/3/6,8.2,12.7,3.8
1990/3/7,6.9,12.9,3.2
1990/3/8,4.2,8.4,0.2
1990/3/9,8.1,14.5,1.4
1990/3/10,10.7,17.7,3.1
1990/3/11,12.1,18.2,4.5
1990/3/12,11.0,18.1,4.1
1990/3/13,6.1,10.0,3.5
1990/3/14,8.5,15.1,0.0
1990/3/15,10.2,16.7,6.5
1990/3/16,9.7,15.0,5.2
1990/3/17,8.7,14.1,3.3
1990/3/18,7.6,15.4,3.7
1990/3/19,10.1,15.5,5.8
1990/3/20,11.0,17.8,4.6
1990/3/21,10.6,17.5,6.0
1990/3/22,11.7,19.0,4.6
1990/3/23,14.4,22.6,7.0
1990/3/24,12.4,14.3,9.9
1990/3/25,9.5,13.8,5.6
1990/3/26,8.7,15.2,3.6
1990/3/27,10.5,17.1,2.5
1990/3/28,10.1,13.7,8.7
1990/3/29,10.5,13.5,8.2
1990/3/30,11.0,12.6,9.9
1990/3/31,11.9,12.9,10.2
1990/4/1,15.6,21.2,10.8
1990/4/2,16.9,24.5,11.7
1990/4/3,16.4,21.6,11.7
1990/4/4,13.9,16.2,9.7
1990/4/5,8.2,12.4,5.7
1990/4/6,10.1,16.3,3.5
1990/4/7,9.5,13.6,5.5
1990/4/8,12.8,16.1,8.3
1990/4/9,13.7,20.5,6.0
1990/4/10,16.0,22.0,9.9
1990/4/11,16.8,23.3,10.1
1990/4/12,17.2,21.7,12.6
1990/4/13,15.7,16.6,14.2
1990/4/14,16.1,20.5,12.5
1990/4/15,13.4,19.0,9.8
1990/4/16,13.0,18.7,7.3
1990/4/17,12.5,18.3,7.7
1990/4/18,11.1,16.5,7.9
1990/4/19,12.2,18.3,5.1
1990/4/20,12.9,15.7,9.3
1990/4/21,14.7,17.9,11.9
1990/4/22,16.1,21.8,11.1
1990/4/23,16.2,21.0,11.4
1990/4/24,12.1,16.7,9.0
1990/4/25,13.5,19.6,5.6
1990/4/26,16.9,22.5,11.7
1990/4/27,18.8,27.1,11.6
1990/4/28,18.9,24.9,14.6
1990/4/29,15.7,21.1,11.2
1990/4/30,14.7,22.1,8.2
1990/5/1,15.1,22.6,9.4
