ダウンロードした時刻：2017/07/24 15:47:52

,宮崎,宮崎,宮崎
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2015/1/1,4.3,7.2,0.3
2015/1/2,4.7,9.8,-0.8
2015/1/3,4.9,11.4,-1.2
2015/1/4,8.8,17.1,1.1
2015/1/5,9.8,15.8,3.5
2015/1/6,12.1,17.6,8.2
2015/1/7,8.8,13.9,5.0
2015/1/8,6.1,11.5,1.8
2015/1/9,7.2,13.4,1.9
2015/1/10,8.2,13.6,3.7
2015/1/11,9.6,14.8,4.2
2015/1/12,7.1,11.6,3.0
2015/1/13,5.3,11.5,-0.8
2015/1/14,9.4,14.8,4.5
2015/1/15,12.9,16.3,7.7
2015/1/16,10.1,16.6,3.9
2015/1/17,8.5,12.2,3.5
2015/1/18,7.0,14.5,-0.9
2015/1/19,9.9,13.7,5.0
2015/1/20,6.2,12.4,0.5
2015/1/21,7.6,10.2,3.7
2015/1/22,10.6,16.2,6.0
2015/1/23,7.7,13.7,3.2
2015/1/24,7.8,15.4,1.7
2015/1/25,8.5,15.1,2.3
2015/1/26,11.3,16.4,8.1
2015/1/27,12.6,18.0,8.5
2015/1/28,9.0,11.9,6.7
2015/1/29,5.5,8.3,1.7
2015/1/30,9.4,13.7,6.5
2015/1/31,6.3,11.2,1.9
2015/2/1,4.2,10.1,-1.1
2015/2/2,5.4,10.9,0.8
2015/2/3,5.8,11.7,0.3
2015/2/4,6.5,9.9,2.9
2015/2/5,6.8,11.8,2.7
2015/2/6,5.7,13.1,0.4
2015/2/7,7.8,13.4,2.0
2015/2/8,6.4,11.9,0.7
2015/2/9,2.7,8.4,-1.7
2015/2/10,5.4,12.0,-1.1
2015/2/11,7.4,14.1,1.3
2015/2/12,8.2,13.9,2.1
2015/2/13,7.1,12.2,3.3
2015/2/14,7.6,15.3,0.5
2015/2/15,9.2,14.5,2.2
2015/2/16,9.8,12.1,8.2
2015/2/17,12.4,17.4,7.1
2015/2/18,8.9,13.9,5.1
2015/2/19,8.3,13.5,2.8
2015/2/20,5.9,12.6,-0.5
2015/2/21,8.8,14.8,2.5
2015/2/22,14.3,19.2,10.6
2015/2/23,12.7,18.3,8.5
2015/2/24,9.7,13.8,5.8
2015/2/25,9.3,14.2,3.4
2015/2/26,11.2,15.7,8.7
2015/2/27,9.8,15.7,5.6
2015/2/28,7.4,10.1,4.9
2015/3/1,11.6,16.9,6.7
2015/3/2,8.5,12.9,5.0
2015/3/3,8.1,11.6,4.2
2015/3/4,10.5,15.3,7.1
2015/3/5,8.9,12.3,6.1
2015/3/6,7.3,8.7,6.0
2015/3/7,9.3,10.9,7.7
2015/3/8,10.2,15.4,4.6
2015/3/9,11.5,18.0,9.1
2015/3/10,5.6,9.7,2.2
2015/3/11,6.9,12.9,1.4
2015/3/12,8.8,15.1,3.7
2015/3/13,10.2,17.9,2.3
2015/3/14,13.1,20.8,6.4
2015/3/15,11.5,12.9,10.0
2015/3/16,13.3,14.8,11.4
2015/3/17,16.3,20.5,12.2
2015/3/18,18.0,20.9,16.1
2015/3/19,19.6,22.5,17.0
2015/3/20,17.5,21.9,15.2
2015/3/21,16.3,20.4,12.9
2015/3/22,16.1,23.8,9.0
2015/3/23,13.9,20.5,9.4
2015/3/24,9.8,13.5,5.8
2015/3/25,8.7,14.1,1.6
2015/3/26,9.4,15.9,3.0
2015/3/27,11.3,16.4,3.4
2015/3/28,15.2,19.8,8.2
2015/3/29,15.6,19.5,12.9
2015/3/30,15.8,20.8,10.3
2015/3/31,15.9,19.3,12.4
2015/4/1,20.6,27.8,15.7
2015/4/2,18.8,21.9,17.4
2015/4/3,22.2,27.3,17.4
2015/4/4,21.4,26.6,18.5
2015/4/5,24.1,27.7,21.4
2015/4/6,22.5,27.9,19.4
2015/4/7,15.9,22.1,11.9
2015/4/8,11.0,12.1,9.7
2015/4/9,13.1,15.3,10.7
2015/4/10,16.9,19.4,14.4
2015/4/11,16.7,20.2,13.6
2015/4/12,15.8,18.0,12.0
2015/4/13,17.4,19.6,15.7
2015/4/14,14.8,19.7,10.2
2015/4/15,14.8,20.6,9.5
2015/4/16,17.6,24.1,13.9
2015/4/17,17.7,23.4,12.7
2015/4/18,16.6,20.9,10.5
2015/4/19,19.6,24.1,15.7
2015/4/20,22.2,28.0,18.4
2015/4/21,18.2,20.5,14.2
2015/4/22,16.8,21.9,11.4
2015/4/23,16.9,23.1,11.2
2015/4/24,17.4,23.5,10.4
2015/4/25,17.9,23.0,11.8
2015/4/26,18.0,23.3,11.9
2015/4/27,19.0,24.8,12.1
2015/4/28,16.6,19.3,15.1
2015/4/29,18.3,21.9,15.2
2015/4/30,18.2,19.5,16.9
2015/5/1,20.0,23.3,17.0
