É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2017/07/24 15:40:20

,åFíJ,åFíJ,åFíJ
îNåéì˙,ïΩãœãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé)
,,,
1999/1/1,3.7,8.9,-0.5
1999/1/2,2.4,8.8,-2.6
1999/1/3,4.1,9.6,-1.1
1999/1/4,4.0,9.8,-1.7
1999/1/5,3.0,9.7,-2.4
1999/1/6,3.0,10.1,-3.0
1999/1/7,6.1,13.3,0.2
1999/1/8,2.5,5.9,-0.1
1999/1/9,1.0,7.0,-3.3
1999/1/10,2.2,9.9,-3.8
1999/1/11,3.3,9.0,-2.7
1999/1/12,3.6,10.6,-2.3
1999/1/13,4.7,11.5,-0.4
1999/1/14,4.6,11.4,-1.6
1999/1/15,3.3,6.1,0.1
1999/1/16,6.0,12.6,-0.4
1999/1/17,3.6,9.1,-0.9
1999/1/18,3.3,10.5,-2.0
1999/1/19,3.7,7.1,-0.8
1999/1/20,10.0,17.5,1.8
1999/1/21,4.3,8.0,0.2
1999/1/22,4.6,12.4,-3.4
1999/1/23,7.2,16.0,-0.6
1999/1/24,4.8,7.9,3.0
1999/1/25,5.2,6.9,3.5
1999/1/26,8.2,15.2,3.0
1999/1/27,6.0,11.2,1.5
1999/1/28,7.6,17.2,-0.5
1999/1/29,4.8,11.2,-0.4
1999/1/30,2.4,7.2,-0.9
1999/1/31,4.7,12.4,-3.0
1999/2/1,6.4,13.4,0.2
1999/2/2,5.5,11.9,0.8
1999/2/3,1.1,6.5,-1.8
1999/2/4,0.9,6.4,-3.5
1999/2/5,2.0,8.3,-4.4
1999/2/6,4.0,9.2,-0.2
1999/2/7,4.7,12.7,-3.4
1999/2/8,7.4,14.3,2.3
1999/2/9,5.6,11.8,-0.3
1999/2/10,4.9,10.7,-0.2
1999/2/11,1.9,6.4,-0.6
1999/2/12,3.6,8.9,-1.3
1999/2/13,1.2,5.9,-1.9
1999/2/14,2.2,8.7,-3.4
1999/2/15,3.8,10.0,-2.5
1999/2/16,6.6,15.2,-1.4
1999/2/17,7.8,16.0,-0.8
1999/2/18,9.1,18.6,2.5
1999/2/19,4.1,8.4,-0.2
1999/2/20,2.4,8.5,-3.6
1999/2/21,3.5,9.7,0.0
1999/2/22,4.2,11.4,-2.7
1999/2/23,6.4,14.4,-1.4
1999/2/24,2.9,5.5,0.9
1999/2/25,7.5,11.4,2.5
1999/2/26,6.4,12.0,-0.4
1999/2/27,9.1,19.7,2.0
1999/2/28,5.2,11.3,0.3
1999/3/1,6.1,13.4,-1.5
1999/3/2,9.6,17.3,0.9
1999/3/3,8.4,14.4,4.5
1999/3/4,11.3,19.9,2.2
1999/3/5,11.4,19.2,3.3
1999/3/6,10.7,15.8,7.3
1999/3/7,6.4,8.3,4.5
1999/3/8,8.2,13.9,2.2
1999/3/9,4.3,7.8,1.6
1999/3/10,5.0,9.9,2.0
1999/3/11,4.7,7.5,1.9
1999/3/12,5.4,9.5,2.4
1999/3/13,6.1,11.4,-0.6
1999/3/14,11.7,19.2,3.3
1999/3/15,13.3,15.2,11.5
1999/3/16,13.0,18.3,7.5
1999/3/17,11.0,16.2,4.1
1999/3/18,14.8,22.2,8.1
1999/3/19,13.0,15.0,11.2
1999/3/20,6.1,12.9,3.2
1999/3/21,3.4,6.3,1.3
1999/3/22,5.6,9.2,1.6
1999/3/23,6.7,13.0,1.1
1999/3/24,10.4,17.6,2.8
1999/3/25,12.8,18.6,8.0
1999/3/26,13.6,16.9,10.6
1999/3/27,11.2,15.4,6.4
1999/3/28,8.4,12.2,5.9
1999/3/29,5.6,10.8,2.0
1999/3/30,5.8,9.0,2.4
1999/3/31,7.2,13.2,3.4
1999/4/1,10.2,17.5,3.5
1999/4/2,13.9,23.6,6.2
1999/4/3,10.4,16.1,6.2
1999/4/4,10.4,16.3,5.1
1999/4/5,12.8,19.5,5.7
1999/4/6,9.8,11.8,7.4
1999/4/7,9.3,16.0,6.0
1999/4/8,6.9,12.0,2.2
1999/4/9,9.5,18.0,0.4
1999/4/10,9.0,12.8,5.7
1999/4/11,13.3,17.4,8.8
1999/4/12,16.3,20.9,12.4
1999/4/13,17.8,25.1,12.6
1999/4/14,15.2,23.0,9.8
1999/4/15,14.5,20.9,8.5
1999/4/16,14.2,20.2,9.9
1999/4/17,16.0,22.8,8.6
1999/4/18,14.0,16.2,12.6
1999/4/19,12.6,13.7,11.2
1999/4/20,17.8,25.5,11.5
1999/4/21,16.7,23.2,13.0
1999/4/22,17.4,24.8,10.2
1999/4/23,15.0,18.6,12.0
1999/4/24,13.5,15.1,11.8
1999/4/25,15.5,18.4,13.5
1999/4/26,17.5,22.1,14.3
1999/4/27,18.9,25.1,14.5
1999/4/28,17.1,22.1,13.1
1999/4/29,13.3,18.7,9.0
1999/4/30,12.5,19.8,4.4
1999/5/1,15.0,23.8,6.2
