ダウンロードした時刻：2017/07/24 15:39:44

,福井,福井,福井
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2010/1/1,2.7,4.5,0.1
2010/1/2,2.4,5.0,0.8
2010/1/3,1.6,3.7,0.2
2010/1/4,3.7,9.1,0.3
2010/1/5,3.3,9.7,0.3
2010/1/6,0.6,1.3,0.1
2010/1/7,1.9,4.6,0.1
2010/1/8,1.9,5.5,0.3
2010/1/9,1.7,3.5,0.2
2010/1/10,3.1,5.8,1.1
2010/1/11,4.0,8.6,0.6
2010/1/12,3.6,4.9,2.1
2010/1/13,0.5,3.3,-0.8
2010/1/14,0.4,2.0,-0.6
2010/1/15,1.0,3.2,-0.1
2010/1/16,1.5,4.2,-0.3
2010/1/17,-0.4,2.6,-3.0
2010/1/18,1.8,4.9,-1.4
2010/1/19,3.8,9.7,0.7
2010/1/20,5.7,12.5,-0.4
2010/1/21,4.7,8.5,2.1
2010/1/22,3.2,6.2,0.8
2010/1/23,2.4,4.2,0.9
2010/1/24,3.9,8.2,0.7
2010/1/25,3.6,5.8,0.5
2010/1/26,3.4,7.5,0.3
2010/1/27,5.3,11.1,-0.8
2010/1/28,7.0,10.3,4.9
2010/1/29,5.3,7.9,3.4
2010/1/30,4.6,7.4,2.3
2010/1/31,5.1,9.9,0.9
2010/2/1,3.1,7.3,0.2
2010/2/2,3.5,7.4,0.1
2010/2/3,1.6,4.6,-0.3
2010/2/4,0.8,3.2,-0.7
2010/2/5,1.6,4.5,-0.2
2010/2/6,1.8,3.6,-0.4
2010/2/7,3.6,6.8,-0.3
2010/2/8,3.6,7.2,-0.6
2010/2/9,7.9,12.2,4.8
2010/2/10,5.9,7.6,3.8
2010/2/11,3.1,4.8,1.0
2010/2/12,2.5,5.2,1.0
2010/2/13,2.3,5.8,0.0
2010/2/14,4.2,9.1,-0.8
2010/2/15,4.6,6.5,2.7
2010/2/16,2.2,5.7,0.2
2010/2/17,0.4,2.5,-1.2
2010/2/18,0.7,2.6,-1.1
2010/2/19,0.7,2.4,0.2
2010/2/20,2.2,5.0,0.0
2010/2/21,3.1,8.3,-0.5
2010/2/22,6.7,14.6,-0.7
2010/2/23,8.6,17.5,2.7
2010/2/24,11.1,21.3,2.9
2010/2/25,14.2,19.4,6.3
2010/2/26,14.1,17.1,10.7
2010/2/27,9.5,11.8,7.5
2010/2/28,6.9,10.0,4.7
2010/3/1,7.4,12.2,3.0
2010/3/2,7.0,8.1,5.8
2010/3/3,7.5,11.3,5.1
2010/3/4,9.4,16.0,4.0
2010/3/5,11.0,13.0,9.0
2010/3/6,8.7,10.2,7.7
2010/3/7,5.0,8.1,3.6
2010/3/8,5.0,8.1,3.3
2010/3/9,1.7,4.0,0.4
2010/3/10,2.9,6.1,0.2
2010/3/11,4.1,8.9,1.0
2010/3/12,8.2,14.9,0.2
2010/3/13,8.8,12.5,3.6
2010/3/14,6.3,12.6,1.9
2010/3/15,11.9,17.4,4.6
2010/3/16,9.1,15.2,4.0
2010/3/17,4.9,8.1,2.9
2010/3/18,6.0,11.0,2.7
2010/3/19,7.6,11.5,4.8
2010/3/20,16.1,24.0,4.9
2010/3/21,8.0,20.5,3.2
2010/3/22,6.3,11.6,0.9
2010/3/23,8.2,10.1,6.0
2010/3/24,7.6,8.6,6.7
2010/3/25,5.9,7.0,3.5
2010/3/26,3.1,5.9,0.9
2010/3/27,4.4,8.9,-0.9
2010/3/28,6.6,10.7,4.1
2010/3/29,3.2,7.1,-0.3
2010/3/30,3.0,8.4,-1.7
2010/3/31,7.4,12.4,0.1
2010/4/1,14.5,19.8,8.8
2010/4/2,9.1,17.7,3.8
2010/4/3,6.0,11.6,1.1
2010/4/4,9.3,18.2,-0.6
2010/4/5,12.8,19.6,7.8
2010/4/6,14.1,20.9,7.6
2010/4/7,8.4,11.9,5.2
2010/4/8,7.9,12.8,3.1
2010/4/9,12.4,18.9,3.4
2010/4/10,18.8,24.6,13.3
2010/4/11,13.5,17.9,11.1
2010/4/12,12.4,15.2,9.1
2010/4/13,12.9,19.8,7.9
2010/4/14,7.8,10.2,6.5
2010/4/15,6.7,11.4,3.6
2010/4/16,7.1,11.0,4.8
2010/4/17,8.7,12.7,4.8
2010/4/18,9.6,17.1,2.8
2010/4/19,16.4,23.9,8.9
2010/4/20,15.6,18.0,13.2
2010/4/21,12.4,15.1,10.1
2010/4/22,8.9,10.4,7.3
2010/4/23,8.9,10.5,5.3
2010/4/24,9.3,14.5,4.9
2010/4/25,9.9,16.9,3.0
2010/4/26,12.6,19.0,4.4
2010/4/27,16.1,17.7,13.1
2010/4/28,13.1,17.7,10.3
2010/4/29,12.5,16.4,8.6
2010/4/30,11.3,17.3,7.5
2010/5/1,12.9,19.4,7.7
