ダウンロードした時刻：2017/07/24 15:37:27

,宮古,宮古,宮古
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1992/1/1,1.4,5.9,-2.1
1992/1/2,0.8,6.2,-4.0
1992/1/3,1.0,8.0,-3.5
1992/1/4,1.2,5.1,-1.8
1992/1/5,3.2,9.1,-2.3
1992/1/6,0.8,4.7,-3.8
1992/1/7,1.9,3.5,0.1
1992/1/8,5.3,9.6,0.1
1992/1/9,1.8,4.9,-0.7
1992/1/10,1.3,4.8,-1.4
1992/1/11,3.0,8.5,-1.0
1992/1/12,3.5,9.4,-1.6
1992/1/13,4.2,8.7,0.0
1992/1/14,0.1,3.6,-2.6
1992/1/15,-1.0,4.0,-6.5
1992/1/16,0.7,7.6,-4.6
1992/1/17,3.5,10.7,-1.6
1992/1/18,2.5,6.4,-0.5
1992/1/19,2.2,6.8,-1.7
1992/1/20,1.1,7.4,-3.6
1992/1/21,3.1,7.7,-0.3
1992/1/22,3.6,12.0,-1.9
1992/1/23,0.6,4.2,-3.0
1992/1/24,-2.5,0.2,-4.9
1992/1/25,-0.1,6.9,-6.9
1992/1/26,1.9,6.9,-2.6
1992/1/27,2.1,10.6,-4.5
1992/1/28,1.2,5.2,-1.8
1992/1/29,0.1,5.2,-3.6
1992/1/30,-0.7,4.7,-5.0
1992/1/31,-0.9,3.3,-5.6
1992/2/1,-0.6,1.0,-2.9
1992/2/2,-1.1,3.2,-4.1
1992/2/3,1.9,5.6,-3.0
1992/2/4,1.6,4.2,-1.5
1992/2/5,0.2,4.9,-3.0
1992/2/6,0.0,4.8,-4.0
1992/2/7,2.7,8.8,-2.3
1992/2/8,0.1,4.1,-2.5
1992/2/9,-0.4,4.9,-3.5
1992/2/10,1.9,8.8,-5.1
1992/2/11,-0.3,3.1,-2.5
1992/2/12,2.3,8.7,-5.3
1992/2/13,2.4,8.4,-2.3
1992/2/14,1.4,8.1,-1.9
1992/2/15,3.1,10.5,-3.2
1992/2/16,2.9,11.5,-3.1
1992/2/17,0.3,5.2,-2.8
1992/2/18,2.4,8.5,-1.8
1992/2/19,-0.2,2.2,-3.0
1992/2/20,-1.6,2.5,-5.6
1992/2/21,-2.1,4.4,-8.1
1992/2/22,-1.0,3.1,-4.8
1992/2/23,1.3,6.3,-1.9
1992/2/24,2.8,10.5,-3.3
1992/2/25,2.9,6.7,-0.9
1992/2/26,1.3,7.3,-3.0
1992/2/27,2.3,9.0,-4.2
1992/2/28,4.2,9.6,0.9
1992/2/29,9.4,15.7,0.2
1992/3/1,6.6,9.8,1.9
1992/3/2,1.4,6.1,-2.5
1992/3/3,0.2,5.1,-4.7
1992/3/4,1.9,8.2,-2.8
1992/3/5,0.5,5.4,-3.2
1992/3/6,-0.9,1.1,-3.4
1992/3/7,-0.3,4.5,-4.9
1992/3/8,1.1,6.5,-5.2
1992/3/9,4.1,11.3,-2.2
1992/3/10,3.5,7.8,0.2
1992/3/11,3.8,8.9,-0.2
1992/3/12,2.0,7.2,-3.0
1992/3/13,6.2,12.9,-1.1
1992/3/14,5.7,13.2,0.6
1992/3/15,6.5,13.2,2.3
1992/3/16,5.6,10.9,-0.7
1992/3/17,0.8,5.5,-1.8
1992/3/18,0.8,3.5,-0.3
1992/3/19,1.0,2.7,-0.5
1992/3/20,3.4,7.6,-0.7
1992/3/21,-0.6,1.2,-2.4
1992/3/22,0.5,5.0,-4.9
1992/3/23,2.4,7.9,-3.0
1992/3/24,2.1,3.5,0.4
1992/3/25,5.7,10.8,2.1
1992/3/26,5.4,11.9,0.6
1992/3/27,5.5,13.1,-0.7
1992/3/28,7.9,16.2,0.5
1992/3/29,8.6,14.7,1.7
1992/3/30,7.2,8.6,5.6
1992/3/31,7.4,11.6,3.9
1992/4/1,9.8,15.5,3.2
1992/4/2,8.9,10.9,5.9
1992/4/3,11.1,17.0,5.1
1992/4/4,11.5,18.8,4.8
1992/4/5,9.1,11.3,6.4
1992/4/6,6.5,9.5,3.7
1992/4/7,1.1,3.7,0.1
1992/4/8,6.4,13.3,-1.5
1992/4/9,12.1,18.4,7.0
1992/4/10,6.0,13.0,0.5
1992/4/11,1.1,2.6,0.2
1992/4/12,4.2,10.4,1.1
1992/4/13,2.7,5.2,0.6
1992/4/14,3.3,7.3,1.4
1992/4/15,4.2,9.2,1.7
1992/4/16,5.8,9.3,3.3
1992/4/17,8.7,13.2,3.1
1992/4/18,11.7,19.5,3.2
1992/4/19,11.7,16.8,6.6
1992/4/20,8.6,17.0,3.4
1992/4/21,10.3,18.3,3.5
1992/4/22,13.2,21.2,6.2
1992/4/23,11.2,16.4,6.1
1992/4/24,14.2,23.7,3.4
1992/4/25,12.1,15.7,8.0
1992/4/26,13.3,20.1,6.2
1992/4/27,10.6,17.8,6.2
1992/4/28,10.8,18.8,5.3
1992/4/29,13.3,17.4,6.4
1992/4/30,8.3,13.6,3.5
1992/5/1,8.1,13.7,1.7
