ダウンロードした時刻：2017/07/24 15:38:35

,相川,相川,相川
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1995/1/1,1.6,4.2,-0.4
1995/1/2,3.6,6.0,0.0
1995/1/3,7.1,10.9,2.1
1995/1/4,8.7,10.0,7.3
1995/1/5,5.0,9.0,1.1
1995/1/6,2.0,3.2,0.2
1995/1/7,6.1,8.1,2.0
1995/1/8,5.7,9.3,2.2
1995/1/9,9.6,14.8,4.6
1995/1/10,2.7,6.9,0.2
1995/1/11,0.8,2.4,-0.4
1995/1/12,1.6,3.5,0.0
1995/1/13,0.8,3.5,-1.2
1995/1/14,-0.6,1.0,-2.3
1995/1/15,0.6,2.2,-1.3
1995/1/16,0.4,1.8,-1.4
1995/1/17,1.0,2.7,-1.1
1995/1/18,3.6,6.6,0.1
1995/1/19,0.7,2.8,-1.5
1995/1/20,3.2,6.2,-0.2
1995/1/21,3.6,6.7,-0.8
1995/1/22,6.6,8.7,4.9
1995/1/23,6.7,8.7,3.6
1995/1/24,3.2,5.2,1.6
1995/1/25,2.8,4.2,0.4
1995/1/26,2.0,4.5,0.3
1995/1/27,0.3,2.7,-1.0
1995/1/28,1.2,4.0,-3.1
1995/1/29,1.1,3.9,-0.1
1995/1/30,-0.7,2.6,-2.8
1995/1/31,1.0,3.1,-2.3
1995/2/1,2.7,4.1,0.2
1995/2/2,2.4,4.6,0.6
1995/2/3,1.2,4.7,-1.4
1995/2/4,3.0,6.1,0.2
1995/2/5,3.4,5.5,1.0
1995/2/6,2.3,4.1,-0.6
1995/2/7,4.3,6.3,1.3
1995/2/8,6.1,9.9,1.1
1995/2/9,3.4,7.5,0.6
1995/2/10,1.2,2.6,-0.8
1995/2/11,3.5,7.7,1.1
1995/2/12,6.4,10.3,1.8
1995/2/13,4.8,6.8,2.3
1995/2/14,2.9,6.1,0.0
1995/2/15,3.5,6.1,2.2
1995/2/16,3.0,6.5,0.2
1995/2/17,1.8,3.6,-0.7
1995/2/18,3.1,4.5,1.4
1995/2/19,4.1,7.9,2.8
1995/2/20,2.7,4.8,0.4
1995/2/21,3.1,5.5,0.5
1995/2/22,3.5,5.6,1.8
1995/2/23,5.1,8.2,1.4
1995/2/24,3.7,6.7,0.3
1995/2/25,2.7,6.5,-0.7
1995/2/26,5.7,9.0,2.4
1995/2/27,4.8,7.0,0.0
1995/2/28,3.6,7.3,-1.5
1995/3/1,5.2,6.6,2.9
1995/3/2,2.0,4.2,0.0
1995/3/3,2.5,6.7,-1.0
1995/3/4,2.8,6.3,-0.3
1995/3/5,2.7,5.7,0.3
1995/3/6,3.8,6.9,0.2
1995/3/7,5.8,9.6,0.7
1995/3/8,7.9,9.9,6.2
1995/3/9,6.4,9.7,3.1
1995/3/10,6.6,10.2,3.3
1995/3/11,6.1,8.5,3.8
1995/3/12,6.6,11.3,3.3
1995/3/13,6.4,9.7,3.4
1995/3/14,6.1,10.2,3.5
1995/3/15,6.4,11.7,2.8
1995/3/16,10.0,13.0,3.5
1995/3/17,9.8,14.7,3.3
1995/3/18,2.3,4.3,0.2
1995/3/19,4.4,8.2,0.9
1995/3/20,7.8,10.7,1.9
1995/3/21,11.3,14.8,7.6
1995/3/22,5.4,11.3,1.7
1995/3/23,5.1,9.5,0.1
1995/3/24,5.4,7.0,3.5
1995/3/25,2.8,4.6,0.6
1995/3/26,1.8,5.8,-0.5
1995/3/27,5.9,10.2,1.0
1995/3/28,5.5,10.5,1.3
1995/3/29,8.5,13.0,2.3
1995/3/30,11.2,14.5,9.4
1995/3/31,8.8,10.7,5.9
1995/4/1,6.9,9.3,3.4
1995/4/2,5.3,8.7,1.8
1995/4/3,6.1,8.5,2.3
1995/4/4,9.7,13.0,7.2
1995/4/5,10.9,15.9,6.0
1995/4/6,14.5,19.2,8.4
1995/4/7,10.9,13.5,7.9
1995/4/8,12.5,19.7,3.1
1995/4/9,13.1,17.0,6.8
1995/4/10,7.2,10.4,3.6
1995/4/11,5.8,9.4,1.6
1995/4/12,7.3,11.4,5.6
1995/4/13,9.7,13.5,6.8
1995/4/14,11.6,16.9,7.4
1995/4/15,10.4,14.3,7.6
1995/4/16,11.3,18.0,6.6
1995/4/17,9.9,12.1,5.9
1995/4/18,13.4,22.1,5.1
1995/4/19,10.4,15.1,4.9
1995/4/20,10.1,13.7,6.3
1995/4/21,12.7,17.0,6.5
1995/4/22,15.7,20.9,10.9
1995/4/23,13.7,21.5,8.4
1995/4/24,12.1,15.4,9.7
1995/4/25,14.7,19.1,11.9
1995/4/26,12.1,14.3,9.9
1995/4/27,12.2,15.7,10.1
1995/4/28,15.9,22.4,10.6
1995/4/29,19.0,24.8,11.7
1995/4/30,15.4,19.1,13.1
1995/5/1,17.3,22.1,12.4
