ダウンロードした時刻：2017/07/24 15:41:37

,津,津,津
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1994/1/1,4.7,7.2,2.9
1994/1/2,4.6,9.2,0.0
1994/1/3,6.1,10.2,1.4
1994/1/4,9.5,13.1,6.2
1994/1/5,7.1,10.4,2.6
1994/1/6,7.9,14.0,2.3
1994/1/7,6.6,10.1,2.5
1994/1/8,4.3,8.1,1.4
1994/1/9,6.7,13.6,0.1
1994/1/10,6.9,11.4,2.4
1994/1/11,8.6,14.3,2.7
1994/1/12,8.4,12.2,6.0
1994/1/13,6.9,9.4,5.2
1994/1/14,6.4,11.0,3.7
1994/1/15,4.4,8.0,2.4
1994/1/16,3.7,7.4,-0.4
1994/1/17,5.4,14.1,1.0
1994/1/18,9.9,13.3,7.0
1994/1/19,4.3,7.5,1.8
1994/1/20,3.7,7.4,0.8
1994/1/21,4.6,8.8,2.6
1994/1/22,3.9,7.9,1.1
1994/1/23,3.0,8.4,-1.0
1994/1/24,2.4,6.0,-0.9
1994/1/25,3.2,7.6,-1.8
1994/1/26,5.1,9.7,-0.3
1994/1/27,7.3,11.1,3.6
1994/1/28,5.1,8.5,2.1
1994/1/29,3.8,6.5,0.5
1994/1/30,0.6,2.9,-1.2
1994/1/31,2.7,6.2,-0.8
1994/2/1,4.7,8.9,1.8
1994/2/2,3.4,6.3,1.4
1994/2/3,3.1,6.0,1.0
1994/2/4,4.5,8.0,1.8
1994/2/5,6.2,12.2,1.5
1994/2/6,7.7,11.9,3.5
1994/2/7,8.5,12.9,5.0
1994/2/8,7.2,10.0,4.4
1994/2/9,7.8,11.5,3.8
1994/2/10,2.6,4.8,0.7
1994/2/11,3.2,6.1,0.6
1994/2/12,1.4,4.4,-0.6
1994/2/13,1.8,4.4,-1.0
1994/2/14,4.4,8.5,0.9
1994/2/15,5.7,9.0,2.3
1994/2/16,6.5,10.2,3.5
1994/2/17,5.7,9.1,2.9
1994/2/18,7.8,14.0,3.0
1994/2/19,7.1,16.8,1.1
1994/2/20,7.1,10.6,2.6
1994/2/21,8.9,12.9,3.8
1994/2/22,5.1,8.2,2.6
1994/2/23,5.7,9.1,2.9
1994/2/24,2.6,5.0,1.4
1994/2/25,5.7,10.3,2.0
1994/2/26,5.6,9.1,3.5
1994/2/27,5.5,9.8,2.6
1994/2/28,6.5,11.3,2.9
1994/3/1,5.6,12.1,1.1
1994/3/2,5.5,8.9,3.0
1994/3/3,6.2,11.0,1.0
1994/3/4,6.8,11.4,3.9
1994/3/5,5.1,9.1,1.5
1994/3/6,5.6,9.6,2.4
1994/3/7,6.1,10.0,0.3
1994/3/8,9.0,10.2,7.6
1994/3/9,12.0,16.3,9.0
1994/3/10,7.3,9.9,3.2
1994/3/11,6.9,12.1,1.7
1994/3/12,5.6,8.6,4.0
1994/3/13,6.4,10.6,3.3
1994/3/14,5.7,11.0,1.8
1994/3/15,5.0,9.4,2.2
1994/3/16,5.9,10.1,0.6
1994/3/17,8.0,11.9,5.3
1994/3/18,7.3,11.4,3.4
1994/3/19,9.4,12.6,5.8
1994/3/20,8.6,13.4,6.0
1994/3/21,7.2,11.0,4.6
1994/3/22,7.2,10.6,2.5
1994/3/23,9.5,10.8,8.2
1994/3/24,9.2,12.5,4.8
1994/3/25,6.8,11.0,3.7
1994/3/26,5.0,9.8,1.3
1994/3/27,6.3,11.7,2.7
1994/3/28,7.9,12.9,1.1
1994/3/29,10.3,13.7,5.6
1994/3/30,9.2,17.0,3.9
1994/3/31,12.8,20.2,4.0
1994/4/1,11.5,16.3,5.9
1994/4/2,15.3,20.6,11.1
1994/4/3,12.8,16.7,9.7
1994/4/4,12.3,17.4,6.0
1994/4/5,16.8,25.0,10.6
1994/4/6,16.6,20.8,12.9
1994/4/7,14.6,15.9,13.8
1994/4/8,11.8,15.7,8.3
1994/4/9,8.0,11.0,6.1
1994/4/10,,,
1994/4/11,13.0,17.8,8.8
1994/4/12,15.0,19.1,11.0
1994/4/13,13.9,17.1,9.6
1994/4/14,13.3,19.1,6.0
1994/4/15,13.9,18.7,8.9
1994/4/16,14.9,20.5,9.0
1994/4/17,16.5,23.3,12.0
1994/4/18,14.5,16.7,11.5
1994/4/19,15.7,19.8,11.6
1994/4/20,16.0,19.7,12.2
1994/4/21,17.0,20.2,14.6
1994/4/22,17.2,20.6,14.3
1994/4/23,14.7,16.2,13.4
1994/4/24,17.2,23.1,13.2
1994/4/25,18.4,21.9,13.5
1994/4/26,19.5,26.9,13.6
1994/4/27,16.8,20.2,12.1
1994/4/28,17.2,18.8,15.7
1994/4/29,17.8,25.5,11.9
1994/4/30,17.8,22.0,13.8
1994/5/1,17.1,19.6,14.4
