ダウンロードした時刻：2017/07/24 15:45:15

,奈良,奈良,奈良
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1983/1/1,3.5,9.0,-0.2
1983/1/2,3.6,9.3,-1.8
1983/1/3,4.2,9.3,1.4
1983/1/4,4.0,10.6,-1.1
1983/1/5,4.9,7.6,0.6
1983/1/6,7.7,12.1,4.3
1983/1/7,6.1,8.1,2.7
1983/1/8,7.9,12.4,3.6
1983/1/9,4.0,7.6,1.9
1983/1/10,1.9,4.8,-0.4
1983/1/11,2.2,6.7,-0.8
1983/1/12,5.0,9.7,1.6
1983/1/13,4.7,9.3,1.6
1983/1/14,3.7,7.8,0.5
1983/1/15,3.4,8.4,-0.1
1983/1/16,3.7,10.4,-2.2
1983/1/17,4.3,9.5,-1.2
1983/1/18,5.4,6.3,4.0
1983/1/19,4.2,7.3,1.7
1983/1/20,1.5,4.5,-1.0
1983/1/21,1.8,5.3,-1.1
1983/1/22,-0.3,4.2,-2.7
1983/1/23,0.8,5.5,-5.0
1983/1/24,3.7,8.6,-0.7
1983/1/25,2.9,10.1,-2.7
1983/1/26,4.6,11.4,-2.1
1983/1/27,4.5,11.3,-1.2
1983/1/28,5.6,12.7,-0.2
1983/1/29,7.0,13.7,0.0
1983/1/30,6.3,14.7,1.3
1983/1/31,3.0,8.6,-2.3
1983/2/1,5.4,13.7,-4.1
1983/2/2,7.5,8.8,5.9
1983/2/3,4.5,8.6,0.5
1983/2/4,3.1,8.3,-0.8
1983/2/5,3.3,10.2,-3.2
1983/2/6,6.8,12.0,1.8
1983/2/7,6.6,10.0,3.3
1983/2/8,4.6,7.8,2.3
1983/2/9,4.4,7.8,0.9
1983/2/10,2.6,6.3,-1.4
1983/2/11,2.0,6.9,-2.7
1983/2/12,2.4,6.3,-0.9
1983/2/13,0.1,4.2,-3.2
1983/2/14,0.1,6.5,-4.4
1983/2/15,4.6,13.3,-2.8
1983/2/16,4.8,11.6,-1.6
1983/2/17,6.5,9.5,4.0
1983/2/18,4.0,8.0,-0.8
1983/2/19,1.8,4.8,-2.0
1983/2/20,2.2,6.4,-0.7
1983/2/21,0.4,6.2,-2.6
1983/2/22,2.5,9.1,-2.8
1983/2/23,4.5,10.5,-3.0
1983/2/24,3.8,7.2,2.0
1983/2/25,4.0,9.9,-0.3
1983/2/26,2.5,7.6,-1.7
1983/2/27,3.3,9.8,-1.2
1983/2/28,4.5,12.2,-2.5
1983/3/1,6.1,14.5,-2.3
1983/3/2,10.5,15.2,6.7
1983/3/3,8.9,13.8,5.2
1983/3/4,4.8,7.7,2.0
1983/3/5,2.8,6.7,-0.8
1983/3/6,2.6,9.4,-2.1
1983/3/7,1.5,6.6,-2.4
1983/3/8,1.0,6.9,-2.3
1983/3/9,4.0,11.6,-3.4
1983/3/10,5.8,8.7,3.0
1983/3/11,7.4,14.0,1.7
1983/3/12,8.1,15.7,-0.8
1983/3/13,8.4,11.1,5.0
1983/3/14,3.4,7.6,-0.4
1983/3/15,5.0,11.6,-1.7
1983/3/16,7.6,13.0,3.0
1983/3/17,7.2,10.8,4.7
1983/3/18,4.0,6.7,1.8
1983/3/19,6.1,13.3,-0.8
1983/3/20,9.0,17.2,-0.4
1983/3/21,10.3,14.0,8.0
1983/3/22,11.4,20.5,3.9
1983/3/23,11.6,14.3,8.5
1983/3/24,9.9,13.2,4.8
1983/3/25,6.7,12.1,1.8
1983/3/26,7.2,14.6,-0.4
1983/3/27,8.8,13.2,5.3
1983/3/28,9.1,16.5,4.9
1983/3/29,8.2,11.9,4.5
1983/3/30,9.6,12.5,6.8
1983/3/31,11.6,18.2,6.2
1983/4/1,11.7,17.1,9.3
1983/4/2,11.5,16.6,8.2
1983/4/3,11.0,17.1,5.8
1983/4/4,11.1,19.5,4.4
1983/4/5,11.7,20.6,4.2
1983/4/6,13.4,23.7,2.9
1983/4/7,14.0,21.4,7.9
1983/4/8,14.6,21.8,9.4
1983/4/9,14.9,23.1,6.7
1983/4/10,13.6,14.7,12.0
1983/4/11,16.0,19.3,12.4
1983/4/12,14.4,18.0,10.8
1983/4/13,15.6,23.9,7.5
1983/4/14,15.5,20.9,8.6
1983/4/15,17.4,22.8,14.0
1983/4/16,13.6,17.5,11.2
1983/4/17,12.2,14.7,10.3
1983/4/18,16.1,24.7,11.0
1983/4/19,16.3,17.7,13.0
1983/4/20,14.4,18.4,7.2
1983/4/21,14.0,24.5,4.5
1983/4/22,15.9,19.9,13.7
1983/4/23,15.7,22.7,10.8
1983/4/24,16.8,26.3,9.0
1983/4/25,18.3,28.9,8.9
1983/4/26,18.9,27.9,10.1
1983/4/27,19.7,27.1,14.4
1983/4/28,21.3,28.5,15.5
1983/4/29,21.1,29.9,15.3
1983/4/30,14.1,20.6,7.8
1983/5/1,12.5,20.2,6.7
