ダウンロードした時刻：2017/07/24 15:47:33

,鹿児島,鹿児島,鹿児島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1987/1/1,12.0,16.8,6.3
1987/1/2,16.0,19.6,12.4
1987/1/3,13.6,17.3,8.8
1987/1/4,11.0,17.4,4.9
1987/1/5,9.9,13.2,6.7
1987/1/6,8.3,14.3,3.8
1987/1/7,8.2,13.9,1.3
1987/1/8,9.9,13.7,4.4
1987/1/9,10.0,16.2,3.8
1987/1/10,8.7,13.8,5.1
1987/1/11,7.2,12.4,1.4
1987/1/12,7.5,11.3,3.1
1987/1/13,1.5,4.1,0.5
1987/1/14,3.1,7.4,0.2
1987/1/15,6.3,14.3,0.1
1987/1/16,10.1,15.9,1.7
1987/1/17,10.4,14.5,7.5
1987/1/18,7.0,10.2,2.8
1987/1/19,7.1,10.2,3.2
1987/1/20,5.1,12.0,-0.3
1987/1/21,5.6,11.9,0.0
1987/1/22,10.5,16.7,2.8
1987/1/23,13.9,18.3,10.9
1987/1/24,7.3,11.9,4.3
1987/1/25,3.8,6.4,0.2
1987/1/26,4.6,10.1,-1.4
1987/1/27,7.0,11.5,3.9
1987/1/28,7.0,13.5,2.0
1987/1/29,9.1,15.7,1.4
1987/1/30,9.6,14.2,5.3
1987/1/31,6.9,12.3,2.8
1987/2/1,5.2,11.9,-1.0
1987/2/2,5.5,9.7,1.8
1987/2/3,3.4,4.8,0.8
1987/2/4,5.8,10.2,2.4
1987/2/5,6.3,12.1,0.9
1987/2/6,8.1,14.1,1.5
1987/2/7,11.2,17.0,7.2
1987/2/8,9.6,16.9,4.0
1987/2/9,9.0,18.6,1.4
1987/2/10,11.6,18.9,3.1
1987/2/11,16.2,20.3,9.7
1987/2/12,17.4,21.5,11.9
1987/2/13,12.1,17.6,8.3
1987/2/14,12.0,16.9,7.6
1987/2/15,9.5,11.3,6.1
1987/2/16,9.5,15.7,0.7
1987/2/17,15.7,20.3,10.7
1987/2/18,13.0,15.7,8.9
1987/2/19,10.2,13.1,6.1
1987/2/20,10.2,12.9,7.9
1987/2/21,9.3,11.3,7.6
1987/2/22,9.7,12.4,7.7
1987/2/23,9.8,15.9,4.0
1987/2/24,11.4,17.2,6.7
1987/2/25,5.9,9.5,3.6
1987/2/26,5.6,8.5,2.5
1987/2/27,2.7,5.8,-0.1
1987/2/28,5.6,10.6,-0.1
1987/3/1,7.1,11.5,3.3
1987/3/2,5.0,9.8,1.6
1987/3/3,6.5,13.7,-0.6
1987/3/4,8.6,12.9,2.0
1987/3/5,12.3,18.9,5.3
1987/3/6,13.8,20.7,6.3
1987/3/7,13.0,19.6,7.1
1987/3/8,10.6,15.7,4.5
1987/3/9,12.7,16.4,10.3
1987/3/10,10.0,11.1,8.3
1987/3/11,11.9,17.0,7.6
1987/3/12,11.5,14.6,5.7
1987/3/13,16.1,18.6,13.4
1987/3/14,14.8,17.5,11.3
1987/3/15,11.7,16.9,7.3
1987/3/16,11.3,15.0,4.6
1987/3/17,12.5,15.9,11.1
1987/3/18,13.7,18.5,9.4
1987/3/19,14.4,20.1,6.6
1987/3/20,16.8,21.2,14.1
1987/3/21,17.0,20.1,14.1
1987/3/22,17.4,19.4,16.4
1987/3/23,17.7,19.3,16.1
1987/3/24,16.0,18.9,12.2
1987/3/25,8.6,12.4,5.5
1987/3/26,8.0,14.4,3.9
1987/3/27,8.3,14.9,2.0
1987/3/28,10.6,14.6,7.3
1987/3/29,13.2,14.8,9.5
1987/3/30,14.6,16.8,12.3
1987/3/31,14.1,18.5,7.9
1987/4/1,10.0,12.0,6.6
1987/4/2,12.9,18.0,9.5
1987/4/3,13.4,19.2,9.8
1987/4/4,13.9,22.3,6.1
1987/4/5,16.4,23.5,7.5
1987/4/6,16.7,18.4,15.8
1987/4/7,18.8,21.9,16.7
1987/4/8,17.5,20.1,15.4
1987/4/9,17.1,18.2,16.6
1987/4/10,18.8,22.1,16.0
1987/4/11,15.5,17.4,12.8
1987/4/12,12.8,17.4,10.4
1987/4/13,12.9,18.6,6.5
1987/4/14,13.1,16.0,11.4
1987/4/15,13.3,14.6,11.2
1987/4/16,15.3,17.8,12.7
1987/4/17,16.9,22.1,9.9
1987/4/18,19.0,24.5,13.6
1987/4/19,18.4,24.1,12.3
1987/4/20,19.9,25.3,14.7
1987/4/21,18.7,22.2,14.5
1987/4/22,16.7,21.6,11.0
1987/4/23,17.0,24.7,10.4
1987/4/24,18.1,25.4,11.1
1987/4/25,19.3,23.7,16.3
1987/4/26,17.8,20.3,13.7
1987/4/27,16.8,22.8,11.8
1987/4/28,17.0,22.9,11.0
1987/4/29,19.3,26.0,13.0
1987/4/30,18.5,23.4,15.5
1987/5/1,19.7,22.5,17.0
