ダウンロードした時刻：2017/07/24 15:39:43

,福井,福井,福井
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2007/1/1,3.2,11.3,-2.4
2007/1/2,4.8,7.7,2.7
2007/1/3,4.9,11.2,0.5
2007/1/4,3.8,9.6,-0.4
2007/1/5,4.4,11.3,-1.0
2007/1/6,7.1,11.1,3.3
2007/1/7,4.9,7.2,1.0
2007/1/8,4.6,6.7,2.5
2007/1/9,3.1,7.3,0.6
2007/1/10,3.5,6.0,2.2
2007/1/11,4.1,7.6,1.9
2007/1/12,3.9,5.8,2.0
2007/1/13,3.6,6.0,1.5
2007/1/14,2.9,6.8,0.7
2007/1/15,3.9,9.9,-0.4
2007/1/16,6.1,12.3,0.4
2007/1/17,7.0,8.7,5.7
2007/1/18,5.7,8.0,3.8
2007/1/19,3.8,7.1,-0.5
2007/1/20,2.7,8.9,-1.7
2007/1/21,4.4,9.0,-0.4
2007/1/22,3.8,6.0,0.9
2007/1/23,3.9,8.7,0.8
2007/1/24,2.8,7.7,-0.4
2007/1/25,4.4,8.5,1.9
2007/1/26,6.0,13.0,-0.3
2007/1/27,4.7,7.1,2.5
2007/1/28,4.1,9.6,1.9
2007/1/29,4.3,9.6,-0.4
2007/1/30,6.1,14.7,0.0
2007/1/31,6.9,9.4,5.2
2007/2/1,2.1,5.7,0.2
2007/2/2,1.1,2.5,-0.1
2007/2/3,4.0,8.3,0.1
2007/2/4,4.5,7.6,-0.5
2007/2/5,5.5,16.0,-2.8
2007/2/6,8.0,14.6,3.3
2007/2/7,5.4,11.8,1.1
2007/2/8,5.5,11.3,-1.0
2007/2/9,8.9,11.9,6.0
2007/2/10,8.6,10.9,5.7
2007/2/11,4.4,6.6,2.5
2007/2/12,4.5,7.8,1.7
2007/2/13,6.2,12.9,0.0
2007/2/14,12.2,16.7,6.2
2007/2/15,4.7,7.4,1.9
2007/2/16,4.0,8.2,0.3
2007/2/17,4.1,8.7,-1.4
2007/2/18,7.6,10.6,5.1
2007/2/19,5.9,10.4,1.7
2007/2/20,4.9,11.9,-0.7
2007/2/21,6.0,13.1,-0.3
2007/2/22,9.4,17.1,0.3
2007/2/23,8.9,13.3,4.4
2007/2/24,4.0,7.9,1.2
2007/2/25,3.5,9.5,-2.3
2007/2/26,6.6,13.9,0.1
2007/2/27,9.2,17.0,2.9
2007/2/28,6.5,9.0,3.9
2007/3/1,5.4,10.2,0.2
2007/3/2,5.8,12.5,0.1
2007/3/3,10.4,20.3,3.5
2007/3/4,15.2,20.8,9.1
2007/3/5,15.2,20.4,8.8
2007/3/6,5.2,9.1,0.5
2007/3/7,0.8,3.7,0.0
2007/3/8,1.3,4.0,0.3
2007/3/9,3.5,7.8,0.6
2007/3/10,7.0,14.2,-0.2
2007/3/11,4.7,7.7,1.1
2007/3/12,4.4,6.5,1.6
2007/3/13,3.6,7.4,0.5
2007/3/14,3.6,8.5,-0.4
2007/3/15,3.6,8.0,-0.5
2007/3/16,4.4,9.4,-0.5
2007/3/17,3.7,7.4,0.6
2007/3/18,3.5,8.1,-0.3
2007/3/19,2.8,8.1,-1.4
2007/3/20,3.8,9.0,-0.1
2007/3/21,5.7,13.5,-0.9
2007/3/22,7.2,14.3,1.8
2007/3/23,9.5,16.1,4.3
2007/3/24,11.6,16.4,6.6
2007/3/25,11.5,14.3,6.1
2007/3/26,10.2,16.8,3.7
2007/3/27,10.7,17.7,6.0
2007/3/28,11.9,17.1,8.4
2007/3/29,12.3,16.5,8.8
2007/3/30,10.4,17.9,5.1
2007/3/31,10.7,17.1,3.8
2007/4/1,13.6,17.6,10.9
2007/4/2,11.6,14.6,8.9
2007/4/3,7.1,10.1,2.5
2007/4/4,4.0,7.4,1.2
2007/4/5,5.4,11.5,0.3
2007/4/6,7.7,14.6,0.9
2007/4/7,10.5,17.8,3.8
2007/4/8,11.5,17.8,6.2
2007/4/9,10.6,15.8,6.4
2007/4/10,11.4,19.5,4.0
2007/4/11,9.9,15.3,5.8
2007/4/12,11.1,16.5,3.4
2007/4/13,16.0,22.3,10.4
2007/4/14,11.3,14.0,7.4
2007/4/15,10.6,16.8,4.2
2007/4/16,10.0,12.5,7.9
2007/4/17,10.0,14.7,6.8
2007/4/18,9.0,12.5,5.9
2007/4/19,10.8,16.2,6.0
2007/4/20,15.3,22.0,5.5
2007/4/21,18.6,21.7,15.2
2007/4/22,18.4,23.3,13.2
2007/4/23,13.3,15.8,9.5
2007/4/24,13.2,19.6,7.7
2007/4/25,14.1,17.5,10.1
2007/4/26,12.7,18.9,8.9
2007/4/27,12.1,17.9,4.9
2007/4/28,14.5,19.3,9.8
2007/4/29,14.8,23.6,7.1
2007/4/30,18.7,27.6,8.0
2007/5/1,17.8,20.2,14.7
