ダウンロードした時刻：2019/10/10 15:49:35

,松本,松本,松本
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1988/12/1,2.0,8.8,-4.6
1988/12/2,1.9,8.9,-2.2
1988/12/3,0.6,10.0,-5.8
1988/12/4,4.6,11.9,-3.7
1988/12/5,4.7,10.9,0.0
1988/12/6,1.0,8.0,-2.8
1988/12/7,0.6,8.7,-5.6
1988/12/8,2.1,11.9,-5.1
1988/12/9,9.0,16.2,-0.8
1988/12/10,2.9,6.8,0.1
1988/12/11,4.1,9.0,1.4
1988/12/12,1.8,9.7,-3.9
1988/12/13,-0.1,6.3,-5.5
1988/12/14,3.9,14.7,-6.4
1988/12/15,1.9,5.5,-1.8
1988/12/16,-1.5,1.6,-3.5
1988/12/17,-1.6,3.6,-6.7
1988/12/18,-2.2,7.0,-9.1
1988/12/19,2.4,8.5,-5.1
1988/12/20,4.9,12.9,-2.1
1988/12/21,1.5,7.0,-1.5
1988/12/22,-0.4,5.4,-4.6
1988/12/23,-2.2,4.8,-7.5
1988/12/24,3.2,10.5,-6.2
1988/12/25,0.4,6.5,-4.7
1988/12/26,-2.2,5.1,-7.9
1988/12/27,-1.5,5.1,-8.5
1988/12/28,-2.2,2.7,-7.4
1988/12/29,-3.7,2.4,-9.7
1988/12/30,-2.1,5.2,-7.9
1988/12/31,-0.6,5.9,-7.0
1989/1/1,3.3,8.3,-2.5
1989/1/2,-0.5,8.2,-6.2
1989/1/3,0.7,10.5,-6.8
1989/1/4,-1.3,4.6,-5.9
1989/1/5,-3.0,4.1,-8.6
1989/1/6,-1.3,6.8,-8.2
1989/1/7,5.1,12.2,-2.2
1989/1/8,6.1,9.1,4.5
1989/1/9,5.2,6.0,4.3
1989/1/10,6.3,12.4,2.0
1989/1/11,7.2,11.2,4.9
1989/1/12,4.1,6.4,2.0
1989/1/13,1.0,3.2,-1.8
1989/1/14,-0.3,4.2,-3.1
1989/1/15,-0.9,3.1,-3.5
1989/1/16,-1.5,5.9,-7.1
1989/1/17,-1.1,7.0,-7.1
1989/1/18,0.2,6.7,-6.0
1989/1/19,10.9,14.2,0.4
1989/1/20,11.8,15.3,6.4
1989/1/21,3.5,8.7,-1.9
1989/1/22,0.4,4.4,-2.9
1989/1/23,-0.8,0.2,-1.9
1989/1/24,0.6,5.2,-4.3
1989/1/25,-1.9,4.1,-6.4
1989/1/26,-0.1,6.7,-7.6
1989/1/27,2.8,7.5,-3.1
1989/1/28,-4.4,0.2,-9.2
1989/1/29,-5.4,1.9,-12.0
1989/1/30,-2.8,5.2,-10.1
1989/1/31,5.8,10.7,-3.1
1989/2/1,3.2,6.5,-0.2
1989/2/2,-1.5,3.7,-4.9
1989/2/3,-2.7,4.3,-7.7
1989/2/4,-2.6,3.8,-8.5
1989/2/5,-2.0,6.0,-8.5
1989/2/6,0.4,8.6,-5.3
1989/2/7,1.8,8.1,-2.1
1989/2/8,4.7,11.1,-3.2
1989/2/9,5.4,7.7,2.9
1989/2/10,1.4,5.3,-1.9
1989/2/11,-1.7,5.0,-6.1
1989/2/12,-0.8,6.2,-5.9
1989/2/13,-0.6,5.4,-4.2
1989/2/14,-0.8,6.9,-7.0
1989/2/15,3.8,10.5,-6.7
1989/2/16,9.3,12.2,6.4
1989/2/17,5.3,8.9,3.7
1989/2/18,3.0,4.6,1.8
1989/2/19,2.5,7.4,-1.8
1989/2/20,5.7,10.9,-3.7
1989/2/21,2.5,9.0,0.8
1989/2/22,0.4,6.1,-2.2
1989/2/23,1.2,7.3,-4.7
1989/2/24,1.1,2.7,-0.4
1989/2/25,1.1,2.1,0.1
1989/2/26,2.2,6.9,-2.3
1989/2/27,2.0,9.8,-5.3
1989/2/28,8.5,13.1,3.5
1989/3/1,7.4,13.1,-0.3
1989/3/2,4.4,14.4,-2.8
1989/3/3,7.8,14.5,-1.2
1989/3/4,11.3,17.0,3.0
1989/3/5,1.6,3.0,0.2
1989/3/6,2.3,7.4,-0.4
1989/3/7,1.1,6.1,-0.9
1989/3/8,0.3,5.1,-2.9
1989/3/9,0.2,7.1,-3.7
1989/3/10,1.8,10.2,-4.8
1989/3/11,3.6,12.4,-4.0
1989/3/12,6.0,13.7,-2.7
1989/3/13,7.2,10.6,3.4
1989/3/14,7.2,14.4,2.2
1989/3/15,4.2,10.6,-0.4
1989/3/16,3.4,10.4,0.1
1989/3/17,1.0,6.5,-3.4
1989/3/18,0.4,7.3,-5.6
1989/3/19,1.3,9.0,-5.3
1989/3/20,2.8,9.6,-1.7
1989/3/21,4.5,12.6,-0.1
1989/3/22,4.6,10.6,-0.3
1989/3/23,2.8,10.1,-1.6
1989/3/24,6.0,12.9,-0.1
1989/3/25,4.9,10.8,-0.7
1989/3/26,5.4,13.5,-1.7
1989/3/27,2.9,4.7,0.9
1989/3/28,3.0,6.1,0.5
1989/3/29,3.4,10.6,-1.5
1989/3/30,6.1,14.9,-3.5
1989/3/31,9.1,12.0,5.8
