ダウンロードした時刻：2017/07/24 15:37:45

,山形,山形,山形
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1997/1/1,5.5,15.0,0.5
1997/1/2,2.9,7.3,0.3
1997/1/3,-0.3,1.7,-1.6
1997/1/4,0.1,2.9,-1.2
1997/1/5,0.6,3.9,-3.3
1997/1/6,0.7,1.7,-0.9
1997/1/7,1.2,2.6,0.2
1997/1/8,0.3,2.9,-1.9
1997/1/9,0.1,2.6,-2.4
1997/1/10,0.8,3.3,-2.5
1997/1/11,1.4,4.4,-1.4
1997/1/12,1.8,5.5,-0.2
1997/1/13,1.6,6.7,-1.7
1997/1/14,1.2,7.9,-3.8
1997/1/15,0.8,3.3,-1.1
1997/1/16,2.3,5.7,-0.1
1997/1/17,2.9,8.0,-1.4
1997/1/18,1.4,4.4,-1.1
1997/1/19,-0.3,1.7,-2.3
1997/1/20,0.1,4.3,-3.0
1997/1/21,-2.0,0.1,-5.8
1997/1/22,-4.0,-0.1,-7.8
1997/1/23,0.2,4.0,-5.0
1997/1/24,0.3,2.4,-2.2
1997/1/25,-2.3,-0.7,-3.5
1997/1/26,-0.5,2.8,-2.5
1997/1/27,0.4,3.9,-2.3
1997/1/28,0.1,5.0,-4.4
1997/1/29,0.7,3.4,-2.3
1997/1/30,-1.6,1.8,-3.3
1997/1/31,-0.7,2.7,-3.3
1997/2/1,-1.3,2.4,-5.0
1997/2/2,-1.2,4.2,-5.6
1997/2/3,-1.0,1.9,-3.1
1997/2/4,-0.2,1.9,-2.7
1997/2/5,0.2,4.6,-3.1
1997/2/6,-0.7,3.0,-4.1
1997/2/7,0.4,5.0,-3.1
1997/2/8,-0.1,6.7,-5.6
1997/2/9,1.8,6.3,-2.1
1997/2/10,3.0,7.1,-0.6
1997/2/11,-0.7,1.2,-3.5
1997/2/12,0.7,3.4,-1.9
1997/2/13,-1.0,2.4,-3.4
1997/2/14,-0.6,2.7,-3.0
1997/2/15,1.1,8.7,-4.6
1997/2/16,3.0,7.1,0.2
1997/2/17,0.8,2.8,-1.8
1997/2/18,-0.8,2.2,-3.4
1997/2/19,-1.6,-0.2,-4.0
1997/2/20,2.5,6.3,-1.4
1997/2/21,-1.0,3.4,-5.5
1997/2/22,-3.3,-0.3,-5.3
1997/2/23,-0.1,4.0,-5.2
1997/2/24,2.8,7.8,-0.4
1997/2/25,4.0,10.8,-2.6
1997/2/26,4.1,8.5,-1.5
1997/2/27,1.4,6.9,-3.1
1997/2/28,2.3,9.4,-4.7
1997/3/1,4.1,7.8,-0.5
1997/3/2,1.3,7.3,-2.6
1997/3/3,-0.9,2.7,-3.1
1997/3/4,0.5,8.9,-5.7
1997/3/5,4.6,10.2,0.3
1997/3/6,5.3,14.5,-2.3
1997/3/7,7.3,13.1,2.9
1997/3/8,3.2,7.3,-1.4
1997/3/9,1.6,5.0,-0.5
1997/3/10,3.9,9.3,-2.1
1997/3/11,3.8,10.4,-0.3
1997/3/12,2.5,6.6,-0.5
1997/3/13,5.6,12.8,0.0
1997/3/14,5.9,13.6,-0.9
1997/3/15,5.3,7.1,3.9
1997/3/16,3.0,6.0,1.2
1997/3/17,2.4,6.5,-0.6
1997/3/18,3.2,9.0,-1.0
1997/3/19,3.2,10.7,-2.9
1997/3/20,4.7,11.4,-0.6
1997/3/21,6.5,16.3,-2.8
1997/3/22,4.6,7.0,2.6
1997/3/23,4.5,10.5,1.2
1997/3/24,1.7,4.8,-0.1
1997/3/25,8.2,13.3,1.9
1997/3/26,8.1,13.7,3.6
1997/3/27,5.9,9.3,2.1
1997/3/28,7.3,16.5,-1.2
1997/3/29,9.1,17.5,0.2
1997/3/30,8.1,14.8,2.6
1997/3/31,4.2,9.4,1.8
1997/4/1,6.5,12.9,0.5
1997/4/2,5.0,9.4,0.0
1997/4/3,6.9,9.6,4.8
1997/4/4,9.1,12.6,6.2
1997/4/5,9.2,11.2,7.8
1997/4/6,10.5,15.1,7.6
1997/4/7,9.9,12.9,8.1
1997/4/8,10.5,15.5,6.8
1997/4/9,10.6,18.7,4.1
1997/4/10,9.3,13.5,4.6
1997/4/11,7.8,11.8,2.3
1997/4/12,6.6,11.2,1.7
1997/4/13,12.8,18.3,3.2
1997/4/14,8.2,12.7,4.4
1997/4/15,6.9,13.8,0.7
1997/4/16,5.8,12.0,0.3
1997/4/17,8.1,16.5,-0.8
1997/4/18,10.8,18.3,6.3
1997/4/19,9.4,15.8,4.7
1997/4/20,9.7,17.8,2.8
1997/4/21,13.0,18.8,6.2
1997/4/22,12.8,18.0,10.4
1997/4/23,9.1,13.5,5.2
1997/4/24,7.8,12.5,4.6
1997/4/25,11.3,18.5,3.3
1997/4/26,13.8,21.2,4.5
1997/4/27,15.8,22.8,6.5
1997/4/28,16.1,23.7,8.1
1997/4/29,19.4,25.0,12.7
1997/4/30,17.4,22.7,10.2
1997/5/1,15.1,23.4,7.7
