ダウンロードした時刻：2019/10/10 15:38:30

,酒田,酒田,酒田
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1996/12/1,2.3,6.4,-1.3
1996/12/2,2.7,7.0,0.4
1996/12/3,2.7,5.7,1.1
1996/12/4,4.7,8.0,2.1
1996/12/5,8.3,12.9,4.7
1996/12/6,4.4,8.6,2.8
1996/12/7,1.9,3.7,-0.1
1996/12/8,3.9,7.9,0.9
1996/12/9,4.2,7.0,3.3
1996/12/10,6.2,9.9,4.2
1996/12/11,8.3,11.8,4.9
1996/12/12,7.8,9.8,6.1
1996/12/13,3.9,6.7,0.9
1996/12/14,6.4,10.5,1.2
1996/12/15,3.9,7.4,-0.3
1996/12/16,5.7,11.9,-0.1
1996/12/17,6.5,9.4,3.9
1996/12/18,5.9,9.4,1.5
1996/12/19,0.5,3.2,-2.3
1996/12/20,2.1,5.1,-1.6
1996/12/21,3.5,6.0,1.1
1996/12/22,4.8,9.1,1.3
1996/12/23,3.8,8.0,0.3
1996/12/24,5.9,9.0,2.8
1996/12/25,7.7,11.2,4.5
1996/12/26,2.2,4.5,0.5
1996/12/27,3.5,7.2,0.5
1996/12/28,3.7,7.0,1.1
1996/12/29,4.8,7.3,3.3
1996/12/30,5.1,8.0,0.7
1996/12/31,3.9,8.6,0.5
1997/1/1,8.1,14.4,3.9
1997/1/2,5.8,11.0,1.7
1997/1/3,1.8,4.0,-0.2
1997/1/4,2.5,3.8,0.6
1997/1/5,3.2,4.9,1.7
1997/1/6,3.2,5.0,1.4
1997/1/7,3.4,5.4,0.9
1997/1/8,1.2,4.4,-0.4
1997/1/9,1.9,3.4,-0.3
1997/1/10,2.4,4.5,0.3
1997/1/11,2.1,4.2,0.3
1997/1/12,2.1,3.9,0.2
1997/1/13,2.6,6.2,0.2
1997/1/14,2.9,6.5,0.0
1997/1/15,2.3,3.4,1.1
1997/1/16,4.4,5.8,2.7
1997/1/17,5.0,7.9,1.5
1997/1/18,3.3,6.3,0.7
1997/1/19,1.6,3.2,-0.1
1997/1/20,1.6,3.6,0.2
1997/1/21,-1.9,0.7,-4.3
1997/1/22,-1.8,2.7,-6.4
1997/1/23,3.4,5.0,1.2
1997/1/24,1.3,3.6,-1.0
1997/1/25,-0.6,1.6,-2.8
1997/1/26,1.4,2.9,-0.2
1997/1/27,2.5,4.7,0.6
1997/1/28,2.5,4.9,0.7
1997/1/29,1.8,4.3,0.2
1997/1/30,0.4,2.6,-1.6
1997/1/31,1.3,2.5,-0.6
1997/2/1,0.8,2.6,-1.0
1997/2/2,0.6,2.8,-2.0
1997/2/3,2.1,4.7,-0.4
1997/2/4,3.0,5.5,0.9
1997/2/5,1.9,4.1,0.5
1997/2/6,1.5,4.1,0.0
1997/2/7,1.9,4.0,-1.9
1997/2/8,1.9,6.3,-2.6
1997/2/9,4.7,6.0,3.1
1997/2/10,4.2,6.8,0.0
1997/2/11,2.5,6.8,-1.0
1997/2/12,2.2,4.7,0.5
1997/2/13,0.7,2.5,-1.2
1997/2/14,2.0,4.6,0.2
1997/2/15,2.6,6.1,0.0
1997/2/16,5.1,7.7,2.3
1997/2/17,2.2,5.0,-0.9
1997/2/18,0.4,1.8,-1.7
1997/2/19,0.9,3.8,-2.7
1997/2/20,5.2,9.0,2.2
1997/2/21,0.4,4.8,-3.4
1997/2/22,-0.6,1.2,-2.8
1997/2/23,2.7,4.6,-1.2
1997/2/24,4.9,8.5,1.8
1997/2/25,6.3,12.3,0.1
1997/2/26,4.9,7.2,2.5
1997/2/27,3.0,6.0,-0.7
1997/2/28,5.3,12.4,-2.0
1997/3/1,5.5,10.3,0.8
1997/3/2,1.8,5.4,-0.6
1997/3/3,-0.5,1.3,-2.1
1997/3/4,2.6,6.5,-1.1
1997/3/5,5.1,10.4,0.3
1997/3/6,7.4,14.8,-0.4
1997/3/7,7.8,10.8,4.2
1997/3/8,4.1,9.1,0.1
1997/3/9,2.7,3.8,2.0
1997/3/10,4.6,7.4,2.2
1997/3/11,5.1,9.1,2.8
1997/3/12,3.3,5.7,1.1
1997/3/13,5.3,8.2,2.2
1997/3/14,7.2,12.4,2.7
1997/3/15,6.8,8.8,4.3
1997/3/16,4.0,5.5,2.4
1997/3/17,3.4,6.3,1.2
1997/3/18,3.7,7.5,-0.7
1997/3/19,3.8,9.0,-1.6
1997/3/20,5.6,10.1,1.0
1997/3/21,6.4,12.6,-0.7
1997/3/22,5.6,8.2,4.0
1997/3/23,4.7,7.6,1.7
1997/3/24,2.9,5.9,0.5
1997/3/25,8.1,11.0,5.0
1997/3/26,6.8,10.3,2.7
1997/3/27,5.6,10.0,0.5
1997/3/28,7.0,13.3,-0.1
1997/3/29,11.6,18.0,4.2
1997/3/30,6.9,13.8,1.1
1997/3/31,4.5,7.7,2.1
