ダウンロードした時刻：2017/07/24 15:45:33

,松山,松山,松山
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2008/1/1,4.1,6.9,2.0
2008/1/2,4.3,8.0,0.9
2008/1/3,6.2,10.1,2.0
2008/1/4,6.3,11.6,2.4
2008/1/5,7.0,12.5,2.3
2008/1/6,7.3,13.2,3.1
2008/1/7,8.7,13.3,4.7
2008/1/8,9.4,14.4,4.8
2008/1/9,8.6,14.3,4.8
2008/1/10,8.7,15.0,3.6
2008/1/11,10.2,12.7,6.6
2008/1/12,10.5,12.2,7.1
2008/1/13,7.5,11.4,5.0
2008/1/14,5.3,9.0,2.4
2008/1/15,6.3,11.5,0.2
2008/1/16,7.3,10.9,4.6
2008/1/17,5.6,9.2,2.1
2008/1/18,5.5,9.5,3.1
2008/1/19,5.9,10.4,2.5
2008/1/20,4.6,5.6,3.5
2008/1/21,4.6,6.8,1.2
2008/1/22,3.8,5.0,0.9
2008/1/23,7.2,9.9,4.9
2008/1/24,5.2,8.3,3.1
2008/1/25,4.4,8.1,1.3
2008/1/26,4.8,8.0,2.6
2008/1/27,5.0,10.2,0.4
2008/1/28,3.0,5.6,1.7
2008/1/29,6.6,9.0,3.1
2008/1/30,6.9,10.0,2.7
2008/1/31,5.4,9.0,1.7
2008/2/1,4.8,10.2,0.8
2008/2/2,4.3,7.1,2.8
2008/2/3,5.0,9.0,1.5
2008/2/4,6.6,9.3,4.8
2008/2/5,6.0,9.2,2.5
2008/2/6,5.1,9.2,2.1
2008/2/7,4.7,9.2,0.9
2008/2/8,4.7,9.8,0.6
2008/2/9,4.7,7.1,1.1
2008/2/10,5.7,11.6,1.2
2008/2/11,6.5,10.2,1.4
2008/2/12,6.2,10.2,2.6
2008/2/13,3.5,6.7,1.4
2008/2/14,3.8,7.8,0.0
2008/2/15,3.8,8.6,-0.9
2008/2/16,3.4,7.0,0.1
2008/2/17,2.8,6.9,-1.5
2008/2/18,3.2,9.1,-1.8
2008/2/19,4.4,10.4,-0.5
2008/2/20,6.0,11.3,0.1
2008/2/21,6.5,13.2,0.7
2008/2/22,10.0,15.4,4.5
2008/2/23,8.6,12.4,1.7
2008/2/24,2.6,6.6,-0.2
2008/2/25,4.4,10.5,-1.5
2008/2/26,6.9,8.5,5.0
2008/2/27,5.0,7.9,1.7
2008/2/28,5.5,11.0,0.0
2008/2/29,7.7,12.1,2.4
2008/3/1,9.0,12.5,4.6
2008/3/2,7.5,13.2,2.3
2008/3/3,7.0,10.3,5.2
2008/3/4,4.7,7.0,3.7
2008/3/5,4.6,9.8,-0.2
2008/3/6,6.2,11.6,0.4
2008/3/7,7.8,11.9,4.2
2008/3/8,6.8,12.7,1.2
2008/3/9,9.0,15.1,4.2
2008/3/10,11.1,14.9,6.9
2008/3/11,11.1,17.2,5.1
2008/3/12,12.0,17.9,5.1
2008/3/13,13.2,19.9,7.7
2008/3/14,12.0,15.5,7.7
2008/3/15,9.8,16.3,3.5
2008/3/16,11.7,17.8,5.8
2008/3/17,12.4,18.7,7.1
2008/3/18,13.4,19.9,6.6
2008/3/19,12.2,13.9,10.1
2008/3/20,11.4,16.9,7.9
2008/3/21,11.0,19.2,4.4
2008/3/22,11.9,18.1,5.3
2008/3/23,13.0,16.1,11.4
2008/3/24,11.9,15.3,8.0
2008/3/25,12.0,18.5,6.6
2008/3/26,10.5,13.9,6.5
2008/3/27,9.2,14.9,3.4
2008/3/28,11.1,15.3,7.7
2008/3/29,10.7,15.6,4.2
2008/3/30,9.1,11.8,8.1
2008/3/31,9.9,14.1,5.6
2008/4/1,9.7,14.4,3.8
2008/4/2,10.6,14.4,5.2
2008/4/3,12.5,16.1,8.6
2008/4/4,11.9,17.0,6.6
2008/4/5,12.4,17.9,6.2
2008/4/6,14.8,22.1,8.4
2008/4/7,13.0,16.6,10.2
2008/4/8,14.3,20.6,9.7
2008/4/9,13.5,20.4,9.6
2008/4/10,14.3,16.1,13.0
2008/4/11,14.6,19.0,10.9
2008/4/12,14.5,20.8,9.6
2008/4/13,13.9,18.1,10.8
2008/4/14,16.1,22.6,12.3
2008/4/15,16.4,22.3,9.6
2008/4/16,15.6,18.7,14.0
2008/4/17,15.4,19.1,13.9
2008/4/18,14.6,17.4,11.6
2008/4/19,14.5,18.9,10.8
2008/4/20,16.8,23.9,12.8
2008/4/21,16.7,23.2,11.5
2008/4/22,17.8,23.9,11.9
2008/4/23,17.7,22.8,14.3
2008/4/24,14.0,16.9,10.5
2008/4/25,12.8,19.5,6.4
2008/4/26,15.1,22.4,9.1
2008/4/27,14.8,17.9,11.0
2008/4/28,16.4,21.8,11.3
2008/4/29,18.6,25.1,12.5
2008/4/30,19.9,25.2,14.8
2008/5/1,19.5,23.5,14.8
