ダウンロードした時刻：2017/07/24 15:42:05

,東京,東京,東京
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1997/1/1,11.2,15.9,6.4
1997/1/2,12.2,16.4,7.0
1997/1/3,7.5,12.4,4.3
1997/1/4,6.5,10.6,4.0
1997/1/5,4.6,8.7,1.9
1997/1/6,7.9,14.4,1.9
1997/1/7,7.6,13.3,2.1
1997/1/8,6.8,9.4,4.2
1997/1/9,6.3,10.3,2.6
1997/1/10,6.3,10.7,2.6
1997/1/11,6.8,11.2,3.8
1997/1/12,5.8,9.8,1.7
1997/1/13,5.8,10.0,2.1
1997/1/14,7.6,13.9,2.2
1997/1/15,6.7,10.2,3.3
1997/1/16,4.9,8.3,2.2
1997/1/17,7.8,12.8,2.3
1997/1/18,9.5,15.7,4.6
1997/1/19,7.5,12.2,4.7
1997/1/20,7.9,11.9,2.6
1997/1/21,7.1,14.2,1.5
1997/1/22,1.7,4.9,-2.1
1997/1/23,6.7,10.7,1.3
1997/1/24,6.9,12.0,3.6
1997/1/25,5.3,8.5,3.1
1997/1/26,5.6,11.6,0.0
1997/1/27,6.8,11.0,1.4
1997/1/28,7.5,12.0,3.0
1997/1/29,6.6,10.5,3.6
1997/1/30,4.1,8.0,1.3
1997/1/31,5.0,7.6,0.7
1997/2/1,5.7,9.9,2.1
1997/2/2,5.6,8.6,1.5
1997/2/3,5.4,9.1,2.9
1997/2/4,5.6,8.4,3.0
1997/2/5,6.6,10.1,3.3
1997/2/6,6.5,9.4,3.7
1997/2/7,7.7,11.7,4.7
1997/2/8,7.0,10.2,4.2
1997/2/9,8.6,12.5,4.8
1997/2/10,8.9,12.3,4.9
1997/2/11,7.9,12.6,3.0
1997/2/12,6.5,10.4,2.9
1997/2/13,5.2,9.5,1.1
1997/2/14,6.1,10.8,1.8
1997/2/15,7.0,11.2,2.0
1997/2/16,6.6,9.3,4.0
1997/2/17,7.6,11.8,5.0
1997/2/18,6.2,10.9,3.3
1997/2/19,5.1,9.0,0.5
1997/2/20,7.2,12.1,0.9
1997/2/21,5.9,13.9,0.5
1997/2/22,1.4,4.6,-1.4
1997/2/23,5.0,9.6,-0.4
1997/2/24,7.7,13.1,2.3
1997/2/25,10.7,16.1,3.9
1997/2/26,12.8,18.0,8.4
1997/2/27,9.5,13.4,7.2
1997/2/28,10.8,13.9,6.7
1997/3/1,13.9,20.0,6.7
1997/3/2,7.7,11.3,4.6
1997/3/3,6.3,7.7,5.2
1997/3/4,7.8,11.4,4.0
1997/3/5,10.3,15.2,5.0
1997/3/6,11.6,15.6,6.7
1997/3/7,17.1,21.9,13.4
1997/3/8,11.9,15.7,9.1
1997/3/9,9.8,14.6,6.6
1997/3/10,9.8,14.3,4.6
1997/3/11,12.8,20.2,7.7
1997/3/12,9.8,14.7,6.1
1997/3/13,9.4,13.7,4.6
1997/3/14,13.6,18.4,9.2
1997/3/15,8.1,12.2,6.2
1997/3/16,5.1,6.4,4.3
1997/3/17,7.5,12.4,3.5
1997/3/18,9.6,13.4,5.6
1997/3/19,10.3,14.4,6.9
1997/3/20,10.2,13.0,8.0
1997/3/21,11.5,15.7,6.3
1997/3/22,10.4,13.1,8.4
1997/3/23,7.6,9.6,5.4
1997/3/24,6.7,10.1,4.2
1997/3/25,10.0,15.9,3.0
1997/3/26,13.3,17.5,10.4
1997/3/27,9.7,11.9,8.4
1997/3/28,12.8,17.2,6.3
1997/3/29,14.8,17.4,12.0
1997/3/30,16.0,25.1,10.4
1997/3/31,11.1,14.6,7.9
1997/4/1,12.3,15.7,8.0
1997/4/2,13.8,16.7,11.1
1997/4/3,12.0,14.5,10.5
1997/4/4,14.5,18.8,10.7
1997/4/5,14.4,15.8,13.3
1997/4/6,13.5,14.9,12.6
1997/4/7,13.7,16.5,10.9
1997/4/8,16.4,22.0,10.3
1997/4/9,16.9,20.9,12.9
1997/4/10,15.6,19.8,12.6
1997/4/11,14.9,19.4,10.5
1997/4/12,14.0,17.5,8.8
1997/4/13,16.8,22.4,9.5
1997/4/14,16.7,22.2,12.0
1997/4/15,12.1,13.3,10.6
1997/4/16,11.8,15.7,8.9
1997/4/17,14.1,18.3,9.9
1997/4/18,17.1,22.2,11.2
1997/4/19,13.6,17.1,11.0
1997/4/20,14.9,18.5,12.1
1997/4/21,16.3,20.3,13.5
1997/4/22,17.2,20.6,14.5
1997/4/23,12.8,16.2,9.9
1997/4/24,14.0,18.5,9.6
1997/4/25,15.2,20.0,11.1
1997/4/26,16.9,22.3,11.8
1997/4/27,18.1,23.2,11.3
1997/4/28,16.3,18.9,14.3
1997/4/29,19.2,25.2,13.2
1997/4/30,21.1,27.2,16.1
1997/5/1,18.7,21.7,15.8
