ダウンロードした時刻：2017/07/24 15:44:33

,神戸,神戸,神戸
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2002/1/1,7.1,11.8,3.7
2002/1/2,2.5,6.1,-1.5
2002/1/3,2.1,5.5,-1.4
2002/1/4,7.1,10.2,3.2
2002/1/5,7.2,10.1,2.5
2002/1/6,4.6,8.2,2.0
2002/1/7,7.1,11.2,2.1
2002/1/8,4.8,7.8,2.4
2002/1/9,5.5,9.5,2.4
2002/1/10,7.9,10.9,4.0
2002/1/11,11.3,15.6,8.4
2002/1/12,10.2,15.0,5.9
2002/1/13,9.6,12.8,6.2
2002/1/14,9.9,12.8,5.6
2002/1/15,11.7,12.9,10.5
2002/1/16,12.6,16.7,10.2
2002/1/17,8.4,11.0,5.1
2002/1/18,5.6,6.9,4.6
2002/1/19,6.3,10.3,3.5
2002/1/20,8.3,12.1,2.3
2002/1/21,10.0,11.3,6.6
2002/1/22,5.8,8.0,3.7
2002/1/23,4.4,6.1,2.0
2002/1/24,4.6,8.3,1.5
2002/1/25,5.5,9.4,2.9
2002/1/26,6.0,8.9,3.2
2002/1/27,8.1,12.1,4.1
2002/1/28,6.0,9.4,3.4
2002/1/29,3.8,7.6,1.2
2002/1/30,4.2,7.7,1.2
2002/1/31,4.4,8.3,1.6
2002/2/1,4.5,9.3,0.9
2002/2/2,4.9,7.2,2.9
2002/2/3,6.5,9.5,4.5
2002/2/4,7.7,10.2,5.2
2002/2/5,7.8,11.7,5.5
2002/2/6,7.7,11.8,4.6
2002/2/7,8.5,13.5,4.2
2002/2/8,8.2,11.8,4.0
2002/2/9,7.4,11.6,3.5
2002/2/10,4.4,7.7,2.0
2002/2/11,3.2,7.3,1.4
2002/2/12,4.2,8.2,-0.1
2002/2/13,5.1,9.3,2.6
2002/2/14,4.9,9.6,2.6
2002/2/15,4.5,7.8,2.2
2002/2/16,5.7,9.3,0.3
2002/2/17,7.8,10.3,6.1
2002/2/18,7.1,11.6,1.8
2002/2/19,3.8,7.1,1.3
2002/2/20,6.6,10.3,2.7
2002/2/21,8.8,14.8,3.1
2002/2/22,11.3,15.5,9.4
2002/2/23,10.2,12.7,7.4
2002/2/24,8.1,12.1,5.1
2002/2/25,7.4,11.8,3.3
2002/2/26,9.7,12.5,7.9
2002/2/27,10.4,13.2,7.9
2002/2/28,10.3,11.1,9.8
2002/3/1,11.8,14.8,8.2
2002/3/2,10.3,15.2,6.3
2002/3/3,6.8,10.4,4.3
2002/3/4,7.0,11.3,2.3
2002/3/5,10.2,13.5,8.6
2002/3/6,10.7,14.5,7.8
2002/3/7,7.5,10.5,4.5
2002/3/8,6.7,10.5,3.2
2002/3/9,8.3,13.6,2.8
2002/3/10,11.0,16.1,5.5
2002/3/11,11.4,14.3,8.0
2002/3/12,12.4,17.3,7.3
2002/3/13,10.8,14.3,7.0
2002/3/14,12.9,18.2,7.4
2002/3/15,15.4,18.8,13.2
2002/3/16,12.3,14.9,10.2
2002/3/17,14.0,19.4,9.0
2002/3/18,12.4,17.6,8.2
2002/3/19,12.0,15.1,7.2
2002/3/20,13.8,18.4,10.6
2002/3/21,15.6,18.2,12.1
2002/3/22,12.3,15.7,10.1
2002/3/23,9.5,12.3,6.4
2002/3/24,8.4,12.1,6.0
2002/3/25,9.0,13.0,4.3
2002/3/26,13.6,17.9,8.1
2002/3/27,12.3,16.1,7.1
2002/3/28,10.6,16.3,5.1
2002/3/29,14.4,18.9,10.7
2002/3/30,15.1,18.6,11.9
2002/3/31,14.1,19.0,10.2
2002/4/1,14.6,19.1,10.2
2002/4/2,16.9,21.3,11.7
2002/4/3,16.7,24.7,11.7
2002/4/4,14.1,19.1,10.2
2002/4/5,14.4,20.9,9.6
2002/4/6,14.5,19.1,10.0
2002/4/7,16.5,19.7,13.0
2002/4/8,19.2,24.7,15.6
2002/4/9,15.9,19.9,12.1
2002/4/10,13.0,15.4,10.1
2002/4/11,12.9,16.3,10.5
2002/4/12,12.6,15.9,9.6
2002/4/13,14.3,19.5,9.2
2002/4/14,16.9,22.4,10.7
2002/4/15,19.4,23.0,16.7
2002/4/16,18.9,21.4,16.1
2002/4/17,16.6,20.2,12.2
2002/4/18,14.4,17.2,12.5
2002/4/19,15.1,20.4,10.1
2002/4/20,18.2,22.9,14.6
2002/4/21,16.5,17.5,15.7
2002/4/22,19.0,22.7,15.6
2002/4/23,20.1,24.2,16.8
2002/4/24,19.5,22.6,17.3
2002/4/25,14.7,18.3,12.1
2002/4/26,14.7,19.9,10.9
2002/4/27,15.5,20.2,10.8
2002/4/28,17.9,21.2,15.1
2002/4/29,18.1,20.5,16.3
2002/4/30,19.3,21.8,17.3
2002/5/1,17.8,19.5,15.4
