ダウンロードした時刻：2017/07/24 15:36:31

,江差,江差,江差
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1995/1/1,-3.3,-0.8,-5.0
1995/1/2,-0.6,3.2,-4.8
1995/1/3,3.5,5.1,1.0
1995/1/4,3.2,5.5,1.6
1995/1/5,1.6,3.7,-0.3
1995/1/6,-0.7,1.1,-2.2
1995/1/7,1.5,3.8,-0.6
1995/1/8,2.8,5.2,0.2
1995/1/9,5.4,7.2,2.2
1995/1/10,-1.6,3.2,-3.7
1995/1/11,-3.5,-1.9,-4.8
1995/1/12,-2.7,-1.5,-4.6
1995/1/13,-3.8,-1.4,-5.6
1995/1/14,-5.2,-4.0,-6.4
1995/1/15,-4.5,-2.9,-6.0
1995/1/16,-4.8,-2.0,-8.3
1995/1/17,-5.4,-1.6,-10.6
1995/1/18,-3.2,1.2,-11.2
1995/1/19,-2.9,-0.5,-4.3
1995/1/20,-2.3,-0.8,-4.3
1995/1/21,-1.4,2.4,-6.6
1995/1/22,1.3,5.1,-5.8
1995/1/23,4.0,6.2,2.3
1995/1/24,0.8,2.6,-1.4
1995/1/25,-0.5,0.7,-1.7
1995/1/26,0.0,2.9,-1.7
1995/1/27,-3.1,-0.3,-4.6
1995/1/28,-3.0,-1.3,-4.7
1995/1/29,-2.3,2.3,-4.8
1995/1/30,-2.4,-0.2,-4.9
1995/1/31,1.0,4.4,-4.1
1995/2/1,1.2,3.1,-2.4
1995/2/2,-2.9,0.7,-6.1
1995/2/3,-3.5,1.2,-9.5
1995/2/4,-0.7,1.0,-3.5
1995/2/5,-0.2,2.1,-2.8
1995/2/6,-1.7,1.5,-6.1
1995/2/7,-0.1,2.0,-2.3
1995/2/8,0.8,2.7,-0.5
1995/2/9,-0.6,1.1,-6.4
1995/2/10,-2.0,1.1,-7.3
1995/2/11,2.3,4.9,-0.7
1995/2/12,4.8,7.3,2.9
1995/2/13,1.8,4.3,-0.9
1995/2/14,0.1,1.1,-1.7
1995/2/15,-0.5,1.9,-2.0
1995/2/16,-0.9,2.5,-5.3
1995/2/17,0.4,4.0,-2.7
1995/2/18,0.8,2.1,-1.3
1995/2/19,1.8,3.3,0.2
1995/2/20,2.8,6.2,-1.7
1995/2/21,2.5,5.8,0.0
1995/2/22,1.9,3.8,1.0
1995/2/23,1.1,3.5,-0.8
1995/2/24,0.4,2.3,-1.5
1995/2/25,-0.5,2.0,-4.0
1995/2/26,-0.5,4.0,-6.3
1995/2/27,0.3,3.0,-4.7
1995/2/28,-0.7,2.8,-5.4
1995/3/1,0.6,4.7,-2.7
1995/3/2,-1.4,0.3,-3.2
1995/3/3,-2.6,1.2,-8.0
1995/3/4,-2.7,2.9,-8.5
1995/3/5,-1.8,3.0,-6.7
1995/3/6,-0.5,2.7,-6.4
1995/3/7,3.6,5.6,1.7
1995/3/8,2.7,5.9,-2.4
1995/3/9,3.6,5.8,-0.8
1995/3/10,2.6,6.9,-2.9
1995/3/11,3.4,5.1,0.9
1995/3/12,3.6,7.7,0.7
1995/3/13,4.0,6.5,2.2
1995/3/14,4.2,9.2,-0.4
1995/3/15,4.9,9.5,-0.7
1995/3/16,7.7,11.4,2.2
1995/3/17,6.6,13.4,-0.2
1995/3/18,1.2,3.7,-0.4
1995/3/19,3.4,6.3,-0.6
1995/3/20,6.4,9.3,1.1
1995/3/21,6.7,9.5,3.1
1995/3/22,0.7,3.4,-1.0
1995/3/23,0.1,3.8,-2.2
1995/3/24,1.3,5.1,-3.7
1995/3/25,0.3,2.8,-1.5
1995/3/26,1.1,5.1,-1.4
1995/3/27,1.6,3.7,-0.3
1995/3/28,4.4,7.8,0.5
1995/3/29,5.5,8.4,2.0
1995/3/30,8.5,13.1,4.2
1995/3/31,7.0,9.9,3.2
1995/4/1,5.1,8.3,3.1
1995/4/2,3.8,5.2,1.6
1995/4/3,4.8,6.4,2.3
1995/4/4,6.2,8.9,0.5
1995/4/5,6.1,11.6,-0.9
1995/4/6,9.9,16.0,3.8
1995/4/7,7.4,10.9,3.2
1995/4/8,9.2,14.0,4.2
1995/4/9,7.5,11.4,5.5
1995/4/10,4.8,6.0,4.1
1995/4/11,4.6,6.6,2.7
1995/4/12,3.0,5.1,0.6
1995/4/13,6.0,7.7,3.6
1995/4/14,6.4,8.8,2.2
1995/4/15,6.9,10.7,2.8
1995/4/16,7.2,11.7,0.3
1995/4/17,6.9,8.9,4.0
1995/4/18,9.1,16.2,1.2
1995/4/19,8.0,9.6,4.7
1995/4/20,7.7,10.2,4.6
1995/4/21,10.6,12.2,8.6
1995/4/22,10.9,14.3,6.4
1995/4/23,9.8,12.3,8.1
1995/4/24,10.0,12.8,7.1
1995/4/25,10.4,14.4,5.1
1995/4/26,9.8,13.6,8.3
1995/4/27,8.1,9.6,6.3
1995/4/28,11.2,16.7,5.4
1995/4/29,14.0,19.5,7.6
1995/4/30,13.2,16.0,11.1
1995/5/1,14.5,20.7,9.3
