ダウンロードした時刻：2017/07/24 15:43:50

,京都,京都,京都
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1995/1/1,4.0,7.3,1.3
1995/1/2,4.5,6.5,1.3
1995/1/3,3.8,6.8,-0.4
1995/1/4,7.9,9.3,5.9
1995/1/5,6.0,10.2,1.6
1995/1/6,3.1,5.7,1.4
1995/1/7,5.2,9.0,0.1
1995/1/8,6.6,12.5,2.1
1995/1/9,9.2,16.7,2.3
1995/1/10,5.0,8.2,2.3
1995/1/11,4.0,7.4,0.6
1995/1/12,4.8,8.4,1.6
1995/1/13,3.3,8.2,0.4
1995/1/14,1.9,5.4,0.6
1995/1/15,2.4,5.2,0.1
1995/1/16,2.7,6.5,-0.1
1995/1/17,3.0,8.5,-0.4
1995/1/18,3.1,7.6,-1.7
1995/1/19,3.8,6.4,1.1
1995/1/20,5.1,10.1,-0.4
1995/1/21,7.0,12.2,1.9
1995/1/22,8.2,10.5,5.8
1995/1/23,9.7,11.5,8.1
1995/1/24,6.0,9.1,3.0
1995/1/25,3.7,7.9,1.5
1995/1/26,4.6,9.2,0.7
1995/1/27,4.4,8.5,1.9
1995/1/28,3.7,9.3,-0.5
1995/1/29,2.9,7.4,-1.2
1995/1/30,1.2,5.3,-0.7
1995/1/31,0.9,3.3,-1.7
1995/2/1,1.8,5.6,-0.6
1995/2/2,2.8,6.3,-0.3
1995/2/3,3.1,7.7,0.2
1995/2/4,3.3,7.4,-1.1
1995/2/5,3.6,7.7,0.5
1995/2/6,3.7,7.5,1.1
1995/2/7,4.8,9.2,1.7
1995/2/8,6.1,13.0,0.7
1995/2/9,6.7,12.3,3.8
1995/2/10,3.5,6.9,1.1
1995/2/11,4.3,10.5,-0.7
1995/2/12,6.3,11.0,1.6
1995/2/13,9.1,12.9,7.0
1995/2/14,7.3,11.1,3.0
1995/2/15,5.9,11.0,0.6
1995/2/16,4.3,7.2,1.4
1995/2/17,3.0,8.2,0.2
1995/2/18,3.8,8.7,0.0
1995/2/19,6.0,11.9,1.9
1995/2/20,4.2,9.3,1.5
1995/2/21,3.0,7.7,1.1
1995/2/22,3.8,8.0,0.6
1995/2/23,4.8,11.8,-1.6
1995/2/24,5.6,10.2,2.0
1995/2/25,5.6,11.9,0.4
1995/2/26,7.4,12.0,4.0
1995/2/27,6.2,11.1,2.3
1995/2/28,5.9,13.0,-0.4
1995/3/1,5.6,10.4,2.8
1995/3/2,5.2,9.6,1.5
1995/3/3,4.6,10.7,-0.2
1995/3/4,4.5,9.4,1.4
1995/3/5,3.8,8.2,-0.7
1995/3/6,6.8,12.0,3.1
1995/3/7,7.3,13.5,3.3
1995/3/8,6.8,12.4,1.5
1995/3/9,8.2,15.1,1.6
1995/3/10,9.1,11.2,6.6
1995/3/11,7.6,10.6,4.5
1995/3/12,7.1,13.5,3.4
1995/3/13,6.9,11.8,5.1
1995/3/14,6.8,11.0,3.9
1995/3/15,9.3,16.5,2.0
1995/3/16,12.0,14.5,10.0
1995/3/17,14.4,20.0,8.1
1995/3/18,7.8,11.1,4.9
1995/3/19,6.3,10.6,1.9
1995/3/20,7.4,14.7,0.2
1995/3/21,10.9,18.1,3.1
1995/3/22,12.0,16.9,8.2
1995/3/23,13.1,20.6,6.3
1995/3/24,15.2,18.7,12.9
1995/3/25,9.4,13.3,5.9
1995/3/26,7.0,11.3,3.7
1995/3/27,9.2,16.7,1.2
1995/3/28,7.6,11.3,4.7
1995/3/29,9.9,17.6,3.4
1995/3/30,11.9,14.9,9.6
1995/3/31,13.0,17.1,9.3
1995/4/1,9.1,12.6,4.9
1995/4/2,6.8,13.8,1.5
1995/4/3,6.5,11.6,1.9
1995/4/4,8.9,16.6,1.0
1995/4/5,12.4,19.9,4.8
1995/4/6,14.4,20.6,9.7
1995/4/7,14.2,20.0,9.0
1995/4/8,14.3,22.3,5.9
1995/4/9,13.5,15.2,12.8
1995/4/10,12.6,18.2,9.1
1995/4/11,11.2,16.3,6.5
1995/4/12,11.1,16.2,6.6
1995/4/13,11.8,18.8,4.2
1995/4/14,11.8,13.1,10.1
1995/4/15,14.4,18.9,11.7
1995/4/16,14.4,15.9,11.9
1995/4/17,16.6,23.4,12.6
1995/4/18,15.9,20.2,11.3
1995/4/19,13.2,19.3,7.6
1995/4/20,11.2,18.6,4.1
1995/4/21,14.5,22.7,5.5
1995/4/22,16.7,19.2,13.3
1995/4/23,19.3,22.4,14.2
1995/4/24,15.7,21.3,9.3
1995/4/25,14.3,15.5,13.3
1995/4/26,15.8,21.0,10.2
1995/4/27,15.7,22.8,7.8
1995/4/28,16.5,18.6,14.7
1995/4/29,17.2,19.6,15.7
1995/4/30,18.8,23.7,15.6
1995/5/1,18.2,19.7,16.9
