ダウンロードした時刻：2017/07/24 15:37:56

,仙台,仙台,仙台
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2004/1/1,6.1,9.4,3.3
2004/1/2,5.6,8.7,3.9
2004/1/3,4.5,9.9,1.9
2004/1/4,2.2,5.8,-0.3
2004/1/5,2.9,6.2,-0.1
2004/1/6,1.4,5.2,-1.4
2004/1/7,1.0,4.1,-3.5
2004/1/8,0.7,3.0,-1.1
2004/1/9,1.8,5.4,-1.8
2004/1/10,2.0,6.3,-4.1
2004/1/11,0.4,1.9,-1.5
2004/1/12,2.0,6.1,-1.8
2004/1/13,3.6,8.9,-0.3
2004/1/14,-1.0,3.1,-3.0
2004/1/15,-1.4,1.7,-3.9
2004/1/16,1.1,4.3,-2.7
2004/1/17,0.8,4.5,-2.6
2004/1/18,1.8,6.5,-2.5
2004/1/19,1.4,3.4,0.4
2004/1/20,3.2,8.4,-1.5
2004/1/21,2.6,7.0,-0.9
2004/1/22,0.8,4.6,-3.1
2004/1/23,-1.7,0.4,-4.4
2004/1/24,1.0,5.2,-3.7
2004/1/25,1.0,5.4,-2.4
2004/1/26,1.1,4.7,-3.5
2004/1/27,0.8,5.4,-1.8
2004/1/28,2.0,6.4,-3.5
2004/1/29,1.8,5.6,-1.4
2004/1/30,1.8,6.1,-2.2
2004/1/31,1.8,5.4,-0.9
2004/2/1,3.0,7.5,-1.5
2004/2/2,1.6,3.8,-0.7
2004/2/3,3.0,7.5,-0.5
2004/2/4,0.8,4.6,-1.9
2004/2/5,0.0,3.1,-1.5
2004/2/6,0.6,4.2,-1.9
2004/2/7,-0.9,2.5,-3.3
2004/2/8,0.4,4.5,-4.9
2004/2/9,1.0,4.6,-1.6
2004/2/10,0.3,5.3,-3.3
2004/2/11,1.4,5.8,-3.6
2004/2/12,3.5,7.8,-0.2
2004/2/13,3.9,7.5,1.2
2004/2/14,5.7,10.0,0.8
2004/2/15,4.3,7.2,1.8
2004/2/16,3.7,7.4,0.6
2004/2/17,3.7,10.9,0.6
2004/2/18,2.1,4.9,0.3
2004/2/19,1.4,4.9,-1.1
2004/2/20,2.7,6.5,-0.8
2004/2/21,4.8,11.9,-0.9
2004/2/22,10.0,16.2,4.0
2004/2/23,5.6,14.5,1.2
2004/2/24,4.8,9.0,-0.3
2004/2/25,8.3,13.3,2.2
2004/2/26,5.1,12.8,-0.7
2004/2/27,0.2,2.7,-2.2
2004/2/28,3.2,8.1,-1.2
2004/2/29,6.9,15.1,1.3
2004/3/1,2.2,5.4,0.0
2004/3/2,0.9,4.2,-2.4
2004/3/3,0.1,3.2,-1.7
2004/3/4,0.1,5.1,-2.2
2004/3/5,0.0,5.0,-3.6
2004/3/6,0.5,6.2,-3.4
2004/3/7,0.9,4.3,-1.7
2004/3/8,1.5,4.8,-2.9
2004/3/9,5.5,10.3,0.7
2004/3/10,8.6,13.6,2.8
2004/3/11,9.1,15.0,6.1
2004/3/12,7.7,11.4,3.5
2004/3/13,5.0,11.2,0.8
2004/3/14,5.0,10.1,0.3
2004/3/15,5.0,11.0,0.9
2004/3/16,5.5,9.8,-0.1
2004/3/17,9.7,16.3,2.8
2004/3/18,5.3,12.2,0.1
2004/3/19,3.6,8.6,-1.2
2004/3/20,4.4,8.8,0.0
2004/3/21,6.2,12.5,-0.5
2004/3/22,5.0,8.3,1.7
2004/3/23,4.8,7.3,2.5
2004/3/24,6.0,7.8,4.5
2004/3/25,7.6,10.0,3.5
2004/3/26,8.0,11.2,4.9
2004/3/27,6.9,10.6,3.9
2004/3/28,8.8,17.4,2.8
2004/3/29,10.3,16.5,4.3
2004/3/30,12.7,17.0,8.6
2004/3/31,10.4,14.8,5.5
2004/4/1,9.0,13.8,4.9
2004/4/2,6.4,14.4,0.7
2004/4/3,7.2,12.3,3.2
2004/4/4,4.9,8.3,2.3
2004/4/5,6.5,12.2,0.9
2004/4/6,10.0,16.2,2.8
2004/4/7,11.5,17.9,8.0
2004/4/8,8.6,12.0,5.8
2004/4/9,11.5,19.3,2.6
2004/4/10,12.9,20.4,7.0
2004/4/11,9.4,13.5,6.9
2004/4/12,13.8,24.0,5.3
2004/4/13,8.5,11.7,6.9
2004/4/14,11.1,16.6,6.0
2004/4/15,12.8,19.6,8.2
2004/4/16,16.5,24.9,7.8
2004/4/17,15.0,20.4,6.9
2004/4/18,10.3,14.5,4.8
2004/4/19,13.5,18.6,9.0
2004/4/20,15.8,21.6,10.0
2004/4/21,15.1,20.3,10.0
2004/4/22,12.8,18.4,8.2
2004/4/23,9.1,10.9,7.1
2004/4/24,7.5,11.9,4.2
2004/4/25,8.6,14.4,3.4
2004/4/26,11.1,15.4,8.0
2004/4/27,9.0,11.6,6.4
2004/4/28,8.9,10.8,7.9
2004/4/29,14.9,21.6,8.5
2004/4/30,16.0,23.3,8.4
2004/5/1,12.7,18.5,7.8
