ダウンロードした時刻：2017/07/24 15:44:17

,岡山,岡山,岡山
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1981/1/1,1.9,7.9,-5.5
1981/1/2,3.7,6.1,1.0
1981/1/3,0.9,4.9,-1.2
1981/1/4,0.7,6.0,-3.5
1981/1/5,0.6,4.7,-3.7
1981/1/6,1.1,5.3,-3.9
1981/1/7,2.6,7.5,-1.7
1981/1/8,1.3,9.2,-4.9
1981/1/9,2.1,9.6,-4.6
1981/1/10,3.2,6.8,-1.3
1981/1/11,0.9,4.6,-1.6
1981/1/12,1.6,5.6,-1.4
1981/1/13,0.6,5.0,-2.8
1981/1/14,0.9,5.9,-3.3
1981/1/15,-0.2,4.7,-4.9
1981/1/16,0.3,6.4,-4.3
1981/1/17,0.1,6.9,-6.3
1981/1/18,1.2,6.5,-3.5
1981/1/19,1.7,7.6,-2.6
1981/1/20,2.0,8.5,-3.9
1981/1/21,1.9,8.1,-3.4
1981/1/22,0.4,6.0,-3.5
1981/1/23,1.0,8.1,-4.5
1981/1/24,2.1,3.9,-2.8
1981/1/25,5.5,10.5,1.3
1981/1/26,1.8,6.1,-1.1
1981/1/27,0.8,6.8,-4.3
1981/1/28,1.5,6.8,-2.8
1981/1/29,1.5,9.1,-5.1
1981/1/30,1.3,8.6,-4.7
1981/1/31,2.6,9.6,-4.7
1981/2/1,2.9,7.6,0.4
1981/2/2,3.5,8.3,0.0
1981/2/3,2.0,8.2,-1.6
1981/2/4,0.8,5.4,-3.9
1981/2/5,2.2,7.1,-2.0
1981/2/6,2.0,8.0,-4.2
1981/2/7,3.6,10.0,-3.2
1981/2/8,5.2,10.4,-1.2
1981/2/9,1.2,5.5,-2.7
1981/2/10,3.0,8.3,-1.6
1981/2/11,2.9,9.4,-2.7
1981/2/12,1.8,5.6,-4.9
1981/2/13,5.7,7.4,3.4
1981/2/14,8.0,13.4,3.5
1981/2/15,6.7,11.6,-0.6
1981/2/16,11.0,18.6,6.3
1981/2/17,3.5,7.5,-0.2
1981/2/18,4.5,10.1,-1.2
1981/2/19,6.3,10.0,3.2
1981/2/20,2.8,6.9,-2.0
1981/2/21,4.5,9.9,0.2
1981/2/22,2.9,7.5,-1.5
1981/2/23,5.2,8.7,1.5
1981/2/24,5.7,11.1,0.7
1981/2/25,0.4,4.2,-3.5
1981/2/26,-4.8,-2.3,-7.7
1981/2/27,-2.7,3.7,-9.1
1981/2/28,0.4,7.0,-6.2
1981/3/1,0.1,0.9,-2.1
1981/3/2,2.6,8.1,-1.2
1981/3/3,3.2,6.9,-1.6
1981/3/4,6.9,13.8,1.9
1981/3/5,4.8,12.9,-1.0
1981/3/6,2.6,8.6,-3.1
1981/3/7,4.1,11.5,-4.1
1981/3/8,7.1,15.3,-0.7
1981/3/9,7.1,12.8,4.4
1981/3/10,4.7,9.4,-0.2
1981/3/11,3.0,10.0,-2.9
1981/3/12,7.0,15.0,-2.7
1981/3/13,11.6,15.9,8.1
1981/3/14,12.6,15.3,10.6
1981/3/15,9.0,12.3,4.8
1981/3/16,5.9,11.3,0.6
1981/3/17,7.3,14.8,-0.9
1981/3/18,8.2,18.0,0.0
1981/3/19,10.5,17.1,1.1
1981/3/20,13.6,19.5,7.9
1981/3/21,10.7,12.7,9.2
1981/3/22,12.7,17.9,6.8
1981/3/23,10.3,15.9,5.3
1981/3/24,8.6,12.8,0.5
1981/3/25,14.7,18.3,11.3
1981/3/26,10.2,14.0,6.0
1981/3/27,8.0,12.4,4.2
1981/3/28,7.4,12.8,3.9
1981/3/29,9.5,14.7,3.3
1981/3/30,9.8,14.2,6.5
1981/3/31,6.3,8.9,3.4
1981/4/1,7.5,10.8,1.8
1981/4/2,8.5,13.9,2.2
1981/4/3,9.0,16.7,-0.6
1981/4/4,9.1,10.3,7.2
1981/4/5,10.1,11.0,8.3
1981/4/6,12.5,18.3,7.6
1981/4/7,12.3,20.7,4.0
1981/4/8,11.9,19.1,3.9
1981/4/9,13.3,16.9,9.5
1981/4/10,13.9,20.2,10.9
1981/4/11,15.1,22.6,7.3
1981/4/12,14.6,20.5,8.9
1981/4/13,13.3,18.8,7.3
1981/4/14,11.9,19.0,3.8
1981/4/15,11.0,15.3,5.0
1981/4/16,13.3,18.7,10.0
1981/4/17,12.9,19.0,6.7
1981/4/18,13.1,20.2,4.5
1981/4/19,12.7,15.5,11.1
1981/4/20,10.6,13.1,8.4
1981/4/21,11.1,17.6,2.6
1981/4/22,13.3,22.5,4.8
1981/4/23,14.6,24.1,5.4
1981/4/24,15.1,23.0,6.0
1981/4/25,14.5,20.5,8.6
1981/4/26,14.0,22.4,4.7
1981/4/27,16.1,25.4,6.1
1981/4/28,17.2,25.8,7.9
1981/4/29,15.8,21.5,10.2
1981/4/30,17.8,22.4,12.6
1981/5/1,17.5,26.1,8.8
