ダウンロードした時刻：2017/07/24 15:47:27

,延岡,延岡,延岡
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1984/1/1,4.1,13.3,-3.4
1984/1/2,4.8,13.6,-0.9
1984/1/3,6.0,14.7,0.4
1984/1/4,3.8,8.4,0.3
1984/1/5,3.2,8.8,-2.3
1984/1/6,3.4,10.7,-3.5
1984/1/7,4.0,10.2,-1.7
1984/1/8,3.7,9.6,-2.3
1984/1/9,6.9,12.0,0.0
1984/1/10,8.9,15.5,1.7
1984/1/11,8.1,13.4,0.9
1984/1/12,3.1,11.2,-2.4
1984/1/13,5.4,12.8,-1.3
1984/1/14,7.5,15.6,1.7
1984/1/15,6.2,13.6,1.5
1984/1/16,1.4,5.6,-3.0
1984/1/17,0.9,7.6,-4.3
1984/1/18,1.8,7.2,-1.9
1984/1/19,1.8,6.1,-1.4
1984/1/20,4.4,10.3,-0.7
1984/1/21,4.4,6.7,2.8
1984/1/22,3.3,9.3,-0.7
1984/1/23,2.2,9.6,-3.8
1984/1/24,3.0,10.5,-2.8
1984/1/25,2.7,6.4,-0.3
1984/1/26,0.8,5.0,-4.2
1984/1/27,1.1,6.5,-3.8
1984/1/28,1.9,7.3,-3.5
1984/1/29,1.6,7.5,-4.4
1984/1/30,1.7,3.6,-1.7
1984/1/31,4.7,9.1,0.2
1984/2/1,4.4,12.5,-1.4
1984/2/2,4.6,8.3,1.2
1984/2/3,1.3,7.8,-3.0
1984/2/4,2.1,7.7,-4.0
1984/2/5,4.1,7.4,-0.4
1984/2/6,2.2,5.4,-2.2
1984/2/7,-0.5,3.1,-2.9
1984/2/8,0.1,4.8,-5.5
1984/2/9,1.6,5.9,-2.4
1984/2/10,3.0,9.3,-2.7
1984/2/11,4.0,6.4,1.3
1984/2/12,4.9,7.1,0.5
1984/2/13,6.0,14.2,0.1
1984/2/14,5.9,14.4,-0.2
1984/2/15,5.3,11.3,-2.8
1984/2/16,6.1,11.1,0.3
1984/2/17,6.2,7.9,3.2
1984/2/18,5.5,12.0,-0.8
1984/2/19,3.7,11.6,-2.3
1984/2/20,5.4,12.4,-0.4
1984/2/21,7.1,13.9,0.2
1984/2/22,7.0,11.2,3.2
1984/2/23,11.8,16.1,7.3
1984/2/24,9.7,13.8,6.2
1984/2/25,8.6,13.8,3.6
1984/2/26,9.7,13.8,6.2
1984/2/27,4.1,8.3,0.0
1984/2/28,3.8,10.6,-2.1
1984/2/29,2.6,8.2,-3.0
1984/3/1,2.2,9.5,-3.9
1984/3/2,5.1,12.7,-1.3
1984/3/3,4.4,11.2,0.3
1984/3/4,3.5,10.1,-2.9
1984/3/5,3.6,11.4,-3.5
1984/3/6,6.3,15.1,-0.6
1984/3/7,4.7,10.1,-1.6
1984/3/8,5.6,12.4,-1.9
1984/3/9,6.1,9.8,0.5
1984/3/10,8.5,14.0,4.0
1984/3/11,6.0,12.3,0.9
1984/3/12,8.9,18.5,0.0
1984/3/13,9.1,13.4,5.5
1984/3/14,7.1,7.9,6.5
1984/3/15,8.0,9.6,6.5
1984/3/16,11.3,16.8,7.6
1984/3/17,9.4,14.7,6.3
1984/3/18,9.5,15.4,3.7
1984/3/19,6.9,8.0,5.6
1984/3/20,9.0,15.0,5.2
1984/3/21,6.2,10.7,2.9
1984/3/22,4.8,11.4,-1.7
1984/3/23,6.8,13.0,-1.1
1984/3/24,12.1,17.1,6.9
1984/3/25,10.8,16.6,7.1
1984/3/26,10.8,16.6,6.5
1984/3/27,11.2,16.9,5.2
1984/3/28,9.5,17.2,5.3
1984/3/29,11.3,19.1,4.5
1984/3/30,12.8,18.8,6.7
1984/3/31,15.4,20.8,9.6
1984/4/1,13.2,14.8,10.7
1984/4/2,12.9,18.1,6.5
1984/4/3,13.7,16.5,8.6
1984/4/4,15.3,16.5,13.2
1984/4/5,18.0,22.8,15.1
1984/4/6,13.8,19.9,8.5
1984/4/7,11.6,17.9,5.8
1984/4/8,12.0,19.6,3.8
1984/4/9,11.6,17.5,7.5
1984/4/10,12.9,14.3,11.6
1984/4/11,15.7,22.9,9.0
1984/4/12,12.8,17.9,7.2
1984/4/13,12.9,18.7,8.8
1984/4/14,13.6,21.2,6.4
1984/4/15,15.2,21.9,7.9
1984/4/16,16.9,23.2,10.3
1984/4/17,17.9,24.8,11.1
1984/4/18,19.5,24.3,13.3
1984/4/19,16.5,20.1,11.4
1984/4/20,13.9,21.7,5.7
1984/4/21,12.5,17.1,8.1
1984/4/22,14.7,19.5,9.4
1984/4/23,14.8,22.8,6.9
1984/4/24,14.3,21.6,7.6
1984/4/25,15.3,19.8,9.5
1984/4/26,17.7,19.9,13.9
1984/4/27,16.2,21.2,12.9
1984/4/28,15.1,21.9,11.0
1984/4/29,16.6,19.7,13.6
1984/4/30,17.7,19.5,16.0
1984/5/1,18.1,23.7,12.7
