ダウンロードした時刻：2017/07/24 15:38:51

,金沢,金沢,金沢
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1986/1/1,3.7,6.8,0.7
1986/1/2,1.0,3.0,-0.1
1986/1/3,2.7,5.8,-0.2
1986/1/4,4.5,8.5,0.5
1986/1/5,-0.8,1.4,-2.1
1986/1/6,0.1,2.0,-3.5
1986/1/7,3.9,6.7,1.6
1986/1/8,2.8,7.6,-0.3
1986/1/9,0.5,2.3,-0.6
1986/1/10,-0.4,0.3,-1.2
1986/1/11,-0.6,1.5,-3.1
1986/1/12,-0.1,2.9,-2.2
1986/1/13,1.9,4.3,-2.7
1986/1/14,0.8,2.3,-0.9
1986/1/15,2.2,6.9,-0.9
1986/1/16,3.6,7.3,-0.7
1986/1/17,3.8,6.7,2.7
1986/1/18,2.4,5.2,-0.8
1986/1/19,1.2,6.2,-3.1
1986/1/20,2.6,7.4,-2.6
1986/1/21,1.4,4.6,-1.0
1986/1/22,-1.2,0.1,-2.3
1986/1/23,0.6,3.4,-2.5
1986/1/24,-0.9,0.5,-1.7
1986/1/25,0.1,2.2,-1.7
1986/1/26,-1.0,0.5,-1.8
1986/1/27,-1.4,-0.1,-2.4
1986/1/28,0.7,3.2,-2.5
1986/1/29,1.2,5.5,-2.2
1986/1/30,4.2,8.5,-1.3
1986/1/31,2.6,5.5,0.3
1986/2/1,0.1,2.3,-1.9
1986/2/2,2.6,5.3,-1.5
1986/2/3,1.8,5.2,-0.9
1986/2/4,-0.1,2.3,-1.6
1986/2/5,0.1,3.0,-1.6
1986/2/6,-0.6,1.8,-2.1
1986/2/7,-1.0,3.1,-4.3
1986/2/8,0.1,4.1,-3.9
1986/2/9,0.2,2.9,-1.2
1986/2/10,-1.2,1.8,-4.1
1986/2/11,-0.2,2.3,-4.9
1986/2/12,2.1,6.2,-1.2
1986/2/13,5.3,7.7,2.0
1986/2/14,5.0,8.7,2.0
1986/2/15,1.2,3.4,-0.9
1986/2/16,-1.7,1.1,-3.9
1986/2/17,0.4,4.2,-1.9
1986/2/18,0.8,2.3,-2.1
1986/2/19,3.5,6.2,1.4
1986/2/20,1.9,5.1,0.0
1986/2/21,1.1,4.3,-0.5
1986/2/22,2.8,6.7,-2.9
1986/2/23,2.7,6.2,0.4
1986/2/24,-0.1,1.9,-1.3
1986/2/25,-0.6,2.5,-2.1
1986/2/26,2.3,5.7,-2.3
1986/2/27,1.2,4.3,-1.5
1986/2/28,0.3,3.8,-2.1
1986/3/1,1.5,6.0,-1.8
1986/3/2,1.9,5.8,-1.5
1986/3/3,2.0,5.1,-1.1
1986/3/4,1.5,5.2,-1.9
1986/3/5,5.0,8.1,-0.2
1986/3/6,5.0,9.3,1.3
1986/3/7,5.3,9.6,0.1
1986/3/8,5.2,10.1,1.3
1986/3/9,9.9,17.8,0.5
1986/3/10,10.2,15.6,5.7
1986/3/11,4.5,6.0,3.4
1986/3/12,5.8,9.4,1.3
1986/3/13,7.6,12.3,2.1
1986/3/14,5.7,6.3,5.0
1986/3/15,9.3,14.3,5.0
1986/3/16,7.2,10.4,3.2
1986/3/17,4.1,7.9,0.9
1986/3/18,3.7,7.5,-0.1
1986/3/19,7.3,10.6,3.3
1986/3/20,4.9,7.5,2.7
1986/3/21,4.6,8.5,2.1
1986/3/22,5.6,10.0,1.5
1986/3/23,3.0,4.7,0.5
1986/3/24,5.4,9.0,1.3
1986/3/25,4.4,9.3,0.9
1986/3/26,7.1,14.7,-0.9
1986/3/27,10.4,17.4,2.5
1986/3/28,7.8,9.1,6.4
1986/3/29,8.8,14.0,5.4
1986/3/30,10.6,19.7,3.3
1986/3/31,7.1,10.1,2.9
1986/4/1,6.9,12.2,1.6
1986/4/2,9.2,15.4,2.4
1986/4/3,10.9,16.2,3.0
1986/4/4,9.9,11.2,8.5
1986/4/5,10.0,13.2,4.8
1986/4/6,10.8,15.3,4.6
1986/4/7,5.6,8.2,2.1
1986/4/8,9.6,16.5,0.6
1986/4/9,15.4,21.3,8.4
1986/4/10,14.8,21.9,10.9
1986/4/11,8.6,12.0,5.9
1986/4/12,7.9,13.6,1.7
1986/4/13,10.7,16.9,3.0
1986/4/14,14.4,21.7,5.3
1986/4/15,11.3,13.5,9.5
1986/4/16,7.7,11.7,2.5
1986/4/17,12.0,20.6,1.1
1986/4/18,16.0,22.8,11.2
1986/4/19,15.7,20.6,11.5
1986/4/20,17.1,23.0,13.3
1986/4/21,13.7,17.9,10.9
1986/4/22,12.6,16.5,10.9
1986/4/23,13.8,18.5,11.6
1986/4/24,15.3,21.9,9.2
1986/4/25,17.5,24.8,11.0
1986/4/26,15.6,20.7,13.6
1986/4/27,18.5,26.6,11.9
1986/4/28,12.3,14.7,11.1
1986/4/29,12.0,17.2,7.7
1986/4/30,13.4,19.1,5.6
1986/5/1,17.1,24.3,12.1
