ダウンロードした時刻：2017/07/24 15:37:03

,八戸,八戸,八戸
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2005/1/1,-2.5,0.7,-6.1
2005/1/2,-0.8,3.7,-7.6
2005/1/3,5.1,8.8,0.6
2005/1/4,1.7,5.2,-2.8
2005/1/5,-2.6,0.1,-4.7
2005/1/6,0.1,3.7,-5.6
2005/1/7,1.9,6.4,-1.7
2005/1/8,-2.0,0.3,-5.6
2005/1/9,-3.7,-1.3,-6.4
2005/1/10,-3.8,0.0,-7.3
2005/1/11,-2.9,0.7,-6.2
2005/1/12,-3.3,-0.7,-4.6
2005/1/13,0.0,2.8,-3.9
2005/1/14,1.2,4.5,-2.3
2005/1/15,0.2,4.3,-4.9
2005/1/16,2.0,3.3,0.1
2005/1/17,0.5,1.2,-0.3
2005/1/18,1.1,3.7,-0.7
2005/1/19,1.6,4.7,-2.5
2005/1/20,2.4,6.1,0.4
2005/1/21,0.8,4.4,-2.3
2005/1/22,-2.8,-0.1,-4.6
2005/1/23,-2.4,0.3,-4.2
2005/1/24,-0.4,5.5,-6.3
2005/1/25,-0.7,0.8,-2.5
2005/1/26,-3.2,0.7,-6.2
2005/1/27,-1.4,1.9,-5.2
2005/1/28,-0.2,3.1,-3.3
2005/1/29,4.7,10.2,-1.4
2005/1/30,-2.5,3.1,-6.4
2005/1/31,-3.7,-0.2,-6.4
2005/2/1,-2.5,1.1,-4.6
2005/2/2,-2.6,1.5,-6.7
2005/2/3,-2.6,1.4,-5.2
2005/2/4,-1.6,1.4,-3.6
2005/2/5,-1.6,1.5,-3.3
2005/2/6,0.5,4.2,-2.9
2005/2/7,1.5,6.0,-1.7
2005/2/8,0.7,4.5,-3.5
2005/2/9,0.7,3.4,-1.8
2005/2/10,-2.1,0.4,-5.9
2005/2/11,-4.8,-1.8,-7.1
2005/2/12,-3.9,-0.8,-6.2
2005/2/13,-3.1,1.2,-8.4
2005/2/14,-3.2,-1.1,-4.9
2005/2/15,-1.4,1.3,-3.9
2005/2/16,-2.1,0.6,-5.9
2005/2/17,-0.4,1.8,-1.7
2005/2/18,-1.3,0.2,-3.1
2005/2/19,0.6,3.2,-2.7
2005/2/20,-0.1,3.7,-4.3
2005/2/21,-3.8,-1.1,-6.5
2005/2/22,-3.2,0.2,-6.9
2005/2/23,-1.9,3.8,-6.8
2005/2/24,-2.4,0.6,-5.6
2005/2/25,-1.6,1.3,-4.7
2005/2/26,-2.8,-0.2,-6.8
2005/2/27,-3.4,0.9,-7.3
2005/2/28,-3.1,2.0,-7.8
2005/3/1,-3.8,-1.1,-5.2
2005/3/2,-4.0,-1.0,-6.6
2005/3/3,-3.8,1.1,-8.5
2005/3/4,-2.8,-0.1,-7.0
2005/3/5,-1.4,2.1,-3.5
2005/3/6,0.0,5.0,-6.4
2005/3/7,5.2,9.4,-1.4
2005/3/8,3.8,7.4,-0.7
2005/3/9,-0.7,1.8,-3.3
2005/3/10,1.1,4.8,-0.9
2005/3/11,2.3,4.1,1.0
2005/3/12,1.1,6.1,-2.2
2005/3/13,-2.3,0.4,-4.4
2005/3/14,-1.0,3.6,-5.9
2005/3/15,3.9,9.8,-0.7
2005/3/16,5.6,11.3,0.3
2005/3/17,4.4,9.6,1.5
2005/3/18,5.6,9.1,1.1
2005/3/19,1.4,4.6,-1.2
2005/3/20,4.9,9.1,-0.1
2005/3/21,5.7,9.4,2.2
2005/3/22,8.0,13.4,1.1
2005/3/23,6.3,9.5,3.6
2005/3/24,5.1,9.7,2.4
2005/3/25,0.5,4.0,-2.3
2005/3/26,0.6,5.2,-2.6
2005/3/27,3.7,8.7,0.1
2005/3/28,4.4,8.9,-1.5
2005/3/29,4.5,8.0,1.9
2005/3/30,3.2,6.8,1.5
2005/3/31,4.1,8.1,1.1
2005/4/1,2.9,7.4,-0.6
2005/4/2,5.0,11.3,-0.9
2005/4/3,5.7,11.6,0.7
2005/4/4,4.6,11.5,-0.9
2005/4/5,8.4,11.8,2.5
2005/4/6,14.2,20.3,7.6
2005/4/7,13.8,18.3,11.4
2005/4/8,8.3,11.4,5.9
2005/4/9,6.6,10.0,3.4
2005/4/10,8.9,14.7,0.9
2005/4/11,7.8,11.6,4.9
2005/4/12,5.8,8.9,0.7
2005/4/13,4.4,6.4,2.1
2005/4/14,8.3,13.6,2.7
2005/4/15,9.8,19.2,3.3
2005/4/16,7.9,14.1,0.8
2005/4/17,7.0,11.4,3.4
2005/4/18,7.4,13.7,2.1
2005/4/19,4.8,9.9,-0.5
2005/4/20,7.4,12.8,1.3
2005/4/21,10.3,14.7,7.2
2005/4/22,8.2,14.2,4.7
2005/4/23,5.6,8.2,3.3
2005/4/24,6.5,10.7,0.7
2005/4/25,11.5,17.1,3.1
2005/4/26,12.5,18.2,7.6
2005/4/27,15.7,22.1,9.1
2005/4/28,19.9,23.7,15.8
2005/4/29,15.3,19.8,9.7
2005/4/30,11.2,18.3,8.5
2005/5/1,10.7,16.3,6.6
