ダウンロードした時刻：2017/07/24 15:41:51

,浜松,浜松,浜松
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2005/1/1,4.9,8.9,1.5
2005/1/2,4.0,8.9,0.1
2005/1/3,6.7,11.8,1.4
2005/1/4,8.3,13.2,4.4
2005/1/5,4.7,8.7,2.0
2005/1/6,6.5,9.5,2.7
2005/1/7,7.7,11.7,4.7
2005/1/8,4.9,9.0,2.4
2005/1/9,3.8,8.2,1.0
2005/1/10,3.4,7.3,-0.1
2005/1/11,4.4,7.4,2.4
2005/1/12,3.9,7.0,1.4
2005/1/13,4.5,8.8,0.7
2005/1/14,7.1,11.7,2.7
2005/1/15,7.7,11.4,5.4
2005/1/16,7.6,10.9,5.2
2005/1/17,7.5,13.2,3.3
2005/1/18,6.7,11.4,3.5
2005/1/19,7.8,11.9,3.3
2005/1/20,5.2,8.5,2.8
2005/1/21,3.9,8.9,1.7
2005/1/22,4.8,9.5,1.2
2005/1/23,5.4,8.9,1.7
2005/1/24,5.9,9.6,1.3
2005/1/25,8.8,13.5,6.1
2005/1/26,6.7,11.2,3.6
2005/1/27,6.1,10.8,2.3
2005/1/28,9.1,14.3,5.0
2005/1/29,8.1,11.5,5.4
2005/1/30,6.3,10.1,3.6
2005/1/31,4.2,7.7,1.3
2005/2/1,2.0,5.6,-0.7
2005/2/2,1.5,5.5,-2.1
2005/2/3,3.8,8.2,0.9
2005/2/4,5.0,9.0,1.9
2005/2/5,6.4,10.4,3.9
2005/2/6,5.3,10.5,2.0
2005/2/7,6.4,10.5,2.0
2005/2/8,7.2,8.9,5.9
2005/2/9,9.3,14.8,3.6
2005/2/10,9.3,13.3,5.2
2005/2/11,4.7,8.5,2.1
2005/2/12,5.4,10.2,1.6
2005/2/13,4.7,7.8,0.4
2005/2/14,6.3,11.7,2.2
2005/2/15,9.2,13.7,4.4
2005/2/16,10.2,16.3,6.5
2005/2/17,10.7,16.1,7.4
2005/2/18,7.5,10.1,4.6
2005/2/19,9.4,12.3,5.8
2005/2/20,7.1,11.6,1.9
2005/2/21,3.5,7.8,0.7
2005/2/22,4.2,9.3,-0.1
2005/2/23,8.8,15.5,1.2
2005/2/24,8.6,13.0,5.0
2005/2/25,8.3,12.8,5.3
2005/2/26,5.1,9.7,1.1
2005/2/27,4.3,9.3,0.2
2005/2/28,5.6,10.2,1.2
2005/3/1,6.4,11.9,1.9
2005/3/2,5.9,9.8,1.3
2005/3/3,7.4,11.6,3.8
2005/3/4,6.7,10.1,4.7
2005/3/5,6.4,11.0,2.7
2005/3/6,6.3,11.0,3.3
2005/3/7,7.6,12.9,2.6
2005/3/8,10.6,16.3,5.2
2005/3/9,13.1,18.0,8.5
2005/3/10,13.3,19.2,7.6
2005/3/11,13.2,14.8,11.9
2005/3/12,7.6,12.0,1.8
2005/3/13,2.9,7.1,0.4
2005/3/14,3.9,8.2,0.0
2005/3/15,6.7,12.0,1.1
2005/3/16,11.2,17.0,5.5
2005/3/17,11.7,16.8,7.5
2005/3/18,10.0,13.3,5.3
2005/3/19,8.6,14.7,4.0
2005/3/20,8.3,13.6,2.3
2005/3/21,10.6,16.6,6.1
2005/3/22,12.1,15.0,7.8
2005/3/23,12.3,15.6,7.4
2005/3/24,9.6,15.0,6.2
2005/3/25,5.4,8.8,3.7
2005/3/26,7.7,12.4,3.1
2005/3/27,11.9,17.2,6.5
2005/3/28,11.5,13.1,9.6
2005/3/29,11.6,15.0,6.9
2005/3/30,8.9,13.6,4.8
2005/3/31,11.2,16.6,5.8
2005/4/1,11.6,16.6,6.8
2005/4/2,11.4,15.6,6.5
2005/4/3,14.8,20.6,10.2
2005/4/4,9.7,15.1,5.9
2005/4/5,11.8,16.9,4.7
2005/4/6,16.3,24.0,9.8
2005/4/7,15.7,18.1,13.2
2005/4/8,18.2,24.5,12.9
2005/4/9,15.3,19.5,11.1
2005/4/10,15.7,18.9,11.4
2005/4/11,16.4,18.3,12.7
2005/4/12,11.4,12.9,10.0
2005/4/13,12.7,18.0,9.6
2005/4/14,12.8,18.4,6.6
2005/4/15,14.6,20.4,8.5
2005/4/16,16.6,22.0,11.3
2005/4/17,15.6,21.1,8.2
2005/4/18,15.9,20.2,11.8
2005/4/19,16.6,21.1,12.1
2005/4/20,14.5,16.4,12.8
2005/4/21,16.3,21.3,12.4
2005/4/22,14.4,18.6,10.5
2005/4/23,14.7,20.3,8.7
2005/4/24,14.3,18.5,8.7
2005/4/25,17.1,22.3,12.7
2005/4/26,17.2,23.0,13.9
2005/4/27,16.0,21.4,10.3
2005/4/28,18.6,23.4,13.9
2005/4/29,21.7,28.1,14.6
2005/4/30,20.7,23.3,18.1
2005/5/1,18.9,21.7,15.8
