ダウンロードした時刻：2017/07/24 15:43:26

,豊岡,豊岡,豊岡
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1992/1/1,2.8,6.0,1.4
1992/1/2,3.6,9.8,1.0
1992/1/3,4.3,9.8,0.2
1992/1/4,3.7,5.5,1.9
1992/1/5,5.1,11.6,0.7
1992/1/6,4.9,6.2,3.7
1992/1/7,8.9,15.2,4.8
1992/1/8,7.3,11.6,4.7
1992/1/9,6.3,8.6,4.4
1992/1/10,6.3,8.5,2.6
1992/1/11,4.8,11.2,0.9
1992/1/12,4.9,14.2,-0.3
1992/1/13,5.8,12.6,-0.8
1992/1/14,4.4,8.2,1.0
1992/1/15,2.8,5.9,0.9
1992/1/16,3.3,10.7,-2.3
1992/1/17,4.1,8.9,0.9
1992/1/18,1.3,5.5,0.2
1992/1/19,1.0,3.2,0.3
1992/1/20,1.5,4.0,-0.5
1992/1/21,1.3,8.9,-1.8
1992/1/22,2.5,9.9,-2.3
1992/1/23,2.5,7.8,0.3
1992/1/24,2.0,7.4,-0.5
1992/1/25,3.5,11.1,-1.9
1992/1/26,5.1,12.4,0.9
1992/1/27,4.6,10.5,-0.2
1992/1/28,6.7,15.0,0.5
1992/1/29,8.8,14.1,3.4
1992/1/30,6.6,8.5,4.8
1992/1/31,5.0,6.7,3.4
1992/2/1,1.8,3.7,0.0
1992/2/2,1.7,5.6,0.0
1992/2/3,5.7,9.4,0.4
1992/2/4,6.3,9.8,3.4
1992/2/5,4.0,5.4,0.2
1992/2/6,3.4,10.9,-2.2
1992/2/7,3.9,7.7,0.5
1992/2/8,1.2,5.1,-0.1
1992/2/9,1.4,5.4,-1.7
1992/2/10,2.8,9.8,-2.2
1992/2/11,3.2,6.3,-1.0
1992/2/12,3.7,11.7,-3.3
1992/2/13,5.1,12.9,-0.9
1992/2/14,3.8,8.3,-0.4
1992/2/15,4.7,10.4,-1.3
1992/2/16,3.9,7.9,1.7
1992/2/17,2.6,6.8,-0.5
1992/2/18,4.2,11.9,-1.8
1992/2/19,2.0,5.1,0.4
1992/2/20,1.7,6.1,0.3
1992/2/21,0.6,3.1,-0.2
1992/2/22,0.9,3.9,0.0
1992/2/23,2.0,8.6,-2.6
1992/2/24,1.8,6.1,-0.6
1992/2/25,3.3,4.4,1.0
1992/2/26,3.3,8.5,-1.0
1992/2/27,4.8,16.4,-3.4
1992/2/28,7.0,17.4,-0.1
1992/2/29,12.9,19.0,7.7
1992/3/1,10.5,13.7,7.5
1992/3/2,6.1,8.1,5.1
1992/3/3,5.2,7.2,4.5
1992/3/4,5.7,10.1,3.0
1992/3/5,5.4,8.0,3.1
1992/3/6,5.1,7.4,2.5
1992/3/7,3.9,9.2,-0.9
1992/3/8,4.9,13.4,-1.9
1992/3/9,6.0,13.4,-0.7
1992/3/10,9.3,13.6,5.1
1992/3/11,7.5,13.6,3.3
1992/3/12,8.4,18.4,0.3
1992/3/13,9.4,18.7,1.9
1992/3/14,10.7,21.7,1.4
1992/3/15,11.9,15.2,9.3
1992/3/16,7.9,9.6,6.0
1992/3/17,5.5,7.9,3.5
1992/3/18,5.2,7.9,3.1
1992/3/19,6.8,12.5,2.1
1992/3/20,7.5,13.4,2.4
1992/3/21,5.0,7.3,3.7
1992/3/22,5.0,9.4,0.0
1992/3/23,4.9,9.6,-0.5
1992/3/24,8.6,10.7,7.1
1992/3/25,10.3,14.8,7.0
1992/3/26,9.2,12.7,4.7
1992/3/27,7.1,10.4,4.2
1992/3/28,7.9,12.1,4.0
1992/3/29,12.0,15.3,9.0
1992/3/30,10.5,12.9,4.7
1992/3/31,9.4,20.0,1.7
1992/4/1,13.5,17.3,10.0
1992/4/2,13.1,17.4,8.2
1992/4/3,11.6,19.1,7.7
1992/4/4,11.2,14.4,6.6
1992/4/5,12.0,15.4,9.3
1992/4/6,13.1,17.8,10.1
1992/4/7,11.0,13.1,9.5
1992/4/8,15.3,24.8,4.6
1992/4/9,15.2,19.7,11.0
1992/4/10,15.3,19.1,12.8
1992/4/11,10.7,16.7,7.2
1992/4/12,7.6,13.4,3.9
1992/4/13,7.3,10.8,4.7
1992/4/14,8.0,13.9,4.5
1992/4/15,10.6,20.2,1.8
1992/4/16,9.7,14.7,6.0
1992/4/17,10.1,16.6,3.0
1992/4/18,17.2,22.7,8.6
1992/4/19,13.7,19.5,7.4
1992/4/20,11.6,19.4,4.5
1992/4/21,16.1,26.5,3.9
1992/4/22,15.3,19.1,8.0
1992/4/23,13.9,24.7,4.7
1992/4/24,15.2,21.1,8.8
1992/4/25,12.2,18.3,6.0
1992/4/26,12.6,24.3,3.2
1992/4/27,15.7,27.6,5.5
1992/4/28,17.6,27.4,9.5
1992/4/29,15.2,19.8,10.6
1992/4/30,10.6,13.3,8.6
1992/5/1,12.1,18.7,7.1
