ダウンロードした時刻：2017/07/24 15:46:54

,大分,大分,大分
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1985/1/1,3.6,10.7,-1.8
1985/1/2,5.2,10.5,-0.9
1985/1/3,7.6,10.1,4.7
1985/1/4,7.3,10.5,4.9
1985/1/5,5.2,8.8,1.0
1985/1/6,4.6,7.8,-0.3
1985/1/7,4.3,7.0,1.2
1985/1/8,4.4,9.1,0.3
1985/1/9,3.9,9.9,-1.8
1985/1/10,4.7,8.0,1.8
1985/1/11,3.1,8.5,-1.8
1985/1/12,5.8,14.0,0.1
1985/1/13,3.6,7.2,0.3
1985/1/14,-0.4,2.0,-1.8
1985/1/15,2.0,7.6,-4.4
1985/1/16,5.7,10.4,1.4
1985/1/17,4.3,7.7,-1.1
1985/1/18,3.8,6.5,1.1
1985/1/19,4.6,10.2,-1.1
1985/1/20,8.7,12.2,5.8
1985/1/21,6.2,10.6,1.0
1985/1/22,6.0,11.2,-1.5
1985/1/23,9.9,13.1,7.5
1985/1/24,5.5,8.7,1.6
1985/1/25,5.5,8.9,0.3
1985/1/26,3.4,8.7,-2.0
1985/1/27,4.5,8.9,-2.3
1985/1/28,5.3,9.2,2.3
1985/1/29,2.6,5.4,-0.3
1985/1/30,0.0,4.0,-2.1
1985/1/31,2.2,8.8,-4.2
1985/2/1,8.5,15.7,-0.9
1985/2/2,8.3,13.3,2.7
1985/2/3,9.9,16.8,2.5
1985/2/4,6.9,11.8,0.9
1985/2/5,8.3,11.0,5.8
1985/2/6,9.8,10.9,9.0
1985/2/7,9.3,13.7,5.0
1985/2/8,7.9,9.7,4.3
1985/2/9,11.9,20.6,8.9
1985/2/10,8.1,13.0,5.7
1985/2/11,7.1,11.2,3.7
1985/2/12,6.9,12.1,2.9
1985/2/13,8.1,13.3,3.6
1985/2/14,5.2,9.5,0.0
1985/2/15,3.9,9.3,-2.1
1985/2/16,6.7,10.8,3.1
1985/2/17,7.1,10.4,5.2
1985/2/18,6.8,8.3,4.3
1985/2/19,8.5,10.3,7.6
1985/2/20,7.3,11.0,4.6
1985/2/21,3.4,6.1,1.2
1985/2/22,3.1,7.3,0.5
1985/2/23,3.8,8.1,1.5
1985/2/24,3.1,6.7,0.9
1985/2/25,3.3,7.1,-1.3
1985/2/26,5.8,7.9,2.8
1985/2/27,6.5,7.9,5.2
1985/2/28,7.7,8.8,6.2
1985/3/1,10.1,13.8,6.5
1985/3/2,8.0,9.6,5.4
1985/3/3,9.8,12.5,7.7
1985/3/4,8.6,11.9,4.7
1985/3/5,7.7,10.2,4.0
1985/3/6,7.3,13.4,1.2
1985/3/7,8.0,11.3,3.2
1985/3/8,14.2,20.9,8.3
1985/3/9,9.2,13.6,7.1
1985/3/10,7.4,10.9,0.9
1985/3/11,6.7,7.8,5.9
1985/3/12,8.2,12.0,4.0
1985/3/13,6.4,9.3,2.5
1985/3/14,8.0,10.0,5.6
1985/3/15,8.0,11.0,4.1
1985/3/16,8.5,12.0,3.4
1985/3/17,12.2,14.6,9.3
1985/3/18,12.0,15.8,6.1
1985/3/19,10.5,12.7,8.8
1985/3/20,7.4,9.6,4.2
1985/3/21,11.1,15.9,7.1
1985/3/22,9.8,14.2,4.6
1985/3/23,8.3,10.4,6.0
1985/3/24,9.0,15.6,3.1
1985/3/25,15.0,20.6,6.8
1985/3/26,16.6,20.1,13.5
1985/3/27,13.1,15.3,11.8
1985/3/28,14.0,17.5,9.8
1985/3/29,11.9,17.1,8.1
1985/3/30,8.8,12.8,6.4
1985/3/31,8.3,11.8,3.7
1985/4/1,7.1,12.7,0.3
1985/4/2,11.4,18.9,3.6
1985/4/3,13.6,17.1,8.9
1985/4/4,15.3,20.3,11.3
1985/4/5,11.8,18.1,5.2
1985/4/6,10.1,14.9,5.2
1985/4/7,10.7,11.8,9.4
1985/4/8,14.7,21.0,9.8
1985/4/9,15.1,22.6,8.9
1985/4/10,16.8,23.9,8.8
1985/4/11,14.1,17.9,12.4
1985/4/12,11.3,12.4,10.6
1985/4/13,13.3,15.6,11.2
1985/4/14,12.4,15.2,9.1
1985/4/15,13.8,17.8,10.8
1985/4/16,13.2,20.3,8.6
1985/4/17,12.1,18.9,5.6
1985/4/18,13.9,18.9,8.7
1985/4/19,15.6,23.8,6.9
1985/4/20,17.3,21.3,13.7
1985/4/21,15.6,19.6,10.4
1985/4/22,15.8,18.1,14.0
1985/4/23,17.9,21.6,14.7
1985/4/24,15.8,21.0,11.0
1985/4/25,14.2,18.9,6.8
1985/4/26,17.3,20.2,12.3
1985/4/27,16.0,20.7,10.2
1985/4/28,13.0,18.9,5.3
1985/4/29,15.6,21.8,7.7
1985/4/30,17.2,25.5,9.1
1985/5/1,19.1,26.5,12.5
